prod_id,Unit_sales,L_unitsales,Review_all,search,SocialSignal_all,Backlinks_all
621998000,3302,1,284,261650,247,70
623010000,2260,1,0,11140,0,0
651693000,1993,1,1110,326130,1059,64
621992000,1708,1,131,123160,1,23
648235000,806,1,470,1880,272,9
621990000,736,1,219,49790,392,75
623865000,638,1,169,3020,167,20
664150000,632,1,90,269020,226,57
621095000,554,1,47,55960,16,10
602072000,493,1,6,8940,17,10
621260000,391,1,3,36040,0,15
651692000,355,1,1089,191210,570,38
661959000,331,1,53,67230,62,40
621902000,315,1,28,4340,14,2
624838000,292,1,409,201660,1861,47
648077000,287,1,84,11460,111,18
661961000,266,1,25,6340,7,0
679666000,253,1,10,110380,1,13
664156000,239,1,160,7740,87,75
659573000,238,1,374,110230,442,80
632635000,230,1,86,46190,112,17
604341000,217,1,252,3270,143,62
660772000,206,1,10,88370,4,3
610649000,197,1,624,113230,0,42
684253000,189,1,8,31390,26,1
684246000,179,1,32,66430,46,11
661246000,173,1,349,61360,169,106
610659000,165,1,251,70500,269,52
624836000,159,1,338,282500,331,79
688352000,152,1,9,13480,9,5
602135000,148,1,24,3740,59,32
602133000,145,1,2,7400,1,1
661243000,144,1,73,23300,61,53
661178000,144,1,17,0,0,0
621901000,137,1,157,69400,43,13
659574000,129,1,166,42830,190,31
664165000,121,1,25,34170,2,2
648159000,120,1,233,300,172,30
651983000,117,1,143,42420,156,27
632705000,113,1,332,54840,0,5
648076000,111,1,4,3940,3,0
632710000,105,1,269,59260,310,47
604342000,98,1,4,0,0,4
602069000,94,1,134,8580,4,14
604358000,77,1,50,8590,82,65
624715000,77,1,27,19670,49,8
669659000,76,1,10,24260,14,18
624706000,69,1,61,40140,22,3
661073000,64,1,24,2350,0,23
624707000,58,1,127,153840,169,39
648160000,56,0,0,580,0,0
684262000,54,0,19,9900,23,3
662225000,52,0,6,14880,26,5
604338000,49,0,122,48220,39,14
680968000,46,0,18,22850,11,21
648164000,45,0,10,0,0,14
679388000,44,0,0,500,10,2
661089000,42,0,11,0,1,0
651638000,39,0,1220,253590,776,286
604337000,38,0,20,0,7,11
664155000,38,0,6,8360,16,5
650131000,37,0,2,14770,0,0
638506000,35,0,63,21120,22,23
661072000,35,0,0,2130,0,0
604334000,33,0,92,260,165,24
654270000,33,0,11,39610,3,1
602152000,33,0,5,0,48,22
604340000,32,0,74,160770,157,17
664153000,31,0,694,100010,160,22
621984000,31,0,12,280,14,4
604339000,30,0,25,0,0,11
679390000,30,0,1,460,20,4
637220000,30,0,0,480,0,0
604343000,28,0,36,20270,25,12
664163000,27,0,21,13720,62,1
660806000,27,0,1,12170,5,3
674230000,26,0,0,12250,0,0
661964000,24,0,20,174000,13,10
605361000,24,0,12,820,1,7
653610000,23,0,23,1300,2,6
664151000,23,0,18,21970,54,11
629916000,21,0,2,1920,41,3
669653000,20,0,17,80420,14,22
625041000,19,0,9,10430,7,4
632804000,18,0,4,28220,1197,14
604310000,17,0,1570,400,6,3
659569000,17,0,64,43100,194,84
661088000,17,0,5,0,0,0
674231000,17,0,0,10530,0,0
653605000,16,0,25,780,52,10
648237000,16,0,3,0,2,3
625042000,15,0,5,8680,9,6
684238000,14,0,23,1950,3,1
604255000,14,0,3,350,4,4
650262000,13,0,12,17770,12,0
622189000,12,0,11,5260,38,0
659576000,12,0,5,360,44,13
656138000,12,0,3,7970,17,17
679912000,12,0,2,2220,0,0
679391000,12,0,1,0,0,0
632709000,11,0,972,574200,1357,257
665443000,11,0,0,3560,1,0
669644000,10,0,2,33550,3,47
604308000,10,0,1,450,115,1
661239000,9,0,187,91100,101,20
629368000,9,0,29,350,0,0
604256000,9,0,0,11700,2,13
684240000,8,0,14,4780,0,1
665442000,8,0,2,11780,1,0
610391000,8,0,2,49130,14,3
605614000,7,0,6,3130,17,8
662379000,7,0,0,0,0,5
679911000,6,0,1,83780,0,0
601222000,6,0,0,4180,0,0
661071000,6,0,0,1380,0,1
661242000,5,0,121,13340,50,45
602070000,5,0,7,450,5,18
669948000,5,0,3,280,0,4
674784000,5,0,2,1360,0,1
679389000,5,0,0,520,32,5
621311000,5,0,0,5110,0,0
604323000,4,0,13,1620,5,3
621085000,4,0,4,250,0,8
669947000,4,0,3,560,1,2
679665000,4,0,0,450,0,0
665901000,3,0,0,2220,0,0
601223000,3,0,0,630,0,0
624942000,3,0,0,390,0,0
622382000,3,0,0,2580,5,4
648161000,2,0,127,780,43,72
679910000,2,0,7,0,2,16
653607000,2,0,6,630,45,4
656136000,2,0,3,0,11,2
656134000,2,0,2,4370,10,0
621083000,2,0,2,870,0,0
659109000,2,0,0,140,0,0
683109000,2,0,0,0,0,0
674786000,2,0,0,48120,0,0
