prod_id,Unit_sales,L_unitsales,Review_all,search,SocialSignal_all,Backlinks_all,Std_Res,Std_Res_Dec,Cook_D
648160000,56,0,0,580,0,0,-0.583797177,NO,0.000803395
604342000,98,1,4,0,0,4,1.635229373,NO,0.00608065
648237000,16,0,3,0,2,3,-0.588607073,NO,0.000796804
602072000,493,1,6,8940,17,10,1.59819746,NO,0.005589688
660806000,27,0,1,12170,5,3,-0.598089666,NO,0.000781403
661964000,24,0,20,174000,13,10,-0.841306968,NO,0.022182282
648161000,2,0,127,780,43,72,-0.77486318,NO,0.010516426
661246000,173,1,349,61360,169,106,1.1053838,NO,0.034989878
659576000,12,0,5,360,44,13,-0.592951389,NO,0.000978487
659109000,2,0,0,140,0,0,-0.583407498,NO,0.000804829
006CO79469412B,0,0,0,3370,0,0,-0.586284556,NO,0.000796788
664155000,38,0,6,8360,16,5,-0.595444288,NO,0.000778476
661242000,5,0,121,13340,50,45,-0.703589725,NO,0.002918084
632709000,11,0,972,574200,1357,257,-2.482281403,NO,0.619455578
602135000,148,1,24,3740,59,32,1.541422087,NO,0.010226868
662225000,52,0,6,14880,26,5,-0.597802573,NO,0.000779253
605359000,0,0,3,630,0,1,-0.586328039,NO,0.000797264
621086000,0,0,1,350,0,1,-0.585590112,NO,0.000798522
637361000,0,0,0,9320,0,0,-0.591686018,NO,0.000797642
669644000,10,0,2,33550,3,47,-0.718656265,NO,0.004146669
674230000,26,0,0,12250,0,0,-0.594395539,NO,0.000805944
604256000,9,0,0,11700,2,13,-0.617298466,NO,0.000868494
604337000,38,0,20,0,7,11,-0.605773017,NO,0.000856944
610649000,197,1,624,113230,0,42,1.009138277,NO,0.035890972
684240000,8,0,14,4780,0,1,-0.592774078,NO,0.000788103
604323000,4,0,13,1620,5,3,-0.591447674,NO,0.000791447
667429000,0,0,0,430,0,0,-0.583664253,NO,0.000803872
648159000,120,1,233,300,172,30,1.540663638,NO,0.017106283
654270000,33,0,11,39610,3,1,-0.624885828,NO,0.001146857
679665000,4,0,0,450,0,0,-0.583681971,NO,0.000803808
669659000,76,1,10,24260,14,18,1.518031231,NO,0.005518935
665901000,3,0,0,2220,0,0,-0.585255832,NO,0.000798987
625042000,15,0,5,8680,9,6,-0.599843074,NO,0.000774956
604254000,0,0,1,18980,5,6,-0.610017335,NO,0.00080263
632309000,1,0,6,5710,7,4,-0.594474763,NO,0.000778732
664151000,23,0,18,21970,54,11,-0.608176086,NO,0.000795809
653607000,2,0,6,630,45,4,-0.576941639,NO,0.000930007
661961000,266,1,25,6340,7,0,1.631749884,NO,0.006090323
632710000,105,1,269,59260,310,47,1.432199325,NO,0.015803309
640690000,1,0,497,396110,1253,102,-1.121458359,NO,0.208198341
622189000,12,0,11,5260,38,0,-0.577557385,NO,0.00089036
651639000,0,0,7,13600,1,1,-0.598809482,NO,0.00080021
604343000,28,0,36,20270,25,12,-0.623912439,NO,0.000777594
633884000,0,0,0,116710,0,0,-0.718681294,NO,0.007285517
684238000,14,0,23,1950,3,1,-0.591384393,NO,0.000799516
661239000,9,0,187,91100,101,20,-0.730000632,NO,0.002234172
684253000,189,1,8,31390,26,1,1.595085434,NO,0.006301816
659574000,129,1,166,42830,190,31,1.48273272,NO,0.007861773
651983000,117,1,143,42420,156,27,1.482161883,NO,0.005924352
660772000,206,1,10,88370,4,3,1.448018633,NO,0.016456939
645386000,0,0,0,800,0,0,-0.58399228,NO,0.000802718
633214000,0,0,1,1570,0,0,-0.584920673,NO,0.000800436
621083000,2,0,2,870,0,0,-0.584542413,NO,0.00080231
610659000,165,1,251,70500,269,52,1.354041319,NO,0.009691088
621902000,315,1,28,4340,14,2,1.631749867,NO,0.006066262
602070000,5,0,7,450,5,18,-0.617353617,NO,0.001053899
661072000,35,0,0,2130,0,0,-0.585175528,NO,0.00079919
601222000,6,0,0,4180,0,0,-0.58701207,NO,0.000795688
661073000,64,1,24,2350,0,23,1.527179513,NO,0.007353845
604340000,32,0,74,160770,157,17,-0.758621924,NO,0.00780353
679912000,12,0,2,2220,0,0,-0.585744802,NO,0.000798764
664153000,31,0,694,100010,160,22,-0.92821852,NO,0.019772433
604358000,77,1,50,8590,82,65,1.41503245,NO,0.026150542
629186000,0,0,0,0,0,0,-0.583283657,NO,0.000805307
624715000,77,1,27,19670,49,8,1.598475229,NO,0.005484
602069000,94,1,134,8580,4,14,1.485610348,NO,0.005590778
622382000,3,0,0,2580,5,4,-0.590895656,NO,0.000790006
602152000,33,0,5,0,48,22,-0.608567109,NO,0.00125019
632705000,113,1,332,54840,0,5,1.323101901,NO,0.015539111
662379000,7,0,0,0,0,5,-0.592183529,NO,0.000799861
604338000,49,0,122,48220,39,14,-0.674887883,NO,0.001128067
674231000,17,0,0,10530,0,0,-0.592800936,NO,0.00080042
666478000,0,0,0,160,0,0,-0.583425195,NO,0.000804762
679388000,44,0,0,500,10,2,-0.583740328,NO,0.000810774
