site_name,site_category_path,category_path_url,product_id,SKU_Varient,Product name,product_description,pt_product_url,Regular_price,Regular_Price_Range,Shipping,markdown_price,final_price,Mode price,Price B,Brand,Brand S,Brand B,Brands carried by DSG,Buybox_Winner_Vendor_Name,features,additional_information,extraction_date,mpn,Page_Title,Reviews (Count),Average Ratings,Review Bucket,Rating Bucket,UPC,Techincal_details,Count_of_pins,FB_Data,Count_of_Tweets,Count_of_G+1,Size,Position,Position B,Throw,ID_Hand,Hand Varient,ID_Size,Size Varient,Carried by DSG,Competitor 1,Competitor 1_SKU_ID,Competitor 1_URL,Competitor 2,Competitor 2_SKU_ID,Competitor 2_URL,Competitor 3,Competitor 3_SKU_ID,Competitor 3_URL,Competitor 4,Competitor 4_SKU_ID,Competitor 4_URL,Competitor 5,Competitor 5_SKU_ID,Competitor 5_URL,Competitor 6,Competitor 6_SKU_ID,Competitor 6_URL,Competitor 7,Competitor 7_SKU_ID,Competitor 7_URL,Social Signals,TDS,TDS Bucket
Baseball Express,n/a,http://www.baseballexpress.com/catalog/thumbnail.jsp?N=1104055+33+36&Ne=1100001&Ns=PRODUCT_AFFINITY%7C1%7C%7CCATEGORY_SEQ_2500%7C0&parentCatId=2500&org=d,1,102ALRLBLK,Palmgard Adult Protective Inner Glove,n/a,http://www.baseballexpress.com/catalog/product.jsp?productId=1,24.95,n/a,0,19.95,19.95,19.95,Less than $25,Palmgard,Palmgard,Others,Yes,n/a,n/a,R,42095.72845,n/a,Palmgard Adult Protective Inner Glove | Baseball Express,27,4.5,11–30,04-May,n/a,n/a,n/a,n/a,n/a,n/a,M,n/a,NA,Right Hand,1#Right Hand,1,1#SM#MD#L#XL#2XL,5,No,Dicks Sporting Goods,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,73,100,Greater than 50
Baseball Express,n/a,http://www.baseballexpress.com/catalog/thumbnail.jsp?N=33+36+1106454&Ne=1100001&Ns=PRODUCT_AFFINITY%7C1%7C%7CCATEGORY_SEQ_2494%7C0&parentCatId=5049&org=d,1226,PUDGEHR,"Wilson A2000 Pudge 32.5"" Baseball Catcher's Mitt",n/a,http://www.baseballexpress.com/catalog/product.jsp?productId=1226,239.95,n/a,0,n/a,239.95,239.95,Greater than 200,Wilson,Wilson,Wilson,Yes,n/a,n/a,n/a,42095.72845,n/a,"Wilson A2000 Pudge 32.5"" Baseball Catcher's Mitt | Baseball Express",26,4.5,11–30,04-May,n/a,n/a,n/a,n/a,n/a,n/a,32.5,Catcher,Catcher,n/a,n/a,n/a,1226#32.5,1,No,Dicks Sporting Goods,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,64,90,Greater than 50
Baseball Express,n/a,http://www.baseballexpress.com/catalog/thumbnail.jsp?N=33+1106460+36&Ne=1100001&Ns=PRODUCT_AFFINITY%7C1%7C%7CCATEGORY_SEQ_2494%7C0&parentCatId=5050&org=d,14753,MODEL,"All-Star Youth Girls 31.5"" Fastpich Catcher's Mitt",n/a,http://www.baseballexpress.com/catalog/product.jsp?productId=14753,49.99,n/a,0,49.95,49.95,49.95,$25 to $50,All-Star,All Star,All Star,Yes,n/a,n/a,THROWS RIGHT,42095.72847,n/a,"All-Star Youth Girls 31.5"" Fastpich Catcher's Mitt | Baseball Express",n/a,n/a,NA,NA,n/a,n/a,n/a,n/a,n/a,n/a,31.5,Catcher,Catcher,Right Hand,14753#Left hand#Right hand,2,19243#31.5#31.5,2,No,Dicks Sporting Goods,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,10,6–20
Baseball Express,n/a,http://www.baseballexpress.com/catalog/thumbnail.jsp?N=1104055+33+36&Ne=1100001&Ns=PRODUCT_AFFINITY%7C1%7C%7CCATEGORY_SEQ_2500%7C0&parentCatId=2500&org=d,1524,PAE101SBLKL,Palmgard Adult Protective Inner Glove Xtra,n/a,http://www.baseballexpress.com/catalog/product.jsp?productId=1524,29.99,n/a,0,21.95,21.95,21.95,Less than $25,Palmgard,Palmgard,Others,Yes,n/a,n/a,n/a,42095.7285,n/a,Palmgard Adult Protective Inner Glove Xtra | Baseball Express,78,4.5,51–100,04-May,n/a,n/a,n/a,n/a,n/a,n/a,S/M,n/a,NA,Left Hand,1524#Left Hand,1,1524#2XL#LG#XL#MD#SM,5,No,Dicks Sporting Goods,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,179,257,Greater than 50
Baseball Express,n/a,n/a,18569,GFX26R,"Mizuno Classic Pro Soft 12.5"" Firstbase Mitt","Mizuno Classic Pro Soft Series 12.5"" Firstbase Mitt#||# The new Mizuno Classic Pro Soft Series features Throwback leather: a rugged, rich, naturally pre-oiled leather that keeps its shape over time. Ultra Soft Pro palm liner provides excellent feeling with a soft finish. Roll welting increases support throughout the fingers.#||# 12.5"" 1st Base Mitt.#||# Two piece web.#||# Open back.#||# Specify right or left throw.#||#",http://www.baseballexpress.com/catalog/product.jsp?productId=18569,169.99,n/a,0,169.95,169.95,169.95,$100 to $200,Mizuno,Mizuno,Mizuno,Yes,n/a,n/a,n/a,42108.74889,n/a,"Mizuno Classic Pro Soft 12.5"" Firstbase Mitt | Baseball Express",2,5,Less than 10,04-May,n/a,n/a,n/a,n/a,n/a,n/a,12.5,First Base,First Base,Right Hand,18569#Right hand,1,18569#12.5,1,Yes,Dicks Sporting Goods,Dicks Sporting Goods_16903016,http://www.dickssportinggoods.com/product/index.jsp?productId=16903016&page=2&cp=4406646.4413887.4414014.4414038.4414205,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,16,6–20
Baseball Express,n/a,http://www.baseballexpress.com/catalog/thumbnail.jsp?N=1104055+33+36&Ne=1100001&Ns=PRODUCT_AFFINITY%7C1%7C%7CCATEGORY_SEQ_2500%7C0&parentCatId=2500&org=d,19171,330243SBG,Mizuno Adult Breath Thermo Blaze Batting Gloves,n/a,http://www.baseballexpress.com/catalog/product.jsp?productId=19171,29.95,n/a,0,24.87,24.87,24.87,Less than $25,Mizuno,Mizuno,Mizuno,Yes,n/a,n/a,n/a,42095.72852,n/a,Mizuno Adult Breath Thermo Blaze Batting Gloves | Baseball Express,n/a,n/a,NA,NA,n/a,n/a,n/a,n/a,n/a,n/a,S/M,Batting,Batting,n/a,n/a,n/a,19171#SM,1,No,Dicks Sporting Goods,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,10,6–20
Baseball Express,n/a,http://www.baseballexpress.com/catalog/thumbnail.jsp?N=1104055+33+36&Ne=1100001&Ns=PRODUCT_AFFINITY%7C1%7C%7CCATEGORY_SEQ_2500%7C0&parentCatId=2500&org=d,19238,A1214ALGRD,Easton Adult VRS PRO IV Batting Gloves,n/a,http://www.baseballexpress.com/catalog/product.jsp?productId=19238,19.87,n/a,0,n/a,19.87,19.87,Less than $25,Easton,Easton,Easton,Yes,n/a,n/a,n/a,42095.72854,n/a,Easton Adult VRS PRO IV Batting Gloves | Baseball Express,10,3.5,Less than 10,03-Apr,n/a,n/a,n/a,n/a,n/a,n/a,11.5,Utility,Utility,Right Hand,19238#Right,1,19238#LG,1,No,Dicks Sporting Goods,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,40,20–50
Baseball Express,n/a,http://www.baseballexpress.com/catalog/thumbnail.jsp?N=33+36+1106454&Ne=1100001&Ns=PRODUCT_AFFINITY%7C1%7C%7CCATEGORY_SEQ_2494%7C0&parentCatId=5049&org=d,19245,CM3030BTL,"All-Star 33.5"" Baseball Catcher's Mitt",n/a,http://www.baseballexpress.com/catalog/product.jsp?productId=19245,69.99,n/a,0,69.95,69.95,69.95,$50 to $100,All-Star,All Star,All Star,Yes,n/a,n/a,THROWS LEFT,42095.72859,n/a,"All-Star 33.5"" Baseball Catcher's Mitt | Baseball Express",n/a,5,NA,04-May,n/a,n/a,n/a,n/a,n/a,n/a,11.25,Utility,Utility,Right Hand,19245#Right,1,19245#33.5,1,No,Dicks Sporting Goods,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,10,6–20
Baseball Express,n/a,http://www.baseballexpress.com/catalog/thumbnail.jsp?N=33+36+1106454&Ne=1100001&Ns=PRODUCT_AFFINITY%7C1%7C%7CCATEGORY_SEQ_2494%7C0&parentCatId=5049&org=d,19246,CM3100BTR,"All-Star Pro Series 35"" Baseball Catcher's Mitt",n/a,http://www.baseballexpress.com/catalog/product.jsp?productId=19246,183.99,n/a,0,129.95,129.95,129.95,$100 to $200,All-Star,All Star,All Star,Yes,n/a,n/a,THROWS RIGHT,42095.72859,n/a,"All-Star Pro Series 35"" Baseball Catcher's Mitt | Baseball Express",n/a,n/a,NA,NA,n/a,n/a,n/a,n/a,n/a,n/a,35,Catcher,Catcher,Right Hand,19246#Left hand#Right hand,2,5076#33.5#35,2,No,Dicks Sporting Goods,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,10,6–20
Baseball Express,n/a,http://www.baseballexpress.com/catalog/thumbnail.jsp?N=33+1106460+36&Ne=1100001&Ns=PRODUCT_AFFINITY%7C1%7C%7CCATEGORY_SEQ_2494%7C0&parentCatId=5050&org=d,19343,BD207BL,"Louisville Big Daddy 34"" Fastpitch Catcher's Mitt",n/a,http://www.baseballexpress.com/catalog/product.jsp?productId=19343,99.99,n/a,0,74.95,74.95,74.95,$50 to $100,Louisville Slugger,Louisville Slugger,Louisville Slugger,Yes,n/a,n/a,THROWS LEFT,42095.72861,n/a,"Louisville Big Daddy 34"" Fastpitch Catcher's Mitt | Baseball Express",32,4.5,31–50,04-May,n/a,n/a,n/a,n/a,n/a,n/a,34,Catcher,Catcher,Left Hand,19343#Right hand#Left hand,2,19343#34,1,No,Dicks Sporting Goods,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,76,108,Greater than 50
