Product_Name,Avg_final_price
Belle Hop Comfort Neck Pillow,14.74357
Belle Hop&trade; Comfort Neck Pillow,14.72333
Belle Hop? Comfort Neck Pillow,14.44
GoToob by humangear 3-pk. Small Containers,19.78559
GoToob&trade; by humangear 3-pk. Small Containers,19.6775
"Heys USA Luggage, Xcase Checkered 20-in. Wheeled Carry-On",221.99
Heys USA TravelMate Camouflage Bag,44.39
LEGO Legends of Chima Backpack - Kids,13.99
Leatherbay Commuter Laptop Case,164.2167
Leatherbay Downtown Messenger Bag,87.25
Leatherbay Laptop Backpack,290.1826
Leatherbay Mini Backpack,125.7338
Leatherbay Pockets Backpack,260.8375
Leatherbay Shopping Tote,131.75
Leatherbay Small Backpack,155.95
Leatherbay&reg; Downtown Messenger Bag,85.45
Lewis N. Clark Comfort Neck Pillow,14.74357
McKlein Alexis 15.4-in. Laptop Briefcase,214.24
McKlein Avon 15.4-in. Laptop Briefcase,209.1844
McKlein Bucktown Leather Briefcase,263.36
McKlein Daley Briefcase,189.4312
McKlein Damen Wheeled Leather Laptop Case,348.6076
McKlein Flournoy 15.4-in. Laptop Briefcase,217.8576
McKlein Halsted Leather Laptop Case,215.99
McKlein LaSalle Wheeled Laptop Overnight Bag,399.99
McKlein Lawson Briefcase,189.5733
McKlein Lexington Briefcase,220.2757
"McKlein Luggage, LaSalle Wheeled Laptop Overnight Bag",296.4275
McKlein Morgan Leather Laptop Briefcase,249.99
McKlein Pearson Expandable Briefcase,241.9428
McKlein Pearson Expandable Laptop Briefcase,206.7931
McKlein Reagan Briefcase,188.0194
McKlein Sheridan Detachable-Wheeled Catalog Case,374.9067
McKlein Verona 15.4-in. Laptop Briefcase,229.99
McKlein Walton Expandable Laptop Case,217.8576
McKlein West Loop Leather Briefcase,276.015
McKlein Willowbrook Detachable-Wheeled Briefcase,276.44
McKlein&reg; Bucktown Leather Briefcase,306.84
McKlein&reg; Damen Wheeled Leather Laptop Case,404.99
McKlein&reg; Flournoy 15.4-in. Laptop Briefcase,251.99
McKlein&reg; Halsted Leather Laptop Case,265.99
McKlein&reg; LaSalle Wheeled Laptop Overnight Bag,359.99
McKlein&reg; Pearson Expandable Laptop Briefcase,210.39
McKlein&reg; Walton Expandable Laptop Case,251.99
McKlein&reg; West Loop Leather Briefcase,331.19
Nintendo Mario Kart 7 Lenticular Backpack - Kids,15.13286
Rockland 2-pc. Luggage Set,70.84714
Rockland 3-pc. Hardside Spinner Luggage Set,387.99
Rockland 4-pc. Luggage Set,200.865
Rockland Black Polka-Dot Duffel Bag,25.72077
Rockland Black Wheeled Backpack,52.20053
Rockland Floral & Butterflies Wheeled Duffel Bag,50.39
Rockland Giraffe Duffel Bag,26.02571
Rockland Giraffe Wheeled Duffel Bag,48.74
Rockland Heart Wheeled Duffel Bag,50.39
Rockland Leopard Wheeled Duffel Bag,44.615
Rockland Love Wheeled Duffel Bag,50.39
Rockland Luca Vergani Giraffe 2-pc. Cosmetic Bag Set,63.4945
Rockland Luca Vergani Zebra 2-pc. Cosmetic Bag Set,63.4945
"Rockland Luggage, 2-pc. Luggage Set",66.88941
"Rockland Luggage, 3-pc. Hardside Spinner Luggage Set",365.1329
"Rockland Luggage, 3-pc. Polo Equipment Expandable Spinner Luggage Set",284.9424
"Rockland Luggage, 3-pc. Spinner Luggage Set",330.8471
"Rockland Luggage, 3-pc. Wheeled Luggage Set",168.9131
"Rockland Luggage, 4-pc. Luggage Set",191.0309
"Rockland Luggage, Floral & Butterflies Wheeled Duffel Bag",53.19
"Rockland Luggage, Giraffe Wheeled Duffel Bag",53.19
"Rockland Luggage, Heart Wheeled Duffel Bag",53.19
"Rockland Luggage, Leopard 5-pc. Luggage Set",267.29
"Rockland Luggage, Leopard Wheeled Duffel Bag",53.19
"Rockland Luggage, Love Wheeled Duffel Bag",53.19
"Rockland Luggage, Paisley & Floral Wheeled Duffel Bag",53.19
"Rockland Luggage, Peace Wheeled Duffel Bag",53.19
"Rockland Luggage, Pearl 20-in. Hardside Spinner Carry-On",129.59
"Rockland Luggage, Pearl Wheeled Duffel Bag",53.19
"Rockland Luggage, Plaid Wheeled Duffel Bag",54.43444
"Rockland Luggage, Polka Dot Wheeled Duffel Bag",53.19
"Rockland Luggage, Polo Equipment 3-pc. Expandable Spinner Luggage Set",292.6797
"Rockland Luggage, Polo Equipment 4-pc. Expandable Wheeled Luggage Set",256.8176
"Rockland Luggage, Pucci 20-in. Hardside Spinner Carry-On",129.59
