Week,Sales_vol_Pants_Strt_Leg0,sales_value_Pants_Strt_Leg0,Avg_retail_pr_Pants_Strt_Leg0,Avg_highest_pr_Pants_Strt_Leg0,highest_pr_Pants_Strt_Leg0,Avg_disc_Pants_Strt_Leg0,total_avail_Pants_Strt_Leg0,Sales_vol_Pants_Strt_Leg10,sales_value_Pants_Strt_Leg10,Avg_retail_pr_Pants_Strt_Leg10,Avg_highest_pr_Pants_Strt_Leg10,highest_pr_Pants_Strt_Leg10,Avg_disc_Pants_Strt_Leg10,total_avail_Pants_Strt_Leg10,Sales_vol_Pants_Strt_Leg12,sales_value_Pants_Strt_Leg12,Avg_retail_pr_Pants_Strt_Leg12,Avg_highest_pr_Pants_Strt_Leg12,highest_pr_Pants_Strt_Leg12,Avg_disc_Pants_Strt_Leg12,total_avail_Pants_Strt_Leg12,Sales_vol_Pants_Strt_Leg4,sales_value_Pants_Strt_Leg4,Avg_retail_pr_Pants_Strt_Leg4,Avg_highest_pr_Pants_Strt_Leg4,highest_pr_Pants_Strt_Leg4,Avg_disc_Pants_Strt_Leg4,total_avail_Pants_Strt_Leg4,Sales_vol_Pants_Strt_Leg6,sales_value_Pants_Strt_Leg6,Avg_retail_pr_Pants_Strt_Leg6,Avg_highest_pr_Pants_Strt_Leg6,highest_pr_Pants_Strt_Leg6,Avg_disc_Pants_Strt_Leg6,total_avail_Pants_Strt_Leg6
1,1,225,225,225,225,0,2,3,562.5,225,225,225,0,4,0,0,0,0,0,0,0,8,2236,279.53125,359.375,1150,0.13125,10,2,450,225,225,225,0,5
2,2,342,210,210,225,0,10,2,450,225,225,225,0,10,0,0,0,0,0,0,0,6,1074,223.3333333,223.3333333,275,0,0,12,2352,239.1666667,239.1666667,275,0,100
3,1,225,225,225,225,0,0,4,780,195,250,275,0.2,3,7,1545,220.7142857,252.1428571,275,0.114285714,4,18,3894,216.3333333,243.3333333,275,0.111111111,95,10,2172,217.2,236,275,0.08,42
4,4,468,117,195,195,0.4,12,6,1192.73,241,241,265,0,9,2,500,250,250,275,0,4,7,1553.09,225.2857143,252.1428571,275,0.114285714,6,4,830,207.5,262.5,275,0.2,2
5,8,1227,169.5,226.25,275,0.25,7,6,1087.5,195,250,275,0.2,12,4,798.75,210,237.5,275,0.1,2,13,1448.5,135.7692308,212.6923077,275,0.369230769,13,14,2375.5,188.2321429,251.4285714,275,0.246428571,5
6,3,587,195.6666667,221.6666667,245,0.133333333,3,7,1655,236.4285714,236.4285714,265,0,3,7,1525,217.8571429,249.2857143,275,0.114285714,0,10,2118,211.8,238,285,0.12,4,3,655,218.3333333,255,275,0.133333333,0
7,1,265,265,265,265,0,0,4,960,240,240,275,0,11,3,805,268.3333333,268.3333333,275,0,8,11,2557,232.4545455,239.5454546,275,0.036363636,5,9,2047,227.4444444,236.1111111,265,0.044444444,25
8,4,765,255,255,275,0,18,9,2075,230.5555556,242.7777778,285,0.044444444,7,9,2089,232.1111111,243.8888889,275,0.044444444,1,8,1672,209,218.75,265,0.05,66,10,2144,214.4,236,285,0.08,20
9,6,1069,189.6666667,233.3333333,285,0.2,6,10,2018.5,209.8,242,275,0.12,53,6,1304.25,224,241.6666667,265,0.066666667,124,18,3220.75,193.5555556,242.7777778,275,0.2,380,15,2888,202.55,246.3333333,275,0.176666667,274
10,2,382,191,230,265,0.2,22,3,525,175,248.3333333,275,0.266666667,23,8,1790,223.75,223.75,275,0,25,13,2839,218.3846154,247.3076923,285,0.123076923,44,6,1390,231.6666667,250,275,0.066666667,19
