Pants_Stght_Leg_2_Sales_volume,Pants_Stght_Leg_2_sales_value,Pants_Stght_Leg_2_Avg_ut_rt_prc,Pants_Stght_Leg_2_Avg_hght_prce,Pants_Stght_Leg_2_Hght_prce,Pants_Stght_Leg_2_Avg_disc,Pants_Stght_Leg_2_total_avail
2,500,250,250,275, ,0
4,624,222.5,222.5,275,0,20
9,1967,218.5555556,227.2222222,275,0.044444444,0
4,624,156,222.5,275,0.3,4
15,1656,137,218.3333333,275,0.373333333,20
9,1602,178.0277778,255,285,0.294444444,0
2,342,171,210,225,0.2,3
3,585,195,231.6666667,275,0.133333333,0
12,2041.5,188.5,237.5,285,0.2,299
8,2000,250,250,285,0,15
29,4101,222.7241379,251.5517241,275,0.110344828,131
17,2249.5,150.1176471,230.8823529,275,0.335294118,114
13,1807.25,142.2692308,237.3076923,275,0.384615385,1
10,1535,153.525,236,275,0.345,14
11,1581,143.7272727,239.5454546,265,0.4,38
3,565,188.3333333,255,275,0.266666667,3
6,832.75,149.625,241.6666667,275,0.375,65
10,1530.6,162.6,241,265,0.32,70
4,814,203.5,230,265,0.1,20
11,1417,133.9318182,238.6363636,275,0.440909091,82
6,924,154.25,241.6666667,265,0.35,11
18,1483.5,108.7916667,252.2222222,275,0.558333333,2
