ord_week_nmb,Product_desc,Sales_volume,sales_value,Avg_unit_retail_price,Avg_highest_price,Highest_price,Avg_disc,total_avail
20,Pants_ Cropped_2,2,369.5,200.5,242.5,275,0.2,2
20,Pants_ Cropped_25,1,117,117,195,195,0.4,0
20,Pants_ Cropped_27,1,117,117,195,195,0.4,0
20,Pants_ Cropped_29,1,117,117,195,195,0.4,0
20,Pants_ Cropped_30,2,234,117,195,195,0.4,0
20,Pants_ Cropped_4,2,361,180.5,222.5,235,0.2,2
20,Pants_ Cropped_6,3,262.75,139,231.6666667,275,0.4,2
20,Pants_ Cropped_M,4,2850,712.5,942.5,1175,0.2,2
20,Pants_ Cropped_S,2,590,295,295,295,0,4
20,Pants_ Cropped_XS,4,1797.5,492.5,722.5,1150,0.2,2
20,Pants_ Leggings_L,7,4063,580.4642857,738.5714286,1250,0.15,21
20,Pants_ Leggings_M,12,6885.3,593.2916667,833.75,1150,0.241666667,15
20,Pants_ Leggings_S,5,3378,675.8,1097,1250,0.39,43
20,Pants_ Leggings_XS,8,4646.75,594.5625,795.625,1250,0.18125,46
20,Pants_ Skinny_10,3,455.5,176.3333333,241.6666667,245,0.266666667,18
20,Pants_ Skinny_12,6,1633,272.1666667,377.5,1150,0.2,15
20,Pants_ Skinny_25,2,312,156,195,195,0.2,0
20,Pants_ Skinny_26,3,321.75,117,195,195,0.4,3
20,Pants_ Skinny_28,2,390,195,195,195,0,10
20,Pants_ Skinny_30,5,688,137.6,200,220,0.32,30
20,Pants_ Skinny_32,1,54.75,73.5,210,210,0.65,3
20,Pants_ Skinny_4,10,3959.5,413.2,607,1150,0.2,23
20,Pants_ Skinny_6,14,2898.75,214.9285714,300.3571429,1150,0.257142857,96
20,Pants_ Skinny_8,3,330.75,147,245,245,0.4,15
20,Pants_ Skinny_XS,2,2350,1175,1175,1175,0,15
20,Pants_ Straight_Leg_10,5,1169,233.8,255,275,0.08,47
20,Pants_ Straight_Leg_12,5,1125,225,269,275,0.16,29
20,Pants_ Straight_Leg_2,4,814,203.5,230,265,0.1,20
20,Pants_ Straight_Leg_27,2,440,220,220,220,0,5
20,Pants_ Straight_Leg_28,1,220,220,220,220,0,0
20,Pants_ Straight_Leg_29,1,220,220,220,220,0,0
20,Pants_ Straight_Leg_4,8,1382,178.8125,250,275,0.2625,31
20,Pants_ Straight_Leg_6,10,2310,231,253,275,0.08,101
20,Pants_ Straight_Leg_8,2,530,265,265,265,0,22
20,Pants_ Straight_Leg_L,1,1150,1150,1150,1150,0,11
20,Pants_ Straight_Leg_M,7,1716,245.1785714,270.7142857,295,0.092857143,43
20,Pants_ Straight_Leg_S,7,1517,216.7857143,267.8571429,295,0.185714286,35
20,Pants_ Straight_Leg_XS,2,490,245,245,245,0,5
20,Pants_ Wide_Leg_10,3,361.25,137.8333333,311.6666667,345,0.566666667,0
20,Pants_ Wide_Leg_12,3,686,228.75,288.3333333,295,0.216666667,28
20,Pants_ Wide_Leg_2,2,502,251,310,325,0.2,16
20,Pants_ Wide_Leg_6,1,295,295,295,295,0,8
20,Pants_ Wide_Leg_8,1,325,325,325,325,0,8
20,Pants_ Wide_Leg_L,2,577,288.75,662.5,1150,0.325,13
20,Pants_ Wide_Leg_M,5,875,175,175,175,0,34
20,Pants_ Wide_Leg_S,4,700,175,175,175,0,28
20,Pants_ Wide_Leg_XS,1,105,175,175,175,0,7
