Content-Length,RequestTime,ResponseTime,TimeDifference(C_B),RequestTimewithoutGMT,ResponseTimeTruncwithoutGMT,TimeDifference(F-E)
65536,2016-01-12 12:33:36.910000+05:30,2016-01-12 12:33:37.398000+05:30,,2016-01-12 12:33:36.910000,2016-01-12 12:33:37.398000,
563486,2016-01-12 12:33:36.911000+05:30,2016-01-12 12:33:37.829000+05:30,,2016-01-12 12:33:36.911000,2016-01-12 12:33:37.829000,
24732,2016-01-12 12:33:36.950000+05:30,2016-01-12 12:33:37.024000+05:30,,2016-01-12 12:33:36.950000,2016-01-12 12:33:37.024000,
0,2016-01-12 12:33:37.028000+05:30,2016-01-12 12:33:37.159000+05:30,,2016-01-12 12:33:37.028000,2016-01-12 12:33:37.159000,
0,2016-01-12 12:33:37.029000+05:30,2016-01-12 12:33:37.167000+05:30,,2016-01-12 12:33:37.029000,2016-01-12 12:33:37.167000,
0,2016-01-12 12:33:37.037000+05:30,2016-01-12 12:33:37.175000+05:30,,2016-01-12 12:33:37.037000,2016-01-12 12:33:37.175000,
0,2016-01-12 12:33:37.048000+05:30,2016-01-12 12:33:37.176000+05:30,,2016-01-12 12:33:37.048000,2016-01-12 12:33:37.176000,
0,2016-01-12 12:33:37.050000+05:30,2016-01-12 12:33:37.185000+05:30,,2016-01-12 12:33:37.050000,2016-01-12 12:33:37.185000,
3939,2016-01-12 12:33:37.139000+05:30,2016-01-12 12:33:37.201000+05:30,,2016-01-12 12:33:37.139000,2016-01-12 12:33:37.201000,
3746,2016-01-12 12:33:37.140000+05:30,2016-01-12 12:33:37.218000+05:30,,2016-01-12 12:33:37.140000,2016-01-12 12:33:37.218000,
4786,2016-01-12 12:33:37.141000+05:30,2016-01-12 12:33:37.232000+05:30,,2016-01-12 12:33:37.141000,2016-01-12 12:33:37.232000,
4659,2016-01-12 12:33:37.142000+05:30,2016-01-12 12:33:37.234000+05:30,,2016-01-12 12:33:37.142000,2016-01-12 12:33:37.234000,
3744,2016-01-12 12:33:37.143000+05:30,2016-01-12 12:33:37.241000+05:30,,2016-01-12 12:33:37.143000,2016-01-12 12:33:37.241000,
0,2016-01-12 12:33:37.459000+05:30,2016-01-12 12:33:37.639000+05:30,,2016-01-12 12:33:37.459000,2016-01-12 12:33:37.639000,
2556,2016-01-12 12:33:37.461000+05:30,2016-01-12 12:33:37.560000+05:30,,2016-01-12 12:33:37.461000,2016-01-12 12:33:37.560000,
10864,2016-01-12 12:33:37.481000+05:30,2016-01-12 12:33:37.549000+05:30,,2016-01-12 12:33:37.481000,2016-01-12 12:33:37.549000,
1489,2016-01-12 12:33:37.482000+05:30,2016-01-12 12:33:38.621000+05:30,,2016-01-12 12:33:37.482000,2016-01-12 12:33:38.621000,
84709,2016-01-12 12:33:37.483000+05:30,2016-01-12 12:33:37.655000+05:30,,2016-01-12 12:33:37.483000,2016-01-12 12:33:37.655000,
6157,2016-01-12 12:33:37.492000+05:30,2016-01-12 12:33:37.960000+05:30,,2016-01-12 12:33:37.492000,2016-01-12 12:33:37.960000,
4105,2016-01-12 12:33:37.809000+05:30,2016-01-12 12:33:37.858000+05:30,,2016-01-12 12:33:37.809000,2016-01-12 12:33:37.858000,
104024,2016-01-12 12:33:37.848000+05:30,2016-01-12 12:33:38.037000+05:30,,2016-01-12 12:33:37.848000,2016-01-12 12:33:38.037000,
563486,2016-01-12 12:33:38.278000+05:30,2016-01-12 12:33:38.554000+05:30,,2016-01-12 12:33:38.278000,2016-01-12 12:33:38.554000,
374,2016-01-12 12:33:38.345000+05:30,2016-01-12 12:33:38.570000+05:30,,2016-01-12 12:33:38.345000,2016-01-12 12:33:38.570000,
78212,2016-01-12 12:33:38.503000+05:30,2016-01-12 12:33:38.703000+05:30,,2016-01-12 12:33:38.503000,2016-01-12 12:33:38.703000,
21500,2016-01-12 12:33:38.636000+05:30,2016-01-12 12:33:38.671000+05:30,,2016-01-12 12:33:38.636000,2016-01-12 12:33:38.671000,
65536,2016-01-12 12:33:38.762000+05:30,2016-01-12 12:33:38.806000+05:30,,2016-01-12 12:33:38.762000,2016-01-12 12:33:38.806000,
30943,2016-01-12 12:33:38.777000+05:30,2016-01-12 12:33:39.079000+05:30,,2016-01-12 12:33:38.777000,2016-01-12 12:33:39.079000,
21500,2016-01-12 12:33:38.944000+05:30,2016-01-12 12:33:38.984000+05:30,,2016-01-12 12:33:38.944000,2016-01-12 12:33:38.984000,
