"Quarter","Week","Location_NMR","Merch_Division_NMR","Merch_Division_TEXT","Item_Type_Code","Item_Type_Desc","Item_Type_Desc_Code","Stock_Status","CAD_Sales_Dollar","CAD_Sales_Dollar_Comp","Comp_Weekly_Sales_Units","Sales_Units","Cost","Inventory_On_Hand_Dollar","Inventory_On_Hand_Units","List_Price","Invoice_Count","Margin_Correction_Comp","Margin_Correction","Comp_Cost","Margin_Dollar","Margin_Dollar_Comp","Margin_Per","Avg_Selling_Price","Store","ID_unit","Prob","Stratum"
"1",2015-02-06,2413,37,"APPLIANCES",14,"IN AND OUT                              ",0,"NON-STOCK                               ",NA,NA,NA,NA,NA,1597.37,2,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF NE HAMILTON, ON                         ",78,0.709219858156028,1
"1",2015-02-06,2413,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",5498.59,5498.59,17,17,4166.65,86515.44,324,0,24,57.82,57.82,4166.65,1389.76,1389.76,0.252748431870716,323.446470588235,"LOWE'S OF NE HAMILTON, ON                         ",86,0.709219858156028,1
"1",2015-02-06,2413,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",4058.04,4058.04,4,4,2800.15,112290.11,140,0,11,61.29,61.29,2800.15,1319.18,1319.18,0.325078116529162,1014.51,"LOWE'S OF NE HAMILTON, ON                         ",117,0.709219858156028,1
"1",2015-02-06,2413,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",676.14,676.14,2,2,586.36,3854.16,11,0,2,NA,NA,586.36,89.78,89.78,0.132783151418345,338.07,"LOWE'S OF NE HAMILTON, ON                         ",174,0.709219858156028,1
"1",2015-02-06,2641,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",1879.2,1879.2,6,6,1759.09,3518.17,7,0,1,NA,NA,1759.09,120.11,120.11,0.0639154959557259,313.2,"LOWE'S OF N.W. LONDON, ON                         ",43,0.691176470588235,2
"1",2015-02-06,2641,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",15762.42,15762.42,33,33,10534.47,349446.55,628,0,45,122.32,122.32,10534.47,5350.27,5350.27,0.339432016149804,477.649090909091,"LOWE'S OF N.W. LONDON, ON                         ",63,0.691176470588235,2
"1",2015-02-06,2641,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",9464.14,9464.14,30,30,6393.62,149905.95,473,0,39,103.93,103.93,6393.62,3174.45,3174.45,0.335418749088665,315.471333333333,"LOWE'S OF N.W. LONDON, ON                         ",65,0.691176470588235,2
"1",2015-02-06,2641,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",2517.4,2517.4,2,2,1943.42,68188.42,74,0,3,NA,NA,1943.42,573.98,573.98,0.228005084611107,1258.7,"LOWE'S OF N.W. LONDON, ON                         ",115,0.691176470588235,2
"1",2015-02-06,2934,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",7078.12,7078.12,38,38,5123.09,131927.26,426,17.49,42,43.42,43.42,5123.09,1998.45,1998.45,0.282341921301136,186.266315789474,"LOWE'S OF S. BARRIE, ON                           ",3,0.703071672354949,3
"1",2015-02-06,2934,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",24945.81,24945.81,46,46,18490.59,368081.76,620,0,59,116.4,116.4,18490.59,6571.62,6571.62,0.263435823490999,542.300217391304,"LOWE'S OF S. BARRIE, ON                           ",20,0.703071672354949,3
"1",2015-02-06,2934,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",1223.61,1223.61,2,2,974.69,102147.14,113,0,8,32.93,32.93,974.69,281.85,281.85,0.230343001446539,611.805,"LOWE'S OF S. BARRIE, ON                           ",124,0.703071672354949,3
"1",2015-02-06,2934,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",2643.9,2643.9,3,3,2329.86,78516.06,106,0,5,23.64,23.64,2329.86,337.68,337.68,0.127720413026211,881.3,"LOWE'S OF S. BARRIE, ON                           ",155,0.703071672354949,3
"1",2015-02-06,2934,37,"APPLIANCES",14,"IN AND OUT                              ",0,"NON-STOCK                               ",NA,NA,NA,NA,NA,492.11,1,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF S. BARRIE, ON                           ",161,0.703071672354949,3
"1",2015-02-06,2953,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",42420.41,42420.41,53,53,31179.53,385406.17,638,499.89,66,326.49,326.49,31179.53,11567.37,11567.37,0.272684068824417,800.385094339623,"LOWE'S OF CALGARY - MCKENZIE, AB                  ",4,0.701067615658363,4
"1",2015-02-06,2953,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",NA,NA,NA,NA,NA,5278.04,13,0,NA,NA,NA,NA,0,0,NA,0,"LOWE'S OF CALGARY - MCKENZIE, AB                  ",179,0.701067615658363,4
"1",2015-02-06,3056,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",8594.91,8594.91,24,24,6171.85,178262,520,234.19,36,116.1,116.1,6171.85,2539.16,2539.16,0.295426013768614,358.12125,"LOWE'S OF QUEENSBOROUGH, BC                       ",18,0.696369636963696,5
"1",2015-02-06,3056,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",2491.6,2491.6,2,2,1957.48,100033.68,192,0,6,78.42,78.42,1957.48,612.54,612.54,0.245842029218173,1245.8,"LOWE'S OF QUEENSBOROUGH, BC                       ",32,0.696369636963696,5
"1",2015-02-06,2640,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",284.8,284.8,0,0,89.1,75528.61,87,0,6,23.8,23.8,89.1,219.5,219.5,0.770716292134832,0,"LOWE'S OF YORK, ON                                ",6,0.56140350877193,6
"1",2015-02-06,2640,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",904.8,904.8,3,3,881.06,4711.6,11,0,5,-3.04,-3.04,881.06,20.7,20.7,0.0228779840848806,301.6,"LOWE'S OF YORK, ON                                ",74,0.56140350877193,6
"1",2015-02-06,2640,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",23209.97,23209.97,38,38,16500.92,376574.86,648,0,56,148.36,148.36,16500.92,6857.41,6857.41,0.295451049699763,610.788684210526,"LOWE'S OF YORK, ON                                ",130,0.56140350877193,6
"1",2015-02-06,2631,37,"APPLIANCES",11,"REGULAR                                 ",1,"STOCK                                   ",5683.9,5683.9,23,23,4835.69,142726.13,402,0,31,150.39,150.39,4835.69,998.6,998.6,0.175689227467056,247.126086956522,"LOWE'S OF S. BRAMPTON, ON                         ",7,0.701438848920863,7
"1",2015-02-06,2631,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",1,"STOCK                                   ",21906.92,21906.92,41,41,16541.31,341093.98,596,0,55,193.33,193.33,16541.31,5558.94,5558.94,0.253752695495305,534.315121951219,"LOWE'S OF S. BRAMPTON, ON                         ",9,0.701438848920863,7
"1",2015-02-06,2631,37,"APPLIANCES",14,"IN AND OUT                              ",1,"STOCK                                   ",931.3,931.3,2,2,677.34,4977.29,12,0,2,8.82,8.82,677.34,262.78,262.78,0.282164715988403,465.65,"LOWE'S OF S. BRAMPTON, ON                         ",13,0.701438848920863,7
"1",2015-02-06,2631,37,"APPLIANCES",11,"REGULAR                                 ",0,"NON-STOCK                               ",1866,1866,0,0,1101.74,72514.15,90,0,4,16.4,16.4,1101.74,780.66,780.66,0.418360128617363,0,"LOWE'S OF S. BRAMPTON, ON                         ",137,0.701438848920863,7
"1",2015-02-06,3008,37,"APPLIANCES",18,"WAREHOUSE EXPRESS WHEN NON-STOCK        ",0,"NON-STOCK                               ",-862.06,-862.06,0,0,-169.58,77184.84,89,0,7,37.67,37.67,-169.58,-654.81,-654.81,0.759587499709997,0,"LOWE'S OF KANATA, ON                              ",8,0.726937269372694,8
