Shoes_Overall_Score,Shoes_Group,Shoes_Overall_Score,shoes_Group,Handbag_Overall_Score,Handbag_group,Comics_Overall_Score,Comics_Group,cellphones_Overall_Score,cellphone_Group
8,High,9.4,High,9.3,High,8.6,High,9.3,high
9.1,High,9.2,High,9.6,High,8.3,High,9,high
8.2,High,9.5,High,9.4,High,8.9,High,9.6,high
8.6,High,9.4,High,9.6,High,8.7,High,8,high
9.5,High,9,High,9.3,High,8.6,High,9.4,high
7.7,High,9,High,9.2,High,8.4,High,9.8,high
8.8,High,9,High,9.6,High,7.9,High,6.9,high
8.9,High,8.7,High,9.4,High,8.8,High,9.6,high
8.3,High,9,High,9.5,High,7.9,High,9.3,high
9.5,High,9,High,9.4,High,8.8,High,9.1,high
9.3,High,9.5,High,9.5,High,8.6,Low,7.2,high
8.7,High,8.9,High,8.9,High,8.6,Low,8.2,high
8,High,9.1,High,9.6,High,8.1,Low,8.8,high
9.3,High,9.6,High,9.5,High,8.9,Low,9.2,high
9,High,9.2,High,8.9,High,8.4,Low,7.6,high
9,High,8.9,High,9,High,8.7,Low,7.8,high
9.2,High,9.8,High,9.5,High,8.9,Low,9.6,high
9.5,High,8.9,High,8.5,High,8.3,Low,8.9,high
9.3,High,9.3,High,9.3,High,8.1,Low,9.4,high
9.7,High,9.4,High,9.4,High,8.9,Low,9.5,high
9.1,High,8.9,High,8.6,High,,,9.4,high
0.3,High,9.3,High,8.9,High,,,8.3,high
8.6,High,9.5,High,9.4,High,,,9.8,high
9.4,High,9.3,High,9.4,High,,,8.8,high
8.7,High,9.3,High,9.2,High,,,8.9,high
9.8,High,9.4,High,9.2,High,,,9.6,high
9.5,High,9.4,High,9,High,,,8.6,high
9.6,High,8.3,High,8.7,High,,,9.5,high
9.5,High,9.2,High,8.3,High,,,8.7,high
8.9,High,8.8,High,9.3,High,,,8.2,high
8.7,High,9.5,High,7.6,High,,,8,high
-3.1,High,9.5,High,9.4,High,,,9.5,high
0.2,High,8.7,High,9.6,High,,,8.1,high
9.4,High,9.5,High,9.5,High,,,8.8,high
9.3,High,9.3,High,9.2,High,,,8.6,high
9.8,High,9.3,High,9.6,High,,,8.9,high
-2.1,High,9,High,8.7,High,,,8.1,Low
8,High,9,High,8.3,High,,,9.4,Low
7.3,High,9.1,Low,9.4,High,,,8.9,Low
3.5,High,9.1,Low,9.2,High,,,9.4,Low
9.1,High,8.8,Low,9.1,High,,,9,Low
0.9,High,9.2,Low,8.9,High,,,8.8,Low
9,High,9.3,Low,8.8,High,,,8,Low
4.4,High,9.3,Low,9.5,Low,,,9.1,Low
9,High,9.5,Low,8.8,Low,,,7.6,Low
8.3,High,9.5,Low,9.5,Low,,,9,Low
9.3,High,8.6,Low,8.3,Low,,,8.8,Low
8.2,High,8.7,Low,8.4,Low,,,8.3,Low
9.5,High,8.9,Low,8.9,Low,,,9.3,Low
8.1,High,8.6,Low,8.6,Low,,,9.6,Low
8.9,High,9,Low,9.3,Low,,,8,Low
9.8,High,9.3,Low,8.9,Low,,,8.2,Low
-0.6,High,9.8,Low,8.9,Low,,,9.5,Low
1.6,High,9.4,Low,9.4,Low,,,8,Low
8.3,High,9.4,Low,8.9,Low,,,7.4,Low
9.5,High,9.5,Low,9.4,Low,,,8.6,Low
7.7,High,9.5,Low,9.6,Low,,,8.5,Low
8.4,High,9.2,Low,9,Low,,,9.4,Low
-1.5,High,9,Low,8.6,Low,,,8.8,Low
0.9,High,9.3,Low,9.4,Low,,,9.5,Low
2.5,High,9.2,Low,9.7,Low,,,9.3,Low
8.5,High,8.8,Low,9,Low,,,8,Low
8.3,High,8.2,Low,9.5,Low,,,9,Low
9.1,High,8.5,Low,9.3,Low,,,8.2,Low
9.6,High,8.6,Low,9.5,Low,,,7.3,Low
1.3,High,8.9,Low,7.3,Low,,,7.5,Low
2.5,High,8.5,Low,8.5,Low,,,8.8,Low
8.2,High,7.5,Low,9.3,Low,,,8.7,Low
9.4,High,9.5,Low,9.2,Low,,,9.5,Low
2.5,High,7.7,Low,9.7,Low,,,9.5,Low
2.1,High,8.6,Low,8.4,Low,,,8,Low
0.9,High,8.5,Low,9.2,Low,,,8,Low
3.2,High,9.6,Low,9.3,Low,,,,
9.5,Low,8.6,Low,8.3,Low,,,,
3.6,Low,,,8.4,Low,,,,
1,Low,,,8.8,Low,,,,
8.7,Low,,,9.3,Low,,,,
9.4,Low,,,9.1,Low,,,,
8.5,Low,,,8.7,Low,,,,
1,Low,,,8.6,Low,,,,
8.1,Low,,,9.5,Low,,,,
-0.3,Low,,,8.5,Low,,,,
0.7,Low,,,9.6,Low,,,,
9.2,Low,,,9.6,Low,,,,
0.5,Low,,,8.7,Low,,,,
0.9,Low,,,9.5,Low,,,,
7.5,Low,,,9.5,Low,,,,
-1.2,Low,,,,,,,,
3.3,Low,,,,,,,,
8.8,Low,,,,,,,,
9.1,Low,,,,,,,,
7.6,Low,,,,,,,,
9,Low,,,,,,,,
9.4,Low,,,,,,,,
1.6,Low,,,,,,,,
1.2,Low,,,,,,,,
2.1,Low,,,,,,,,
8.2,Low,,,,,,,,
9.3,Low,,,,,,,,
8.8,Low,,,,,,,,
7.7,Low,,,,,,,,
1.6,Low,,,,,,,,
9,Low,,,,,,,,
9.4,Low,,,,,,,,
8.8,Low,,,,,,,,
8.7,Low,,,,,,,,
9.2,Low,,,,,,,,
9.5,Low,,,,,,,,
8,Low,,,,,,,,
0.9,Low,,,,,,,,
7.4,Low,,,,,,,,
9.3,Low,,,,,,,,
2.1,Low,,,,,,,,
2.1,Low,,,,,,,,
0.9,Low,,,,,,,,
3.4,Low,,,,,,,,
-0.5,Low,,,,,,,,
3.1,Low,,,,,,,,
2.5,Low,,,,,,,,
3.2,Low,,,,,,,,
3.2,Low,,,,,,,,
9.6,Low,,,,,,,,
1.6,Low,,,,,,,,
2.5,Low,,,,,,,,
8,Low,,,,,,,,
9.3,Low,,,,,,,,
1,Low,,,,,,,,
2.5,Low,,,,,,,,
8.7,Low,,,,,,,,
8.5,Low,,,,,,,,
8.7,Low,,,,,,,,
9.5,Low,,,,,,,,
0.4,Low,,,,,,,,
8,Low,,,,,,,,
9.2,Low,,,,,,,,
1,Low,,,,,,,,
8.5,Low,,,,,,,,
8.6,Low,,,,,,,,
9.4,Low,,,,,,,,
9.4,Low,,,,,,,,
2.6,Low,,,,,,,,
8.4,Low,,,,,,,,
8.5,Low,,,,,,,,
3.2,Low,,,,,,,,
8.7,Low,,,,,,,,
9,Low,,,,,,,,
8,Low,,,,,,,,
