amz_pt_class	amz_product_id	SKU	weekno	amz_final_price	avail_flag	amz_avail	cnt
1153 - Commercial	B001PKUUGI	959210	1	349.98	0	0	49
1153 - Commercial	B001PKUUGI	959210	2	349.98	0	0	49
1153 - Commercial	B001PKUUGI	959210	3	349.98	1	1	49
1153 - Commercial	B001PKUUGI	959210	4	349.98	1	1	49
1153 - Commercial	B001PKUUGI	959210	5	349.98	1	1	49
1153 - Commercial	B001PKUUGI	959210	6	349.98	0	0	49
1153 - Commercial	B001PKUUGI	959210	7	349.98	0	0	49
1153 - Commercial	B001PKUUGI	959210	8	349.98	0	0	49
1153 - Commercial	B001PKUUGI	959210	9	349.98	0	0	49
1153 - Commercial	B001PKUUGI	959210	10	429.99	0	0	49
1153 - Commercial	B001PKUUGI	959210	11	429.99	0	0	49
1153 - Commercial	B001PKUUGI	959210	12	429.99	0	0	49
1153 - Commercial	B001PKUUGI	959210	13	429.99	0	0	49
1153 - Commercial	B001PKUUGI	959210	14	429.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	15	429.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	16	429.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	17	429.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	18	429.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	19	429.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	20	429.99	0	0	49
1153 - Commercial	B001PKUUGI	959210	21	429.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	22	429.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	23	429.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	24	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	25	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	26	497.18	0	0	49
1153 - Commercial	B001PKUUGI	959210	27	497.18	0	0	49
1153 - Commercial	B001PKUUGI	959210	28	505.71	1	1	49
1153 - Commercial	B001PKUUGI	959210	29	506.44	1	1	49
1153 - Commercial	B001PKUUGI	959210	30	506.44	1	1	49
1153 - Commercial	B001PKUUGI	959210	31	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	32	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	33	506.44	1	1	49
1153 - Commercial	B001PKUUGI	959210	34	545.5	1	1	49
1153 - Commercial	B001PKUUGI	959210	35	549.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	36	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	37	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	38	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	39	472.04	1	1	49
1153 - Commercial	B001PKUUGI	959210	40	449.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	41	420.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	42	449.99	1	1	49
1153 - Commercial	B001PKUUGI	959210	43	483.55	1	1	49
1153 - Commercial	B001PKUUGI	959210	44	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	45	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	46	497.18	1	1	49
1153 - Commercial	B001PKUUGI	959210	47	453.46	1	1	49
1153 - Commercial	B001PKUUGI	959210	48	497.78	1	1	49
1153 - Commercial	B001PKUUGI	959210	49	497.78	1	1	49
1153 - Commercial	B001PKUUGI	959210	50	497.78	1	1	49
1153 - Commercial	B001PKUUGI	959210	51	497.78	1	1	49
1153 - Commercial	B001PKUUGI	959210	52	474.41	1	1	49
1153 - Commercial	B002M7Z5CC	412506	1	1333.61	1	1	49
1153 - Commercial	B002M7Z5CC	412506	2	1333.61	1	1	49
1153 - Commercial	B002M7Z5CC	412506	3	1333.69	0	0	49
1153 - Commercial	B002M7Z5CC	412506	4	1333.61	1	1	49
1153 - Commercial	B002M7Z5CC	412506	5	1333.61	0	0	49
1153 - Commercial	B002M7Z5CC	412506	6	1190.59	1	1	49
1153 - Commercial	B002M7Z5CC	412506	7	1190.59	0	0	49
1153 - Commercial	B002M7Z5CC	412506	8	389.985	0	0	49
1153 - Commercial	B002M7Z5CC	412506	9	389.985	0	0	49
1153 - Commercial	B002M7Z5CC	412506	10	1190.59	0	0	49
1153 - Commercial	B002M7Z5CC	412506	11	1190.59	0	0	49
1153 - Commercial	B002M7Z5CC	412506	12	1190.59	0	0	49
1153 - Commercial	B002M7Z5CC	412506	13	1190.59	0	0	49
1153 - Commercial	B002M7Z5CC	412506	14	1190.59	0	0	49
1153 - Commercial	B002M7Z5CC	412506	15	1315.87	1	1	49
1153 - Commercial	B002M7Z5CC	412506	16	1315.87	1	1	49
1153 - Commercial	B002M7Z5CC	412506	17	1315.87	1	1	49
1153 - Commercial	B002M7Z5CC	412506	18	1315.87	1	1	49
1153 - Commercial	B002M7Z5CC	412506	19	1315.87	1	1	49
1153 - Commercial	B002M7Z5CC	412506	20	1315.87	1	1	49
1153 - Commercial	B002M7Z5CC	412506	21	1364.83	0	0	49
1153 - Commercial	B002M7Z5CC	412506	22	1382.12	1	1	49
1153 - Commercial	B002M7Z5CC	412506	23	1382.12	1	1	49
1153 - Commercial	B002M7Z5CC	412506	24	1376.43	1	1	49
1153 - Commercial	B002M7Z5CC	412506	25	1382.12	1	1	49
1153 - Commercial	B002M7Z5CC	412506	26	1382.12	0	0	49
1153 - Commercial	B002M7Z5CC	412506	27	1382.12	0	0	49
1153 - Commercial	B002M7Z5CC	412506	28	1382.12	1	1	49
1153 - Commercial	B002M7Z5CC	412506	29	1382.12	1	1	49
1153 - Commercial	B002M7Z5CC	412506	30	1333.61	1	1	49
1153 - Commercial	B002M7Z5CC	412506	31	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	32	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	33	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	34	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	35	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	36	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	37	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	38	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	39	1312	1	1	49
1153 - Commercial	B002M7Z5CC	412506	40	1312	1	1	49
1153 - Commercial	B002M7Z5CC	412506	41	1312	1	1	49
1153 - Commercial	B002M7Z5CC	412506	42	1207.29	1	1	49
1153 - Commercial	B002M7Z5CC	412506	43	1207.29	1	1	49
1153 - Commercial	B002M7Z5CC	412506	44	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	45	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	46	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	47	1189.99	1	1	49
1153 - Commercial	B002M7Z5CC	412506	48	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	49	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	50	1333.6	1	1	49
1153 - Commercial	B002M7Z5CC	412506	51	1262.99	1	1	49
1153 - Commercial	B002M7Z5CC	412506	52	1262.99	1	1	49
1153 - Commercial	B002M8379E	412497	1	1032.06	1	1	47
1153 - Commercial	B002M8379E	412497	2	1032.06	1	1	47
1153 - Commercial	B002M8379E	412497	3	1032.06	1	1	47
1153 - Commercial	B002M8379E	412497	4	1032.06	0	0	47
1153 - Commercial	B002M8379E	412497	5	1032.06	1	1	47
1153 - Commercial	B002M8379E	412497	6	1032.06	1	1	47
1153 - Commercial	B002M8379E	412497	7	999.99	0	0	47
1153 - Commercial	B002M8379E	412497	8	999.99	0	0	47
1153 - Commercial	B002M8379E	412497	9	1032.06	0	0	47
1153 - Commercial	B002M8379E	412497	10	1032.06	0	0	47
1153 - Commercial	B002M8379E	412497	11	1032.06	0	0	47
1153 - Commercial	B002M8379E	412497	12	429.99	0	0	47
1153 - Commercial	B002M8379E	412497	13	429.99	0	0	47
1153 - Commercial	B002M8379E	412497	14	1032.06	0	0	47
1153 - Commercial	B002M8379E	412497	15	1060.16	1	1	47
1153 - Commercial	B002M8379E	412497	16	1060.15	1	1	47
1153 - Commercial	B002M8379E	412497	17	1060.15	1	1	47
1153 - Commercial	B002M8379E	412497	18	429.99	0	0	47
1153 - Commercial	B002M8379E	412497	19	429.99	0	0	47
1153 - Commercial	B002M8379E	412497	20	1074.02	1	1	47
1153 - Commercial	B002M8379E	412497	21	1030.43	1	1	47
1153 - Commercial	B002M8379E	412497	22	1030.43	1	1	47
1153 - Commercial	B002M8379E	412497	23	1030.43	1	1	47
1153 - Commercial	B002M8379E	412497	24	1032.06	1	1	47
1153 - Commercial	B002M8379E	412497	25	1032.06	1	1	47
1153 - Commercial	B002M8379E	412497	26	1030.43	1	1	47
1153 - Commercial	B002M8379E	412497	27	1032.06	0	0	47
1153 - Commercial	B002M8379E	412497	28	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	29	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	30	1010.45	1	1	47
1153 - Commercial	B002M8379E	412497	31	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	32	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	33	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	34	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	35	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	36	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	37	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	38	1032.05	1	1	47
1153 - Commercial	B002M8379E	412497	39	1033.01	1	1	47
1153 - Commercial	B002M8379E	412497	40	1033.01	1	1	47
1153 - Commercial	B002M8379E	412497	41	1033.01	0	0	47
1153 - Commercial	B002M8379E	412497	42	1033.01	1	1	47
1153 - Commercial	B002M8379E	412497	43	1010.45	1	1	47
1153 - Commercial	B002M8379E	412497	44	1030.46	1	1	47
1153 - Commercial	B002M8379E	412497	45	1033.01	1	1	47
1153 - Commercial	B002M8379E	412497	46	1030.46	1	1	47
1153 - Commercial	B002M8379E	412497	47	874.99	1	1	47
1153 - Commercial	B002M8379E	412497	48	956.93	1	1	47
1153 - Commercial	B002M8379E	412497	49	1149.99	1	1	47
1153 - Commercial	B002M8379E	412497	50	1149.99	1	1	47
1153 - Commercial	B002M8379E	412497	51	1149.99	1	1	47
1153 - Commercial	B002M8379E	412497	52	1201.67	1	1	47
1153 - Commercial	B004SU5030	952310	1	731.72	1	1	49
1153 - Commercial	B004SU5030	952310	2	684.05	1	1	49
1153 - Commercial	B004SU5030	952310	3	686.71	0	0	49
1153 - Commercial	B004SU5030	952310	4	688.04	0	0	49
1153 - Commercial	B004SU5030	952310	5	692.03	0	0	49
1153 - Commercial	B004SU5030	952310	6	692.03	0	0	49
1153 - Commercial	B004SU5030	952310	7	693.36	0	0	49
1153 - Commercial	B004SU5030	952310	8	688	0	0	49
1153 - Commercial	B004SU5030	952310	9	688	0	0	49
1153 - Commercial	B004SU5030	952310	10	690.66	0	0	49
1153 - Commercial	B004SU5030	952310	11	687.51	0	0	49
1153 - Commercial	B004SU5030	952310	12	676.07	0	0	49
1153 - Commercial	B004SU5030	952310	13	676.07	0	0	49
1153 - Commercial	B004SU5030	952310	14	673.94	0	0	49
1153 - Commercial	B004SU5030	952310	15	673.94	1	1	49
1153 - Commercial	B004SU5030	952310	16	664.31	1	1	49
1153 - Commercial	B004SU5030	952310	17	658.4	1	1	49
1153 - Commercial	B004SU5030	952310	18	670.86	1	1	49
1153 - Commercial	B004SU5030	952310	19	678.17	0	0	49
1153 - Commercial	B004SU5030	952310	20	678.76	1	1	49
1153 - Commercial	B004SU5030	952310	21	721.48	1	1	49
1153 - Commercial	B004SU5030	952310	22	571.72	1	1	49
1153 - Commercial	B004SU5030	952310	23	571.72	1	1	49
1153 - Commercial	B004SU5030	952310	24	589.56	1	1	49
1153 - Commercial	B004SU5030	952310	25	571.71	1	1	49
1153 - Commercial	B004SU5030	952310	26	534.57	1	1	49
1153 - Commercial	B004SU5030	952310	27	675.69	0	0	49
1153 - Commercial	B004SU5030	952310	28	624.1	1	1	49
1153 - Commercial	B004SU5030	952310	29	637.01	1	1	49
1153 - Commercial	B004SU5030	952310	30	619.57	1	1	49
1153 - Commercial	B004SU5030	952310	31	619.57	1	1	49
1153 - Commercial	B004SU5030	952310	32	578.77	1	1	49
1153 - Commercial	B004SU5030	952310	33	599.17	1	1	49
1153 - Commercial	B004SU5030	952310	34	652.21	1	1	49
1153 - Commercial	B004SU5030	952310	35	629.77	1	1	49
1153 - Commercial	B004SU5030	952310	36	675.69	1	1	49
1153 - Commercial	B004SU5030	952310	37	607.33	1	1	49
1153 - Commercial	B004SU5030	952310	38	653.13	1	1	49
1153 - Commercial	B004SU5030	952310	39	473.585	0	0	49
1153 - Commercial	B004SU5030	952310	40	473.585	0	0	49
