UgamID	Category_Path	Retailer	Division	Category	Department	Class	Subclass	Product_URL	Brand	Product_Name	Unique_Pdt_Identifier_MainPdt	Unique_Product_Identifier_Variant	Final_Price_after_Discount	Extraction_Date	Page_Title	Meta_Keywords	Meta_description	Product_Description	Product_Description_Main_Copy	Product_Description_Image_Link	Product_Description_Feature_Box	Product_Description_Fact_Tables	Product_Features	Product_Images	View_share_related_images_widget	Color	Video	Video_Count	Video_Length	Video:link	Product_Specification	Pdt_Spec_Cnt_of_attribute	Pdt_Spec_Attribution_NameValues	Product_Details	Product_Details_Cnt_of_attribute	Pdt_Detail_Attribution_NameValue	Reviews_Count	Total_Average_Ratings	Rating1	Rating2	Rating3	Rating4	Rating5	Rating6	Rating7	Rating8	Rating9	Rating10	Content_3p	Site_Likes	Facebook_Like	Google_1	Pinterest	List_Price	Discount	Discount_pct	Availability	BuyBoxWinner	Top_3_sellers	Seller_Count_New_item	Seller_Count_Used_item	Seller_Count_Refurbished_item	UPC	Product_Dimensions	Shipping_weight	Special_Offers_and_Product_Promotions	Frequently_Bought_Together_Data	Frequently_Bought_Together_Count	Product_Details_Size	Product_Details_Inseam	Best_seller_ranking
LGK0004	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1054902/leatherbay-pockets-backpack.jsp	Leatherbay	Leatherbay Pockets Backpack	1054902	1054902	269.95	12/2/2013 14:37	Leatherbay Pockets Backpack	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p><strong>Pack and go.</strong> This backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay pockets backpack to find your favorite color.</p><ul> <li>Deep interior compartment holds all of your belongings.</li> <li>Two outside pockets with individual buckles lend convenience.</li> <li>Hidden zipper in back offers quick access to the main compartment.</li> <li>Adjustable shoulder straps and carry-on handle lend carefree carrying.</li> <li>Leather construction provides long-lasting use.</li> <li>Details: <ul> <li>17""H x 12""W x 6""D</li> <li>Leather</li> <li>Zipper closures</li> <li>Manufacturer's 1-year limited warranty</li> <li>Model no. 80102</li> <li><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></li> </ul> </li> </ul> </div> </div> </div>"	"Product Details Pack and go. This backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay pockets backpack to find your favorite color. Deep interior compartment holds all of your belongings. Two outside pockets with individual buckles lend convenience. Hidden zipper in back offers quick access to the main compartment. Adjustable shoulder straps and carry-on handle lend carefree carrying. Leather construction provides long-lasting use. Details: 17""H x 12""W x 6""D Leather Zipper closures Manufacturer's 1-year limited warranty Model no. 80102 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	http://media.kohls.com.edgesuite.net/is/image/kohls/1054902?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	269.95	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	8.51921E+11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
LGK0003	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1054896/leatherbay-shopping-tote.jsp	Leatherbay	Leatherbay Shopping Tote	1054896	1054896	135.95	12/2/2013 14:37	Leatherbay Shopping Tote	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p><strong>On the go?</strong> This shopping tote is ideal for everyday use. Shop Kohls.com for other Leatherbay shopping totes to find your favorite color.</p><ul> <li>Large interior compartment stores your essentials.</li> <li>Zippered closures make sure your things are secure.</li> <li>Shoulder straps provide carrying ease.</li> <li>Full-grain leather construction ensures durability.</li> <li>Details: <ul> <li>16""H x 14""W x 6""D</li> <li>Leather</li> <li>Zipper closures</li> <li>Manufacturer's 1-year limited warranty</li> <li>Model no. 20102</li> <li><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></li> </ul> </li> </ul> </div> </div> </div>"	"Product Details On the go? This shopping tote is ideal for everyday use. Shop Kohls.com for other Leatherbay shopping totes to find your favorite color. Large interior compartment stores your essentials. Zippered closures make sure your things are secure. Shoulder straps provide carrying ease. Full-grain leather construction ensures durability. Details: 16""H x 14""W x 6""D Leather Zipper closures Manufacturer's 1-year limited warranty Model no. 20102 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	http://media.kohls.com.edgesuite.net/is/image/kohls/1054896?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	135.95	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	8.51921E+11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
LGK0002	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1054894/leatherbay-commuter-laptop-case.jsp	Leatherbay	Leatherbay Commuter Laptop Case	1054894	1054894	167.95	12/2/2013 14:37	Leatherbay Commuter Laptop Case	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p><strong>Ready when you are.</strong> This commuter laptop case will make sure you're always prepared. Shop Kohls.com for other Leatherbay commuter laptop cases to find your favorite color.</p><ul> <li>Two outside pockets hold your newspapers, tickets, boarding passes or other items.</li> <li>Zippered interior divider creates a double compartment and keeps your documents in mint condition.</li> <li>Zippered closure makes sure your things are secure.</li> <li>Adjustable shoulder straps provide carrying convenience.</li> <li>Leather construction ensures durability. </li> <li>Details: <ul> <li>13""H x 19""W x 4 1/2""D</li> <li>Holds most laptops with up to a 17-in. screen</li> <li>Leather</li> <li>Zipper closures</li> <li>Manufacturer's 1-year limited warranty</li> <li>Model no. 10106</li> <li><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></li> </ul> </li> </ul> </div> </div> </div>"	"Product Details Ready when you are. This commuter laptop case will make sure you're always prepared. Shop Kohls.com for other Leatherbay commuter laptop cases to find your favorite color. Two outside pockets hold your newspapers, tickets, boarding passes or other items. Zippered interior divider creates a double compartment and keeps your documents in mint condition. Zippered closure makes sure your things are secure. Adjustable shoulder straps provide carrying convenience. Leather construction ensures durability. Details: 13""H x 19""W x 4 1/2""D Holds most laptops with up to a 17-in. screen Leather Zipper closures Manufacturer's 1-year limited warranty Model no. 10106 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	http://media.kohls.com.edgesuite.net/is/image/kohls/1054894?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	167.95	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	8.51921E+11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
LGK0001	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1054892/leatherbay-commuter-laptop-case.jsp	Leatherbay	Leatherbay Commuter Laptop Case	1054892	1054892	167.95	12/2/2013 14:37	Leatherbay Commuter Laptop Case	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p><strong>Ready when you are.</strong> This commuter laptop case will make sure you're always prepared. Shop Kohls.com for other Leatherbay commuter laptop cases to find your favorite color.</p><ul> <li>Two outside pockets hold your newspapers, tickets, boarding passes or other items.</li> <li>Zippered interior divider creates a double compartment and keeps your documents in mint condition.</li> <li>Zippered closure makes sure your things are secure.</li> <li>Adjustable shoulder straps provide carrying convenience.</li> <li>Leather construction ensures durability. </li> <li>Details: <ul> <li>13""H x 19""W x 4 1/2""D</li> <li>Holds most laptops with up to a 17-in. screen</li> <li>Leather</li> <li>Zipper closures</li> <li>Manufacturer's 1-year limited warranty</li> <li>Model no. 10105</li> <li><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></li> </ul> </li> </ul> </div> </div> </div>"	"Product Details Ready when you are. This commuter laptop case will make sure you're always prepared. Shop Kohls.com for other Leatherbay commuter laptop cases to find your favorite color. Two outside pockets hold your newspapers, tickets, boarding passes or other items. Zippered interior divider creates a double compartment and keeps your documents in mint condition. Zippered closure makes sure your things are secure. Adjustable shoulder straps provide carrying convenience. Leather construction ensures durability. Details: 13""H x 19""W x 4 1/2""D Holds most laptops with up to a 17-in. screen Leather Zipper closures Manufacturer's 1-year limited warranty Model no. 10105 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	http://media.kohls.com.edgesuite.net/is/image/kohls/1054892?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	167.95	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	8.51921E+11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
LGK0007	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1056017/leatherbay-mini-backpack.jsp	Leatherbay	Leatherbay Mini Backpack	1056017	1056017	129.95	12/2/2013 14:37	Leatherbay Mini Backpack	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p><strong>On-the-go organization.</strong> This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color.</p><ul> <li>Interior compartment holds all of your belongings.</li> <li>Hidden zipper in back offers quick access to the main compartment.</li> <li>Drawstring with stoppers and lock promise security.</li> <li>Adjustable shoulder straps and carry-on handle lend carefree carrying.</li> <li>Leather construction provides long-lasting use.</li> <li>Details: <ul> <li>10 1/2""H x 7""W x 4 1/2""D</li> <li>Leather</li> <li>Zipper closure</li> <li>Manufacturer's 1-year limited warranty</li> <li>Model no. 80108</li> <li><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></li> </ul> </li> </ul> </div> </div> </div>"	"Product Details On-the-go organization. This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color. Interior compartment holds all of your belongings. Hidden zipper in back offers quick access to the main compartment. Drawstring with stoppers and lock promise security. Adjustable shoulder straps and carry-on handle lend carefree carrying. Leather construction provides long-lasting use. Details: 10 1/2""H x 7""W x 4 1/2""D Leather Zipper closure Manufacturer's 1-year limited warranty Model no. 80108 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	http://media.kohls.com.edgesuite.net/is/image/kohls/1056017?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	129.95	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	8.51921E+11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
LGK0182	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1056014/leatherbay-laptop-backpack.jsp?pfx=pfx_shopcompare&cid=shopping7&mr:referralID=e1e4c9cc-d28a-11e2-9389-001b2166c62d	Leatherbay	Leatherbay Laptop Backpack	1056014	1056014	299.95	12/2/2013 14:37	Leatherbay Laptop Backpack	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p><strong>Pack and go.</strong> This laptop backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay laptop backpacks to find your favorite color.</p><ul> <li>Interior pocket holds all your belongings.</li> <li>Convenient wide elastic band holds pens, wallets or business cards.</li> <li>Quick-access pouch offers secure external storage.</li> <li>Seperate cushioned compartment safely stores your laptop.</li> <li>Dual exterior bottle holders keep your beverages handy.</li> <li>Zippered closures promise security.</li> <li>Adjustable shoulder straps and carry-on handle lend carefree carrying.</li> <li>Leather construction provides long-lasting use.</li> <li>Details: <ul> <li>15""H x 12.3""W x 6.5""D</li> <li>Holds most laptops with up to a 15 1/2-in. screen</li> <li>Leather</li> <li>Zipper closures</li> <li>Manufacturer's 1-year limited warranty</li> <li>Model no. 80106</li> <li><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></li> </ul> </li> </ul> </div> </div> </div>"	"Product Details Pack and go. This laptop backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay laptop backpacks to find your favorite color. Interior pocket holds all your belongings. Convenient wide elastic band holds pens, wallets or business cards. Quick-access pouch offers secure external storage. Seperate cushioned compartment safely stores your laptop. Dual exterior bottle holders keep your beverages handy. Zippered closures promise security. Adjustable shoulder straps and carry-on handle lend carefree carrying. Leather construction provides long-lasting use. Details: 15""H x 12.3""W x 6.5""D Holds most laptops with up to a 15 1/2-in. screen Leather Zipper closures Manufacturer's 1-year limited warranty Model no. 80106 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	http://media.kohls.com.edgesuite.net/is/image/kohls/1056014?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	299.95	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	8.51921E+11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
LGK0006	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1056014/leatherbay-laptop-backpack.jsp	Leatherbay	Leatherbay Laptop Backpack	1056014	1056014	299.95	12/2/2013 14:37	Leatherbay Laptop Backpack	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p><strong>Pack and go.</strong> This laptop backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay laptop backpacks to find your favorite color.</p><ul> <li>Interior pocket holds all your belongings.</li> <li>Convenient wide elastic band holds pens, wallets or business cards.</li> <li>Quick-access pouch offers secure external storage.</li> <li>Seperate cushioned compartment safely stores your laptop.</li> <li>Dual exterior bottle holders keep your beverages handy.</li> <li>Zippered closures promise security.</li> <li>Adjustable shoulder straps and carry-on handle lend carefree carrying.</li> <li>Leather construction provides long-lasting use.</li> <li>Details: <ul> <li>15""H x 12.3""W x 6.5""D</li> <li>Holds most laptops with up to a 15 1/2-in. screen</li> <li>Leather</li> <li>Zipper closures</li> <li>Manufacturer's 1-year limited warranty</li> <li>Model no. 80106</li> <li><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></li> </ul> </li> </ul> </div> </div> </div>"	"Product Details Pack and go. This laptop backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay laptop backpacks to find your favorite color. Interior pocket holds all your belongings. Convenient wide elastic band holds pens, wallets or business cards. Quick-access pouch offers secure external storage. Seperate cushioned compartment safely stores your laptop. Dual exterior bottle holders keep your beverages handy. Zippered closures promise security. Adjustable shoulder straps and carry-on handle lend carefree carrying. Leather construction provides long-lasting use. Details: 15""H x 12.3""W x 6.5""D Holds most laptops with up to a 15 1/2-in. screen Leather Zipper closures Manufacturer's 1-year limited warranty Model no. 80106 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	http://media.kohls.com.edgesuite.net/is/image/kohls/1056014?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	299.95	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	8.51921E+11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
LGK0005	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1056009/leatherbay-small-backpack.jsp	Leatherbay	Leatherbay Small Backpack	1056009	1056009	159.95	12/2/2013 14:37	Leatherbay Small Backpack	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p><strong>Pack and go.</strong> This small backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other small backpacks to find your favorite color.</p><ul> <li>Four interior compartments hold all of your belongings.</li> <li>Hidden zipper in back offers quick access to the main compartment.</li> <li>Magnetic snap closure on flap promises security.</li> <li>Adjustable shoulder straps and carry-on handle lend carefree carrying.</li> <li>Leather construction provides long-lasting use.</li> <li>Details: <ul> <li>12""H x 8 1/2""W x 5""D</li> <li>Leather</li> <li>Zipper closures</li> <li>Manufacturer's 1-year limited warranty</li> <li>Model no. 80104</li> <li><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></li> </ul> </li> </ul> </div> </div> </div>"	"Product Details Pack and go. This small backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other small backpacks to find your favorite color. Four interior compartments hold all of your belongings. Hidden zipper in back offers quick access to the main compartment. Magnetic snap closure on flap promises security. Adjustable shoulder straps and carry-on handle lend carefree carrying. Leather construction provides long-lasting use. Details: 12""H x 8 1/2""W x 5""D Leather Zipper closures Manufacturer's 1-year limited warranty Model no. 80104 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	http://media.kohls.com.edgesuite.net/is/image/kohls/1056009?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	159.95	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	8.51921E+11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
LGK0190	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130346/wildkin-olive-kids-trains-planes-and-trucks-good-times-rolling-duffel-bag-kids.jsp?pfx=pfx_shopcompare&cid=shopping7&mr:referralID=84d4d06a-cd01-11e2-9dea-001b2166becc	Wildkin	"Wildkin Olive Kids Trains, Planes & Trucks Good Times Rolling Duffel Bag - Boys"	1130346	1130346	72.99	12/2/2013 14:37	"Wildkin Olive Kids Trains, Planes and Trucks Good Times Rolling Duffel Bag - Boys"	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p>With in-line skate wheels, an extendable handle and an outer pocket, this Wildkin boys' rolling duffel bag makes travel a breeze. In blue.</p><p><strong>Product Features:</strong></p> <ul> <li>Moisture-resistant finish lines interior</li> <li>Exterior offers a durable 600-<a href=""javascript:launch('http://www.kohlscorporation.com/ecom/valueadded/Glossary.htm#denier')"">denier</a> construction</li> <li>Zipper closures</li> </ul> <p><strong>Product Details:</strong></p> <ul> <li>22""H x 12.5""W x 10.5""D</li> <li>Ages 5 years & up</li> <li>Polyester/nylon</li> <li>Manufacturer's one-year limited warranty</li> <li>Model no. 51079</li> </ul> <p><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></p> </div> </div> </div>"	"Product Details With in-line skate wheels, an extendable handle and an outer pocket, this Wildkin boys' rolling duffel bag makes travel a breeze. In blue.Product Features: Moisture-resistant finish lines interior Exterior offers a durable 600-denier construction Zipper closures Product Details: 22""H x 12.5""W x 10.5""D Ages 5 years & up Polyester/nylon Manufacturer's one-year limited warranty Model no. 51079 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	Moisture-resistant finish lines interior####Exterior offers a durable 600-denier construction####Zipper closures	http://media.kohls.com.edgesuite.net/is/image/kohls/1130346?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	"</p> <ul> <li>22""H x 12.5""W x 10.5""D</li> <li>Ages 5 years & up</li> <li>Polyester/nylon</li> <li>Manufacturer's one-year limited warranty</li> <li>Model no. 51079</li> </ul> <p><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></p>"	n/a	"22""H x 12.5""W x 10.5""D####Ages 5 years & up####Polyester/nylon####Manufacturer's one-year limited warranty####Model no. 51079 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	72.99	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	97277510790	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
LGK0018	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130297/wildkin-ball-n-all-sports-backpack-kids.jsp?searchTerm=Wildkin%20Sports%20Backpack	Wildkin	Wildkin Ball 'n' All Sports Backpack - Kids	1130297	1130297	44.99	12/2/2013 14:37	Wildkin Ball n All Sports Backpack - Kids	n/a	n/a	"<li > <a href=""#collection-content"" class=""active""> Product Details </a> </li> </ul> <div id=""collection-content""> <div class=""prod_description1""> <div class=""Bdescription""> <p>Featuring four exterior pockets, a mesh ball carrier and 600-<a href=""javascript:launch('http://www.kohlscorporation.com/ecom/valueadded/Glossary.htm#denier')"">denier</a> construction, this Wildkin dotted backpack is perfect for keeping your little athlete's gear organized. In blue.</p><p><strong>Product Features</strong></p> <ul> <li>Adjustable, padded shoulder straps</li> <li>Moisture-resistant lining</li> <li>Main compartment zips close</li> </ul> <p><strong>Product Details</strong></p> <ul> <li>18""H x 15""W x 6""D</li> <li>Polyester/nylon</li> <li>Zipper closures</li> <li>Manufacturer's 1-year limited warranty</li> <li>Model no. 49505</li> </ul> <p><em>Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores.</em></p> </div> </div> </div>"	"Product Details Featuring four exterior pockets, a mesh ball carrier and 600-denier construction, this Wildkin dotted backpack is perfect for keeping your little athlete's gear organized. In blue.Product Features Adjustable, padded shoulder straps Moisture-resistant lining Main compartment zips close Product Details 18""H x 15""W x 6""D Polyester/nylon Zipper closures Manufacturer's 1-year limited warranty Model no. 49505 Promotional offers available online at Kohls.com may vary from those offered in Kohl's stores."	n/a	n/a	n/a	n/a	http://media.kohls.com.edgesuite.net/is/image/kohls/1130297?wid=350&hei=350&op_sharpen=1	n/a	n/a	N	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	44.99	n/a	n/a	Yes	n/a	n/a	n/a	n/a	n/a	97277495059	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
