UgamID	Category_Path	Retailer	Division	Category	Department	Class	Subclass	Product_URL	Brand	Product_Name	Unique_Product_Identifier_Mainproduct	Unique_Product_Identifier_Variant	Final_Price_after_Discount	Extraction_Date	Review:Link	Review:Header	Review:Creation_Date	Review:From	Review:By	Review:Helpful_Votes	Review:Total_Votes	Review:Rating_Score	Review:Rating_Scale	Review:Reviewers_Badges	Review_Text	Review:Count_Of_Comments	Review:Verified_Purchase	Reviewer_Age	Reviewer_Gender	Review_Count	Product_reviews
LGKR0003	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1054896/leatherbay-shopping-tote.jsp	Leatherbay	Leatherbay Shopping Tote	1054896	1054896	135.95	2013-12-02 18:44:50	http://reviews.kohls.com/9025/1054896/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0002	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1054894/leatherbay-commuter-laptop-case.jsp	Leatherbay	Leatherbay Commuter Laptop Case	1054894	1054894	167.95	2013-12-02 18:44:50	http://reviews.kohls.com/9025/1054894/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0004	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1054902/leatherbay-pockets-backpack.jsp	Leatherbay	Leatherbay Pockets Backpack	1054902	1054902	269.95	2013-12-02 18:44:50	http://reviews.kohls.com/9025/1054902/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0001	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1054892/leatherbay-commuter-laptop-case.jsp	Leatherbay	Leatherbay Commuter Laptop Case	1054892	1054892	167.95	2013-12-02 18:44:50	http://reviews.kohls.com/9025/1054892/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0008	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130073/wildkin-olive-kids-paisley-sidekick-backpack-kids.jsp	Wildkin	Wildkin Olive Kids Paisley Sidekick Backpack - Kids	1130073	1130073	34.99	2013-12-02 18:44:53	http://reviews.kohls.com/9025/1130073/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0183	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1056020/leatherbay-mini-backpack.jsp?pfx=pfx_shopcompare&cid=shopping7&mr:referralID=0639324b-d28b-11e2-9389-001b2166c62d	Leatherbay	Leatherbay Mini Backpack	1056020	1056020	129.95	2013-12-02 18:44:53	http://reviews.kohls.com/9025/1056020/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0184	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130077/wildkin-owl-sidekick-backpack-kids.jsp	Wildkin	Wildkin Owl Sidekick Backpack - Kids	1130077	1130077	34.99	2013-12-02 18:44:53	http://reviews.kohls.com/9025/1130077/reviews.htm?format=embedded	Good quality backpack	11/14/2012	n/a	bayarea	0	0	4	5	n/a	My daughter loves it. The backpack is not flimsy - Great workmanship, easy to zip up, enough small compartments, just the right size for my kindergartener, easy to clean too.	n/a	n/a	n/a	n/a	1	1
LGKR0009	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130080/wildkin-peace-sign-sidekick-backpack-kids.jsp	Wildkin	Wildkin Peace Sign Sidekick Backpack - Kids	1130080	1130080	34.99	2013-12-02 18:44:53	http://reviews.kohls.com/9025/1130080/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0185	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130233/wildkin-macropack-backpack-kids.jsp	Wildkin	Wildkin Macropack Backpack - Kids	1130233	1130233	42.99	2013-12-02 18:45:05	http://reviews.kohls.com/9025/1130233/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0014	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130256/wildkin-olive-kids-wild-animals-pack-n-snack-backpack-kids.jsp	Wildkin	Wildkin Olive Kids Wild Animals Pack 'n Snack Backpack - Kids	1130256	1130256	25.99	2013-12-02 18:45:05	http://reviews.kohls.com/9025/1130256/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0015	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130257/wildkin-olive-kids-mermaid-pack-n-snack-backpack-kids.jsp?searchTerm=Wildkin%20Olive%20Kids%20Mermaids%20Pack%20n%20Snack%20Blackpack	Wildkin	Wildkin Olive Kids Mermaid Pack 'n Snack Backpack - Kids	1130257	1130257	29.99	2013-12-02 18:45:05	http://reviews.kohls.com/9025/1130257/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0190	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130346/wildkin-olive-kids-trains-planes-and-trucks-good-times-rolling-duffel-bag-kids.jsp?pfx=pfx_shopcompare&cid=shopping7&mr:referralID=84d4d06a-cd01-11e2-9dea-001b2166becc	Wildkin	Wildkin Olive Kids Trains, Planes & Trucks Good Times Rolling Duffel Bag - Boys	1130346	1130346	72.99	2013-12-02 18:45:20	http://reviews.kohls.com/9025/1130346/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0019	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130471/wildkin-big-dots-good-times-rolling-duffel-bag-kids.jsp?searchTerm=Wildkin%20Big%20Dots%20Good%20Times%20Rolling%20Duffel%20Bag%20-%20Kids	Wildkin	Wildkin Big Dots Good Times Rolling Duffel Bag - Kids	1130471	1130471	72.99	2013-12-02 18:45:20	http://reviews.kohls.com/9025/1130471/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
