UgamID,Category_Path,Retailer,Division,Category,Department,Class,Subclass,Product_URL,Brand,Product_Name,Unique_Product_Identifier_Mainpdt,Unique_Product_Identifier_Variant,Final_Price_after_Discount,Extraction_Date,URL_of_the_Image,UGC,Notes,Alt_Tag
LGKI0002,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1054894/leatherbay-commuter-laptop-case.jsp,Leatherbay,Leatherbay Commuter Laptop Case,1054894,1054894,167.95,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1054894?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0003,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1054896/leatherbay-shopping-tote.jsp,Leatherbay,Leatherbay Shopping Tote,1054896,1054896,135.95,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1054896?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0001,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1054892/leatherbay-commuter-laptop-case.jsp,Leatherbay,Leatherbay Commuter Laptop Case,1054892,1054892,167.95,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1054892?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0006,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1056014/leatherbay-laptop-backpack.jsp,Leatherbay,Leatherbay Laptop Backpack,1056014,1056014,299.95,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1056014?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0005,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1056009/leatherbay-small-backpack.jsp,Leatherbay,Leatherbay Small Backpack,1056009,1056009,159.95,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1056009?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0182,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1056014/leatherbay-laptop-backpack.jsp?pfx=pfx_shopcompare&cid=shopping7&mr:referralID=e1e4c9cc-d28a-11e2-9389-001b2166c62d,Leatherbay,Leatherbay Laptop Backpack,1056014,1056014,299.95,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1056014?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0004,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1054902/leatherbay-pockets-backpack.jsp,Leatherbay,Leatherbay Pockets Backpack,1054902,1054902,269.95,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1054902?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0013,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130231/wildkin-leopard-macropack-backpack-kids.jsp?searchTerm=Wildkin%20Leopard%20Macropak%20Backpack,Wildkin,Wildkin Leopard Macropack Backpack - Kids,1130231,1130231,42.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130231?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0015,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130257/wildkin-olive-kids-mermaid-pack-n-snack-backpack-kids.jsp?searchTerm=Wildkin%20Olive%20Kids%20Mermaids%20Pack%20n%20Snack%20Blackpack,Wildkin,Wildkin Olive Kids Mermaid Pack 'n Snack Backpack - Kids,1130257,1130257,29.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130257?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
LGKI0014,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130256/wildkin-olive-kids-wild-animals-pack-n-snack-backpack-kids.jsp,Wildkin,Wildkin Olive Kids Wild Animals Pack 'n Snack Backpack - Kids,1130256,1130256,25.99,2013-12-02 19:33,http://media.kohls.com.edgesuite.net/is/image/kohls/1130256?wid=1000&hei=1000&op_sharpen=1,n/a,n/a,n/a
