UgamID,Category_Path,Retailer,Division,Category,Department,Class,Subclass,Product_URL,Brand,Product_Name,Unique_Pdt_Identifier_Mainpdt,Unique_Product_Identifier_Variant,Final_Price_after_Discount,Extraction_Date,Review_Link,Review_Header,Review_Creation_Date,Review_From,Review_By,Review_Helpful_Votes,Review_Total_Votes,Review_Rating_Score,Review_Rating_Scale,Review_Reviewers_Badges,Review_Text,Review_Count_Of_Comments,Review_Verified_Purchase,Reviewer_Age,Reviewer_Gender,Review_Count,Product_reviews
LGKR0184,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130077/wildkin-owl-sidekick-backpack-kids.jsp,Wildkin,Wildkin Owl Sidekick Backpack - Kids,1130077,1130077,34.99,12/2/2013 18:44,http://reviews.kohls.com/9025/1130077/reviews.htm?format=embedded,Good quality backpack,11/14/2012,n/a,bayarea,0,0,4,5,n/a,"My daughter loves it. The backpack is not flimsy - Great workmanship, easy to zip up, enough small compartments, just the right size for my kindergartener, easy to clean too.",n/a,n/a,n/a,n/a,1,1
LGKR0016,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130258/wildkin-olive-kids-paisley-pack-n-snack-backpack-kids.jsp,n/a,n/a,1130258,1130258,0,12/2/2013 18:45,http://reviews.kohls.com/9025/1130258/reviews.htm?format=embedded,Beautiful Backpack!,10/12/2012,D.C.,AutumnGrace,0,0,5,5,n/a,"This backpack is sooo cute. It is large enough to hold my daughter's lunch box, extra change of clothes and her school projects. We both love it!",n/a,n/a,35-44,n/a,1,1
LGKR0023,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130488/wildkin-leopard-serious-backpack-kids.jsp?searchTerm=Wildkin%20Leopard%20Serious%20Backpack,Wildkin,Wildkin Leopard Serious Backpack - Kids,1130488,1130488,67.99,12/2/2013 18:45,http://reviews.kohls.com/9025/1130488/reviews.htm?format=embedded,Worst piece of junk ever!!!,5/31/2013,Ramsey,OMGNOTHAPPY,1,2,1,5,n/a,I would give this zero stars if I could. I purchased this over priced back pack for my 7 year old daughter. She used it less than a week and the entire zipper ripped off of the back pack. I exchanged it for a new one thinking that the 1st one might have just been defective. Well the second one ripped in just 2 days the exact same way in the exact same place. DO NOT purchase this unless you want to run back to Kohls several times.,1,n/a,25-34,n/a,1,1
LGKR0204,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130539/wildkin-camo-crackerjack-backpack-kids.jsp,Wildkin,Wildkin Camo Crackerjack Backpack - Kids,1130539,1130539,36.99,12/2/2013 18:46,http://reviews.kohls.com/9025/1130539/reviews.htm?format=embedded,Nice backpack!,9/22/2012,Cloverdale,Shellyp,0,0,3,5,n/a,Nice print and ok quality. Not a super huge Pak so it would be better for younger children.,n/a,n/a,35-44,n/a,1,1
LGKR0033,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1194320/mcklein-alexis-154-in-laptop-briefcase.jsp,McKlein,McKlein Alexis 15.4-in. Laptop Briefcase,1194320,1194320,189.99,12/2/2013 18:46,http://reviews.kohls.com/9025/1194320/reviews.htm?format=embedded,poor quality,3/7/2013,Indiana,RamblingRose,0,0,2,5,n/a,"I bought this for my daughter, who wanted something more feminine than a standard briefcase. She like the design of it, with plenty of pockets and dividers, but the actual construction was badly done. The leather wasn't sewn together well in places. The white ""trim"" around the edges looked like someone had taken white fabric paint and made a not entirely straight line down them. Some of the white was chipped off already.",n/a,n/a,45-54,n/a,1,1
LGKR0066,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1305855/rockland-2-pc-luggage-set.jsp?searchTerm=675478102510,Rockland,"Rockland Luggage, 2-pc. Luggage Set",1305855,1305855,59.99,12/2/2013 18:47,http://reviews.kohls.com/9025/1305855/reviews.htm?format=embedded,If you are a below the age of 6 this will work.,3/4/2013,Tyrone,DBlakem,0,0,2,5,n/a,Way too small and cheap quality. Trust me when I say you get what you pay for.,n/a,n/a,18-24,n/a,1,1
LGKR0065,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1305855/rockland-2-pc-luggage-set.jsp,Rockland,"Rockland Luggage, 2-pc. Luggage Set",1305855,1305855,59.99,12/2/2013 18:47,http://reviews.kohls.com/9025/1305855/reviews.htm?format=embedded,If you are a below the age of 6 this will work.,3/4/2013,Tyrone,DBlakem,0,0,2,5,n/a,Way too small and cheap quality. Trust me when I say you get what you pay for.,n/a,n/a,18-24,n/a,1,1
LGKR0082,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309423/rockland-4-pc-luggage-set.jsp,Rockland,"Rockland Luggage, 4-pc. Luggage Set",1309423,1309423,167.99,12/2/2013 18:47,http://reviews.kohls.com/9025/1309423/reviews.htm?format=embedded,Great value for the price,2/28/2013,Chula Vista,ChicaMex,0,0,4,5,n/a,"Very stylish. Beautiful pattern and design. I think for the price this is an excellent set.So far I've only used the smaller of the ""two wheeled uprights"" (which is bigger than the carry-on). Loved the compartments and workable zippers. Wheels worked excellent when pulling it.The negative part of this one is that it didn't really stayed up on it's own. It kept tipping over.Storing them is easy because they all fit in the bigger one. (Like the nested russian dolls)",n/a,n/a,35-44,n/a,1,1
LGKR0084,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309427/rockland-luggage-4-pc-luggage-set.jsp,Rockland,"Rockland Luggage, 4-pc. Luggage Set",1309427,1309427,167.99,12/2/2013 18:47,http://reviews.kohls.com/9025/1309427/reviews.htm?format=embedded,n/a,3/16/2013,n/a,LifetimeCustomer1,0,0,5,5,n/a,n/a,n/a,n/a,25-34,n/a,1,1
LGKR0083,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309427/rockland-4-pc-luggage-set.jsp,Rockland,"Rockland Luggage, 4-pc. Luggage Set",1309427,1309427,167.99,12/2/2013 18:47,http://reviews.kohls.com/9025/1309427/reviews.htm?format=embedded,n/a,3/16/2013,n/a,LifetimeCustomer1,0,0,5,5,n/a,n/a,n/a,n/a,25-34,n/a,1,1
