Kohls_product_name,Designer_bags,Mini,Backpack,Messenger_bags,Wheeled
lego legends of chima backpack - kids,0,0,1,0,0
leatherbay downtown messenger bag,0,0,0,1,0
leatherbay laptop backpack,0,0,1,0,0
leatherbay mini backpack,0,1,1,0,0
leatherbay pockets backpack,0,0,1,0,0
leatherbay shopping tote,0,0,0,0,0
leatherbay small backpack,0,0,1,0,0
leatherbay&reg; downtown messenger bag,0,0,0,1,0
nintendo mario kart 7 lenticular backpack - kids,1,0,1,0,0
rockland black wheeled backpack,0,0,1,0,1
rockland luca vergani giraffe 2-pc. cosmetic bag set,1,0,0,0,0
rockland luca vergani zebra 2-pc. cosmetic bag set,1,0,0,0,0
rockland paisley wheeled backpack,1,0,1,0,1
rockland peace wheeled backpack,0,0,1,0,1
rockland polka-dot wheeled backpack,1,0,1,0,1
sumdex impulse full speed rain bumper 15.6-in. laptop backpack,1,0,1,0,0
t-tech by tumi packable backpack,0,0,1,0,0
teenage mutant ninja turtles shell backpack - kids,1,0,1,0,0
wildkin ball 'n' all sports backpack - kids,1,0,1,0,0
wildkin big dots crackerjack backpack - kids,1,0,1,0,0
wildkin big dots jumpstart messenger bag - kids,1,0,0,1,0
wildkin big dots kickstart messenger bag - kids,1,0,0,1,0
wildkin big dots macropak backpack - kids,1,0,1,0,0
wildkin big dots serious backpack - kids,1,0,1,0,0
wildkin big dots sidekick backpack - kids,1,0,1,0,0
wildkin camo crackerjack backpack - kids,1,0,1,0,0
wildkin camo jumpstart messenger bag - kids,1,0,0,1,0
wildkin camo kickstart messenger bag - kids,1,0,0,1,0
wildkin camo pack 'n snack backpack - kids,1,0,1,0,0
wildkin camo serious backpack - kids,1,0,1,0,0
wildkin camo sidekick backpack - kids,1,0,1,0,0
wildkin dinosaur pack 'n snack backpack - kids,1,0,1,0,0
wildkin horse crackerjack backpack - kids,1,0,1,0,0
wildkin horse dreams crackerjack backpack - kids,1,0,1,0,0
wildkin horse dreams jumpstart messenger bag - kids,1,0,0,1,0
wildkin horse jumpstart messenger bag - kids,1,0,0,1,0
wildkin horse serious backpack - kids,1,0,1,0,0
wildkin horses backpack - kids,1,0,1,0,0
wildkin kaleidoscope backpack - kids,1,0,1,0,0
wildkin kaleidoscope crackerjack backpack - kids,1,0,1,0,0
wildkin kickstart messenger bag - kids,0,0,0,1,0
wildkin ladybug pack 'n snack backpack - kids,1,0,1,0,0
wildkin leopard jumpstart messenger bag - kids,1,0,0,1,0
wildkin leopard macropack backpack - kids,1,0,1,0,0
wildkin leopard serious backpack - kids,1,0,1,0,0
wildkin lily frogs pack 'n snack backpack - kids,1,0,1,0,0
wildkin macropack backpack - kids,1,0,1,0,0
wildkin majestic crackerjack backpack - kids,1,0,1,0,0
wildkin majestic jumpstart messenger bag - kids,1,0,0,1,0
wildkin olive kids butterfly garden pack 'n snack backpack - kids,1,0,1,0,0
wildkin olive kids heroes sidekick backpack - kids,1,0,1,0,0
wildkin olive kids mermaid pack 'n snack backpack - kids,1,0,1,0,0
wildkin olive kids paisley pack 'n snack backpack - kids,1,0,1,0,0
wildkin olive kids paisley sidekick backpack - kids,1,0,1,0,0
wildkin olive kids wild animals pack 'n snack backpack - kids,1,0,1,0,0
wildkin owl kickstart messenger bag - kids,1,0,0,1,0
wildkin owl macropack backpack - kids,1,0,1,0,0
wildkin owl pack 'n snack backpack - kids,1,0,1,0,0
wildkin owl sidekick backpack - kids,1,0,1,0,0
wildkin peace sign kickstart messenger bag - kids,1,0,0,1,0
wildkin peace sign pack 'n snack backpack - kids,1,0,1,0,0
wildkin peace sign sidekick backpack - kids,1,0,1,0,0
wildkin retro kickstart messenger bag - kids,1,0,0,1,0
wildkin serious backpack - kids,0,0,1,0,0
wildkin sidekick backpack - kids,0,0,1,0,0
wildkin snake crackerjack backpack - kids,1,0,1,0,0
wildkin snake jumpstart messenger bag - kids,1,0,0,1,0
wildkin snake serious backpack - kids,1,0,1,0,0
