kohl_product_id,kohl_product_name,kohl_Product_description,kohl_Regular_price,kohl_Shipping,kohl_markdown_price,kohl_final_price,kohl_additional_info,kohl_price_promo,kohl_Availability,Extraction_Date,TCIN,kohl_disc_perc,week_nmb,amazon_product_id,amazon_product_name,amazon_Product_description,amazon_Regular_price,amazon_Shipping,amazon_markdown_price,amazon_final_price,amazon_additional_info,amazon_price_promo,amazon_Availability,amazon_disc_perc,target_product_id,target_product_name,target_Product_description,target_Regular_price,target_Shipping,target_markdown_price,target_final_price,target_additional_info,target_price_promo,target_Availability,target_disc_perc,kohl_pdt_desc_length,price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_diff_amazon_reg_pr,Price_diff_target_reg_pr,Price_rat_amazon_final_pr,Price_rat_target_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Availability_flag,firstdate,lastdate,Recency_week,Recency_Month,TCIN_var,max_tcin_price,min_tcin_price,Gross_sales,Net_Sales
392649,Belle Hop Comfort Neck Pillow,Just relax. Put all your travel worries behind you and sink into the softness of this Belle Hop neck pillow.,16.99,0,13.59,13.59,n/a,n/a,Yes,04/22/2013,14496648,0.2001177163,21,,,,,,,,,,,,14496648,Belle Hop Comfort Neck Pillow - Grey,n/a,19.99,0,0,19.99,n/a,n/a,No,0,108,,-6.4,,-3,,0.67983992,,0.8499249625,1,04/22/2013,09/02/2013,35,3,1,13.59,13.59,5,5
392649,Belle Hop&trade; Comfort Neck Pillow,Just relax. Put all your travel worries behind you and sink into the softness of this Belle Hop neck pillow.,16.99,0,15.29,15.29,n/a,n/a,Yes,05/27/2013,14496648,0.1000588582,26,,,,,,,,,,,,14496648,Belle Hop Comfort Neck Pillow - Grey,n/a,19.99,0,0,19.99,n/a,n/a,No,0,108,,-4.7,,-3,,0.7648824412,,0.8499249625,1,04/22/2013,09/02/2013,35,3,1,15.29,15.29,10,10
563879,GoToob by humangear 3-pk. Small Containers,Travel wise with these GoToob containers. In multi.,20.99,0,19.94,19.94,n/a,n/a,Yes,04/29/2013,14496849,0.0500238209,22,,,,,,,,,,,,14496849,Humangear GoToob 3pk Small Travel Containers,n/a,19.99,0,0,19.99,n/a,n/a,No,0,51,,-0.05,,1,,0.9974987494,,1.0500250125,1,04/22/2013,09/02/2013,35,3,2,19.94,19.94,0,0
563879,GoToob&trade; by humangear 3-pk. Small Containers,Travel wise with these GoToob containers. In multi.,20.99,0,18.89,18.89,n/a,n/a,Yes,04/22/2013,14496849,0.1000476417,21,,,,,,,,,,,,14496849,Humangear GoToob 3pk Small Travel Containers,n/a,19.99,0,0,19.99,n/a,n/a,No,0,51,,-1.1,,1,,0.9449724862,,1.0500250125,1,04/22/2013,09/02/2013,35,3,2,18.89,18.89,2,2
540680,"Heys USA Luggage, Xcase Checkered 20-in. Wheeled Carry-On",Triumph over travel woes with this wonderful Heys USA Xcase wheeled carry-on.,299.99,0,179.99,179.99,n/a,n/a,No,04/22/2013,10903916,0.4000133338,21,B001AHLMAE,Heys Xcase Exotic Carry-On,n/a,112.5,0,112.5,112.5,& FREE Shipping and Free Returns.,You Save: $187.50 (63%),Yes,0,10903916,Heys XCase Exotics Carry-On Luggage,n/a,114.29,0,91.43,91.43,n/a,n/a,Yes,0.2000174993,77,67.49,88.56,187.49,185.7,1.5999111111,1.9686098655,2.6665777778,2.6248140695,0,04/22/2013,09/02/2013,35,3,1,179.99,179.99,0,0
540896,Heys USA TravelMate Camouflage Bag,"Now you see it, now you don't. Keep your possessions concealed with this Heys USA TravelMate camouflage bag. In green/multi.",59.99,0,35.99,35.99,n/a,n/a,Yes,04/22/2013,13037668,0.4000666778,21,,,,,,,,,,,,13037668,Heys TravelMate - Black (Small),n/a,59.99,0,47.99,47.99,n/a,Save $12.00 (20%),No,0.2000333389,124,,-12,,0,,0.7499479058,,1,1,04/22/2013,09/02/2013,35,3,1,35.99,35.99,0,0
1425964,LEGO Legends of Chima Backpack - Kids,Give his school-day look a boost with the exciting Legends of Chima graphics on this boys' LEGO backpack. In red/blue.,29.99,0,12.99,12.99,n/a,n/a,Yes,08/26/2013,14454071,0.5668556185,39,,,,,,,,,,,,14454071,"Legends of Chima 16"" Backpack - Blue",n/a,15.99,0,0,15.99,n/a,n/a,Yes,0,118,,-3,,14,,0.8123827392,,1.875547217,1,08/26/2013,09/02/2013,17,3,1,12.99,12.99,,
1054892,Leatherbay Commuter Laptop Case,Ready when you are. This commuter laptop case will make sure you're always prepared. Shop Kohls.com for other Leatherbay commuter laptop cases to find your favorite color.,167.95,0,159.55,159.55,n/a,n/a,Yes,05/13/2013,13565036,0.0500148854,24,B001I3N95G,Leatherbay Commuter Laptop Bag,n/a,117.19,0,117.19,117.19,& FREE Shipping and Free Returns.,You Save: $67.76 (37%),Yes,0,13565036,Women's Leatherbay Commuter Laptop Case - Brown/Antique Tan,"Carry personal items and your laptop in this stylish case by Leatherbay. The outer shell is made of leather, and the bag features a durable nylon liner. For added convenience, the shoulder strap can be adjusted according to your need.",184.95,0,0,184.95,n/a,n/a,No,0,171,42.36,-25.4,50.76,-17,1.3614642888,0.8626655853,1.4331427596,0.9080832657,1,05/13/2013,07/08/2013,32,5,1,159.55,159.55,,
565949,Leatherbay Downtown Messenger Bag,You'll be on your way with this messenger bag. In multi.,89.95,0,0,89.95,n/a,n/a,Yes,06/24/2013,11457908,0,30,B002ONBRIA,Leatherbay Downtown Messenger Bag,n/a,66.77,0,66.77,66.77,& FREE Shipping and Free Returns.,You Save: $33.18 (33%),Yes,0,11457908,Leatherbay Downtown Messenger Bag - Khaki,n/a,99.95,0,0,99.95,n/a,n/a,Yes,0,56,23.18,-10,23.18,-10,1.3471618991,0.899949975,1.3471618991,0.899949975,1,06/24/2013,09/02/2013,26,3,1,89.95,89.95,0,0
1056014,Leatherbay Laptop Backpack,Pack and go. This laptop backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay laptop backpacks to find your favorite color.,299.95,0,284.95,284.95,n/a,n/a,Yes,12/03/2012,11457891,0.0500083347,1,B001J9Q3QQ,Leatherbay Laptop Leather Backpack,n/a,209.51,0,209.51,209.51,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $120.44 (37%),Yes,0,11457891,Leatherbay Leather Laptop Backpack - Black,Leatherbay Leather Laptop Backpack - Black,329.95,0,0,329.95,n/a,n/a,Yes,0,162,75.44,-45,90.44,-30,1.3600782779,0.8636156993,1.4316739058,0.9090771329,1,12/03/2012,09/02/2013,55,3,1,284.95,284.95,,
1056017,Leatherbay Mini Backpack,On-the-go organization. This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color.,129.95,0,123.45,123.45,n/a,n/a,Yes,12/03/2012,11457894,0.0500192382,1,B001I3N9GA,Leatherbay Leather Mini Backpack,n/a,98.97,0,98.97,98.97,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $45.98 (32%),Yes,0,11457894,Leatherbay Leather Mini Backpack - English Tan,Leatherbay Leather Mini Backpack - English Tan,144.95,0,0,144.95,n/a,n/a,Yes,0,169,24.48,-21.5,30.98,-15,1.2473476811,0.8516729907,1.3130241487,0.89651604,1,12/03/2012,07/08/2013,55,5,1,123.45,123.45,,
1054902,Leatherbay Pockets Backpack,Pack and go. This backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay pockets backpack to find your favorite color.,269.95,0,256.45,256.45,n/a,n/a,Yes,12/03/2012,11457892,0.050009261,1,B001I3P75G,Leatherbay Leather Backpack with Pockets,n/a,190.52,0,190.52,190.52,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $104.43 (35%),Yes,0,11457892,Leatherbay Leather Backpack With Pockets - Black,Leatherbay Leather Backpack With Pockets - Black,294.95,0,0,294.95,n/a,n/a,Yes,0,155,65.93,-38.5,79.43,-25,1.3460529078,0.8694694016,1.4169116103,0.9152398712,1,12/03/2012,09/02/2013,55,3,1,256.45,256.45,,
1054896,Leatherbay Shopping Tote,On the go? This shopping tote is ideal for everyday use. Shop Kohls.com for other Leatherbay shopping totes to find your favorite color.,135.95,0,122.35,122.35,n/a,n/a,Yes,12/10/2012,11457967,0.1000367782,2,B001PE3HKK,Leatherbay Shopping Leather Tote,n/a,98.93,0,98.93,98.93,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $51.02 (34%),Yes,0,13220881,Luigi Bormioli Porcelain & Slate 7-pc. Condiment Set,Unique and fun combination of slate and porcelain. Great for entertaining! Set includes 3 condiment bowls with 3 spoons. The bowls sit on a beautiful slate serving tray. Porcelain bowls are dishwasher safe.,54.59,0,0,54.59,n/a,n/a,Yes,0,136,23.42,67.76,37.02,81.36,1.2367330436,2.2412529767,1.3742039826,2.490382854,1,12/10/2012,07/08/2013,54,5,1,122.35,122.35,,
1056009,Leatherbay Small Backpack,Pack and go. This small backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other small backpacks to find your favorite color.,159.95,0,151.95,151.95,n/a,n/a,Yes,04/22/2013,11458133,0.0500156299,21,B001IR2DNQ,Leatherbay Leather Small Backpack,n/a,111.18,0,111.18,111.18,& FREE Shipping and Free Returns.,You Save: $63.77 (36%),Yes,0,11458133,Leatherbay Leather Backpack - Dark Chocolate (S),n/a,174.95,0,122.46,122.46,n/a,Save $52.49 (30%),Yes,0.3000285796,149,40.77,29.49,48.77,-15,1.3667026444,1.2408133268,1.438658032,0.9142612175,1,04/22/2013,07/08/2013,35,5,1,151.95,151.95,,
565949,Leatherbay&reg; Downtown Messenger Bag,You'll be on your way with this messenger bag. In multi.,89.95,0,85.45,85.45,n/a,n/a,Yes,07/08/2013,11457908,0.0500277932,32,B002ONBRIA,Leatherbay Downtown Messenger Bag,n/a,66.77,0,66.77,66.77,& FREE Shipping and Free Returns.,You Save: $33.18 (33%),Yes,0,11457908,Leatherbay Downtown Messenger Bag - Khaki,n/a,99.95,0,0,99.95,n/a,n/a,Yes,0,56,18.68,-14.5,23.18,-10,1.2797663621,0.8549274637,1.3471618991,0.899949975,1,06/24/2013,09/02/2013,26,3,1,85.45,85.45,0,0
392620,Lewis N. Clark Comfort Neck Pillow,So soothing. Relax during a long trip with the help of this Lewis N. Clark neck pillow.,16.99,0,13.59,13.59,n/a,n/a,Yes,06/03/2013,14496822,0.2001177163,27,B000F4YUZW,Lewis N. Clark Belle Hop Comfort Neck Pillow,n/a,12.99,4.98,0,12.99,& FREE Shipping and Free Returns.,n/a,Yes,0,14496822,Lewis N. Clark Comfort Neck Pillow - Green,n/a,19.99,0,0,19.99,n/a,n/a,No,0,87,0.6,-6.4,4,-3,1.0461893764,0.67983992,1.3079291763,0.8499249625,1,06/03/2013,09/02/2013,29,3,3,13.59,13.59,14,14
