"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62"
"kohl_Regular_price",0.151386321624752,-0.198399080480146,0.0558486256226846,-0.0761236057184095,0.0772153934686314,-0.102400703894151,0.00387198973510731,-0.0332916856691535,0.00517741010245818,0.0105970733416686,-0.0532597514761614,0.0346297884303708,-0.0100060406069414,0.0215923226272787,-0.0499185799553387,0.0274996022279262,-0.00498728250356877,0.0751069543516627,-0.0115568129901307,0.00327272895621744,-0.00177755834806455,0.0825352030278811,-0.0359530837857745,0.0832003390185941,-0.0284129672745154,0.113756764354144,0.0937041656686645,-0.0500331515493239,-0.0476538163807233,0.132013535077966,0.0504273346496046,0.0366618598712515,0.00255462290022221,-0.10315493155451,-0.0385853826234157,-0.0451592016108693,-0.25210149270502,0.0166046988878506,0.147872050019278,0.00194231377280182,0.0322439973260678,0.0814424867402414,0.405605679420923,0.00407048888850372,0.46396800001759,0,0.58859150824149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kohl_disc_perc",0.0938921978005722,-0.0612751704668452,-0.0392127593357785,-0.256150521860528,0.263651470240555,-0.226555487071134,-0.0435137102127508,0.0577792930257631,0.135200738565453,0.058222234933845,-0.0712190451064719,0.0120570058274842,0.00341940672002292,0.0303271980219403,-0.0262219629773803,0.00979792429359605,-0.0027384417749241,-0.00155128669437458,0.0395307624462114,0.00431909222857065,0.0116015888532867,-0.0149276984200029,0.0667784807297213,-0.0654676272170257,-0.0120098924794318,0.125400200728984,0.085976334010037,0.0212359149050996,-0.139220643939609,-0.447064578417636,-0.399388075278419,-0.582666958211648,0.0796223961330002,0.0703192503442043,0.00194527220748667,-0.00477314083617923,0.00723962768405394,0.013128178607997,0.029402666584055,-0.00092176402156327,-0.0103932625601383,0.0102825677026264,-0.0179103482747188,-0.00173290651341097,-2.1163626406917e-14,-5.99000016254791e-15,-2.91433543964104e-15,-1.44311645966511e-14,5.41233724504764e-15,-1.42941214420489e-15,2.08166817117217e-17,-2.04697370165263e-16,7.1505301679764e-15,-5.12784259498744e-15,1.01307850997046e-15,5.96744875736022e-16,9.36750677027476e-16,1.92554305833426e-15,7.08634539936526e-16,-4.78783679369599e-16,-6.17561557447743e-16,-1.1440501324067e-15
"kohl_markdown_price",0.0915332363633438,-0.0457196579029636,-0.0315343978155007,-0.249017377012677,0.254716038478192,-0.218687583341246,-0.111447397758725,-0.000648854651403845,0.1078303007005,0.0323431518456006,-0.0724474982123664,0.0963579647733416,-0.0185743212737454,0.0193311074539538,-0.0781479596623008,-0.0619695609843137,-0.0922228583594361,0.000270104027351481,0.179376990865993,0.0521279939175406,0.0770690423691816,-0.642764743320298,0.0967563161653436,-0.378253428528761,0.139307215457619,-0.173566260317727,-0.0814088028570903,0.0692904459445817,0.0623469566884527,0.158784999435576,0.0626261910603532,0.229652625338242,-0.0284327046493791,-0.0290077610061712,-0.0113291096833925,0.000852018639178425,-0.00151141093580223,-0.00638625943068397,-0.000953978916124115,0.0017302807520322,0.00548635262623011,-0.00419886438398114,-0.00290595529928482,0.00145856253995081,9.97812943381859e-15,1.02104936317786e-15,1.51267887105178e-15,5.28562576938044e-16,-1.6236313616673e-15,-1.73913345932188e-16,-5.12376998176123e-16,-6.61927526661248e-16,-3.18246205685009e-16,6.16783733771797e-16,-1.51864837569372e-15,-1.41924074663559e-15,-5.48927817126451e-16,-2.91058426355122e-16,-2.93774898244615e-16,2.30978927176293e-16,2.8016099568179e-16,3.7648834772053e-16
"kohl_final_price",0.134753369340321,-0.204464145410104,0.0924328879715595,0.0751917676542188,-0.0927975215710122,0.0385170719611215,0.0836775958272314,-0.104750325599744,-0.159002792892452,-0.0481696136707885,0.0237152539991256,0.018936149913841,-0.0128377473895548,-0.00240202467638099,-0.0255969045407158,0.0138127844794488,-0.0315004417188394,0.0781574158394628,-0.0428896828931776,0.0298210965848219,0.00830343723362438,-0.127608188145874,-0.0273812815127635,-0.0362200350947317,-0.0136021024508532,0.100551636820089,-0.0664886073760607,-0.0392451925131594,0.0317884636563614,-0.0367398822694893,-0.0396337858637862,-0.0388206205691003,0.0213741714786778,-0.0116904828950336,-0.0114694074341269,0.0237295867723603,0.101321738942813,-0.0231318954778288,0.196419041599194,-0.00195596133208157,0.00525659457925033,-0.0057934518616338,-0.0678204752542538,0.00121823574943747,-0.126003837120727,-0.00724278596258993,0.0642345098276178,-0.271862998277512,0.0371421363626733,0.0225018800662903,-0.00860253614440309,-0.00940598132202322,0.0230204697467118,0.0072738747593641,0.0300310552958911,-0.207821325939866,0.0594601961164441,0.0395572839936541,-0.58786194676757,0.274779482669362,0.131430221950243,0.422855598991523
"amazon_Regular_price",0.0872472391963469,-0.178688724816834,0.120117795343507,0.0804508938382413,-0.109119309818272,-0.202022109856596,0.0944964297676167,0.142352070339015,0.073216992980563,-0.31511965265771,-0.160175415356897,-0.0932345889921263,0.118177043852868,-0.0389539785040529,0.0201356541408657,0.116394700654196,-0.0253778368322711,-0.0541336571795113,-0.110112918071789,0.0141168089661095,-0.0136919523528863,-0.0492203023459896,-0.02725859067757,-0.00653440909644668,-0.00897615828038688,0.0230591123544947,-0.0376757238458615,-0.0137609891850301,-0.00227096681309918,0.0736075140111307,-0.0216910832503677,-0.0440912248166215,0.0221575511512352,-0.0810721348700398,-0.040632690493622,-0.000973212264157746,-0.100558086587471,0.0402477334262055,-0.356361976727931,0.0167886633781461,-0.0354186797200414,-0.0320095916905875,-0.0990978451957452,-0.00465284077815081,-0.00149987346329478,0.0232931248291094,0.00118230263482996,0.0300363349061424,-0.0248579399540091,-0.0866056367298711,-0.161905330820885,-0.624329223812614,0.0804635314546855,-0.205883271925726,0.0161058801751172,-0.0288337612622757,-0.148467598415216,0.0470378111286077,0.00227386930761934,-0.00416278013553094,0.00446071592906534,0.0134968416663018
"amazon_Shipping",-0.0501683242130895,0.105175421601387,-0.0866898736333439,0.00975279826341716,0.0866173786424677,0.226936455286174,0.0481855233582393,0.346962104617134,0.187199937040369,0.0676532094836509,0.115084920628771,-0.200006733379314,-0.274354732682756,-0.256252399144836,-0.32299300111306,0.231136354582909,-0.319924829587658,0.303773529133175,-0.343544187724315,0.152382293734095,0.0110426916930035,-0.168530794504704,-0.110871769638853,0.0130807148883529,-0.000238691192919797,0.139318818836918,0.0755662226757576,-0.041749219232633,-0.0202055974912298,-0.0107694954341832,0.0189523511921231,0.00951155547896062,0.0139446008711948,-0.00561211154002093,-0.00943669710850659,-0.00474625167001581,-0.0213646570584569,0.00377891231276498,0.00539144075384563,0.00376452907809668,0.00105666399403848,7.67964448669025e-05,0.000631304237421158,-0.000144099472782373,-4.85722573273506e-16,1.06130178972354e-15,9.71445146547012e-17,-1.44543123130336e-15,-6.36819698536517e-16,6.5746019739521e-16,-7.09420586511578e-16,3.65376132127615e-16,1.59838505278675e-16,-4.46528664738155e-16,-1.58391773004765e-16,-2.45060184167825e-16,2.17111485040222e-16,-1.34922184102243e-16,-1.03812358015487e-16,3.29380620001096e-16,9.29533956316869e-18,-7.14556994303728e-17
"amazon_markdown_price",0.081010495013247,-0.156937697355884,0.0786695054501318,0.0682802589510972,-0.0378074116716142,-0.190020550811248,0.069329752101128,0.0610970994157694,-0.0687881222172261,0.351376736156476,0.207737813594642,0.0447382496939884,-0.232027523069893,-0.0667833944008484,-0.259332737238748,0.200296102068697,-0.0801805237192724,-0.699110233246735,-0.1533607434187,-0.0764311853156492,-0.0992914910888398,0.0758972578421756,0.0683486321292372,-0.0659151234250461,-0.0417030674177802,-0.0873096585289962,-0.0926892931509209,0.0369571361492201,0.0333207377772439,-0.0345912116166342,0.0120514498265268,0.0367055299791736,-0.0114201540133944,-0.00771833398436044,-0.00467146614965032,-0.00277452322989549,-0.0176542740543793,0.00358680139263415,-0.00227296476649406,0.00285075062591915,0.000229691014857121,5.29984107315584e-06,-0.000602077246538657,-0.000437317132052815,7.84095011141517e-16,1.32015167027266e-16,1.12410081243297e-15,2.33927460735472e-15,-7.39425881635114e-17,-2.3369977827925e-15,2.62715738920394e-16,-3.46944695195361e-17,-3.31562576873223e-16,7.40651538309791e-16,3.32307965866807e-17,-6.73289549113498e-17,-2.58853268680914e-17,-2.80483102022e-16,-2.18141477104083e-16,-2.77555756156289e-17,-4.59701721133854e-17,3.02709246557953e-16
"amazon_final_price",0.0872472391963468,-0.178688724816834,0.120117795343507,0.0804508938382415,-0.109119309818273,-0.202022109856597,0.0944964297676166,0.142352070339016,0.0732169929805631,-0.315119652657711,-0.160175415356897,-0.0932345889921269,0.118177043852868,-0.0389539785040532,0.0201356541408657,0.116394700654196,-0.025377836832271,-0.0541336571795124,-0.110112918071789,0.0141168089661095,-0.0136919523528863,-0.0492203023459916,-0.0272585906775694,-0.00653440909644756,-0.00897615828038718,0.0230591123544932,-0.0376757238458624,-0.0137609891850289,-0.00227096681309915,0.0736075140111281,-0.0216910832503685,-0.0440912248166224,0.0221575511512349,-0.0810721348700377,-0.0406326904936233,-0.000973212264158046,-0.100558086587465,0.0402477334262043,-0.356361976727926,0.0167886633781473,-0.0354186797200427,-0.0320095916905836,-0.0990978451957509,-0.00465284077816201,0.00149987346327801,-0.0232931248290951,-0.00118230263485057,-0.0300363349061398,0.0248579399540459,0.086605636729883,0.161905330820871,0.624329223812622,-0.0804635314546675,0.20588327192572,-0.0161058801751177,0.0288337612622718,0.148467598415214,-0.0470378111286107,-0.00227386930761857,0.00416278013552957,-0.00446071592906504,-0.0134968416663006
"Target_Regular_price",0.0545367016081714,-0.158033437993024,0.116445689007459,0.101824158962595,-0.155041790222402,-0.353363859649889,0.0695801065096925,0.00940109415739954,-0.0820990809096593,0.156179814434022,0.0962620747728865,-0.0360945566114382,-0.0274090335337444,-0.037609805273812,-0.000436036446792964,-0.0856077780543628,-0.0235707408018878,0.23842491157509,-0.00309261094096802,0.0351328632649988,0.0162007121341371,-0.0180935732941127,-0.0472285994920066,0.0411686565900727,0.0405690374516827,-0.0392257426294207,0.207627340263297,0.0325962728410607,-0.0735003229609171,-0.0156365727799375,0.0446372229205689,0.0370539148763082,-0.0270865011487908,0.0840590107254152,0.040403492896082,-0.00264840581535083,0.0811308520941646,-0.0178329271570649,0.0693597830799183,-0.0102599651700331,0.0109408970363459,0.0143161581340467,0.0583543315666633,0.0018550708432689,-0.213897999468437,-0.0523790647587614,0.00202289834589118,0.408511151369316,0.0687697398224598,-0.539895382662178,0.106417999145668,-0.0197967284677682,-0.206708228064304,0.108561011102674,-0.024304078182591,0.0552113947212235,0.0339975392373765,-0.120001061661333,-0.0349129691529274,0.00457907598595432,-0.00510937133981428,0.0169121430819544
"Target_disc_perc",0.0505220807047375,0.0114094102984012,-0.0365567866799564,-0.0128789471416143,0.0109362423315451,-0.0296700159721102,-0.427113041627217,0.29186982064664,-0.444842724216582,0.00155886990732834,-0.128910191883173,-0.0183354633107264,-0.0218123212905424,0.00159888407666053,0.050047001236406,0.0343944789296165,0.0142183501386153,0.00971437499919538,-0.0697022561973575,0.00252598262333343,-0.013510384853776,0.0121779873537053,-0.000398553326024911,-0.00982048291685458,0.0021405429948131,-0.00456543848969801,-0.0120053013117701,-0.0168957598621349,-0.0408837538485988,-0.0083234218131195,-0.00129264271684093,0.0112788423671849,-0.00948484784878075,0.00324347806382498,0.00504088626490551,-0.00995108182759647,0.00281536008010237,-0.00376445069340057,-0.00184482013956304,-0.00200814327979251,0.00282075486660637,0.000567005906975672,0.000559968159812622,0.00020234831021994,-0.014009105856899,0.324392941065675,0.00980415057586433,0.0429692064898164,0.59111147219595,0.0622056379251188,-0.0733035540197421,0.0244559415235407,0.0677256687995147,-0.0162139896883192,-0.0381656618668497,-0.0278814075891369,-0.07319543911043,-0.108402266299794,0.00850795545087181,0.000581215679300561,-0.0936187029811859,0.0191002671350039
