"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"kohl_Regular_price",0.148215719391245,-0.0476237621004183,-0.0349419497827103,-0.121156688648737,0.227974123824599,0.168055295813843,0.00479940502084135,-0.0744102090512353,0.0459404139568338,-0.162147378309946,0.113910211180652,-0.0752422269200594,0.0416322001524669,-0.0509888248126077,0.00940705370089469,-0.0269137795442428,0.0177238840918069,-0.00950554415441861,0.110261333281327,-0.0608179291719733,-0.0403620990166313,0.0792229725415701,-0.0092946599036029,-0.0238774334638944,-0.0772423462729836,0.00523370684667412,0.369054677003478,-0.222064974443024,-0.0310515445002107,-0.0788115181831983,-0.0743146503950947,0.00391761976448441,0.0118727299350305,0.118038983267593,0.032584739990223,0.013851812387474,0.0101349848404144,0.00666654480970787,0.00419288549364984,0.00202740714142691,0.00427891998891987,0.000799744884916513,0.00245907581311706,0.00131189469166101,0.220389801386042,0,0,0.727162343364625,0,0,0,0,0,0,0,0,0,0,0,0
"kohl_disc_perc",0.0345305600463519,0.18501524006585,0.119098942373292,0.214431969799759,0.234920575671913,0.263689590077075,0.0207622628467096,-0.134645322522515,0.0731798862920525,-0.0896655903051338,0.133719924538908,-0.0967818623148299,-0.0761324970391926,0.0336918829141067,0.056616361244224,-0.00912055381870569,-0.0113551433113666,0.00475450769436574,-0.0420294210171014,-0.018046888193178,0.00834516554262509,0.194313289162129,-0.0916763581929284,-0.308976122503634,-0.273650801407072,-0.0290620011348676,-0.187470950950776,0.414975498556361,-0.456868378212203,-0.224557591742393,0.103077987442122,-0.00961782399338092,-0.0125860652712728,-0.0956104141905651,-0.0547393101294878,-0.0208885017632192,-0.0185205782381832,0.000177683637480958,-0.014636312438402,-0.000950565626498788,-0.00363679469254797,-0.00451273071818704,-0.00695883362783965,-0.00139699128187979,-3.46821242133005e-06,8.97892871165595e-15,2.67407623821825e-15,-6.10622663543836e-16,-7.02563007770607e-16,2.62984078958084e-15,1.45716771982052e-16,8.81239525796218e-16,6.10622663543836e-16,-5.41233724504764e-16,-1.79110198894605e-16,-1.70002900645727e-16,-1.12926418778754e-17,7.01974647674928e-17,7.82898258129856e-18,-1.02695629777827e-15
"kohl_markdown_price",0.0309182262831988,0.173664618562728,0.0961917158885502,0.137181890957701,0.285783170528223,0.307676326051403,0.0405704398669142,-0.126564291598158,-0.0221538065684524,-0.0667033212790231,0.0992163269206646,-0.102899030348737,-0.0471631077943261,-0.177998071241232,-0.0392795286844141,0.042888458951515,0.118485590933509,-0.025241440975584,0.100400719973655,0.00402707359738621,-0.0627573819751846,-0.714294666065044,0.190888714184432,0.206086633887361,0.170837704974008,0.0071058326781352,-0.167199281458582,0.0207602153905151,0.0484065324052033,0.0591474954828083,0.049729314028039,-0.0100688353233124,-0.00236541161503729,0.00284435098333431,-0.013771437310216,-0.00384945283055197,-0.00273205740358558,-0.00532428957894751,0.00100912096087324,-0.00313209406742551,-0.00272664841022763,0.000480306271258851,-0.000113694986177304,-0.000638147118202823,9.55818869524672e-07,-2.14187497080908e-15,-1.68872385112925e-15,-3.33066907387547e-16,-1.45216839922469e-15,1.04314795993086e-16,6.21105616281095e-16,2.3612579932854e-16,5.16268984595911e-16,3.45180659513619e-16,-7.04564314318605e-17,2.51231016387176e-16,-5.69413672120285e-18,-4.46967271066921e-18,-3.20927010493243e-18,3.39727782814363e-16
"kohl_final_price",0.121998110477607,-0.179412329535648,-0.10850726314507,-0.256157386779102,0.0518282827640478,-0.00549979886992202,-0.00922126712340427,0.0183014665661104,0.000454162068125208,-0.1288753067384,0.0428699464006084,-0.00698203278348436,0.110838320770672,-0.0555733306201633,-0.00431072623537068,-1.69146872332597e-05,0.0334456260137398,-0.00497050842442699,0.116041423423562,-0.074051223350393,-0.0522939651646367,0.0134547597398817,-0.0501992123588633,0.0561442672942599,0.0318779871688634,-0.00757817541682744,-0.125560297810372,0.176463661945151,-0.00408809630499914,0.0235116194350392,0.033311862937305,0.000635212522661128,-0.00774860104003437,-0.0642682293137801,-0.0175631146500089,-0.00761442451844011,-0.00680719543326461,-0.00356313652369111,-0.00276489738028522,-0.00128452489237467,-0.00188960370594904,-0.000677819793386333,-0.00163767774388936,-0.000686593988374206,-0.109855656373637,0.159671168914952,0.0243497092739746,-1.4255263636187e-13,-0.199441048175521,-0.0371465645974174,-0.274186717896557,0.633600420181751,-0.422112036079714,0.0899682245227115,-0.11096858980192,-0.0256668381690792,4.97858431584441e-16,2.73548977496477e-16,1.76566764126927e-16,-0.0188720897953367
"amazon_Regular_price",0.0667972791560228,-0.162021864103767,-0.0477009391081378,0.220935563163232,0.239660304917372,-0.202760842042826,0.0352052318804997,0.0387364510372888,-0.13932782025297,0.155284394696808,-0.0988022384580245,-0.211993006894874,0.237512389844812,-0.0620522376954431,-0.0291261819271195,-0.0652849322269454,0.179285276420306,0.311304643775039,0.044092445401318,0.0799213275447128,0.0554095528596197,-0.0073356437311214,-0.00959577237632717,-0.100449558856785,-0.0309636266852924,-0.0214984494883844,-0.0101417842501906,-0.00638415224682111,0.0141381015089974,0.00483976909436897,0.00603714644116218,0.000299166581973502,0.00387409160533433,0.0277532016040924,0.00174231048859109,0.00160317722451362,0.000925766688219317,-0.000667018680526556,0.000760603105301374,-9.82070760694175e-05,-1.8025878846884e-05,-4.77312163217784e-05,1.21894568348687e-05,8.4955999554032e-05,1.58631909556034e-06,0.0591214180565556,-0.0101891775636642,-5.09314812546791e-15,0.00283096184016996,0.00339712157285571,0.0516171933893775,0.011127186608563,0.0502739836053282,0.488021247261525,0.0900722647493992,0.22485408674972,-5.87892121685366e-17,8.06939160056315e-17,-1.43179836985323e-16,0.440713683088055
"amazon_Shipping",-0.165485721359951,-0.0127599282798844,0.0278173424405846,0.00631271928476085,-0.100772896539521,-0.0243892186061014,0.0445012186478927,0.0314315450412329,-0.0312742627798195,0.0714040780071227,-0.0106369620006069,-0.00467469680178434,-0.373269030415093,-0.416890662648046,-0.115322128930817,-0.102139275896903,-0.00957825709690639,-0.0242005067388019,0.593910846941046,0.0669279398125334,0.0408114701703319,0.0245513162638219,-0.237045998569259,-0.355053012295145,0.194388540893952,-0.17738768444899,-0.00982836681403302,-0.0501421399360919,0.0137649119654387,0.00562806204971502,0.0127804363691814,0.000140526433774915,0.00921010715972714,-0.00900969153383857,0.00245411108179612,0.00332925118555485,-0.000159563861901356,-0.00146993462246318,-0.00244016160142483,0.000244635103165148,-0.000246636256721068,0.000433117805275451,-5.14651447434614e-05,-0.000150015186850701,1.44356219836453e-06,-1.99948564649777e-15,1.36175792864179e-16,6.24500451351651e-16,-3.11816544806831e-16,2.27134934124851e-15,-5.70290342727375e-16,-5.21718085400025e-16,4.61002763740836e-16,-4.09394740330526e-16,1.14058068545475e-16,-1.90819582357449e-17,1.01756400140273e-17,-3.59159997523255e-18,-6.70212311226211e-18,2.42861286636753e-16
"amazon_markdown_price",0.0595262921331492,-0.172227465428357,-0.0340470572922645,0.248236323446178,0.204222814316394,-0.142854531278103,-0.00322757102433644,0.0265333054620245,-0.0837910805881626,0.0883970955323248,-0.131196200280953,-0.174706271357177,0.188356624180878,0.0112057410178983,-0.215076810862999,0.0714999376732452,-0.336146660984916,-0.749674804829213,0.0732183546054634,0.0437747252637548,0.0244468348969894,-0.00802156321474881,-0.0206782649814519,0.016146848391495,0.0167179508478795,-0.0164803818923948,0.049817504485907,0.068187411196883,-0.0124843401247171,-0.0123369035799833,0.00207364796795965,0.00180393813831173,-9.84445448941323e-05,0.00176167260780088,-0.00197962863120771,-0.000893877821092797,-0.000898526246122466,-0.000197126895959128,-0.000406102145639377,-0.000123902626152356,0.000144805960238652,-9.77712634864976e-05,-0.000100796446833288,1.85921784822318e-05,-2.5181816173947e-08,-3.26778534787131e-16,-2.48336507607805e-16,-5.27355936696949e-16,-2.89265139619133e-16,-4.25224092048815e-16,-5.07406616723216e-17,4.06792655116561e-16,1.64365049348802e-16,1.97758476261356e-16,-3.81910215258019e-17,-7.04731412115578e-17,-7.19225826654499e-18,-2.92506641730522e-18,1.8811178257033e-17,5.63785129692462e-18
"amazon_final_price",0.0667972791560228,-0.162021864103767,-0.0477009391081377,0.220935563163232,0.239660304917372,-0.202760842042827,0.0352052318804994,0.0387364510372886,-0.13932782025297,0.155284394696808,-0.0988022384580244,-0.211993006894874,0.237512389844812,-0.0620522376954429,-0.0291261819271196,-0.0652849322269454,0.179285276420306,0.311304643775039,0.0440924454013178,0.079921327544714,0.0554095528596192,-0.00733564373112214,-0.00959577237632741,-0.100449558856784,-0.0309636266852919,-0.0214984494883846,-0.0101417842501901,-0.00638415224682196,0.0141381015089985,0.00483976909436748,0.00603714644116164,0.000299166581972229,0.00387409160533384,0.027753201604091,0.00174231048858682,0.00160317722451532,0.000925766688216082,-0.000667018680526413,0.000760603105297006,-9.82070760662605e-05,-1.80258788440112e-05,-4.77312163299284e-05,1.21894568169443e-05,8.49559995697197e-05,1.58631905951973e-06,-0.059121418056556,0.010189177563665,5.80091530366644e-15,-0.00283096184017029,-0.00339712157285497,-0.0516171933893773,-0.0111271866085634,-0.0502739836053283,-0.488021247261525,-0.0900722647493992,-0.22485408674972,4.69160212253275e-17,-7.00950667336721e-17,1.14927867962225e-16,-0.440713683088055
"Target_Regular_price",0.0988884685338482,0.113341393067328,-0.0720898452409925,-0.135956297904471,0.259513720038685,-0.201103815838241,-0.073697353265978,-0.0323048246046394,-0.0294357506668665,-0.379067013649891,0.0361848523763968,0.101137296160754,-0.0285150867120797,-0.0181101268307864,0.00896135502393609,-0.101407615225001,-0.0290213911626636,-0.00423347175439356,0.0751870745188075,0.191170745774157,0.141081546468143,0.0328817265365622,0.0345253402811112,0.0140939074449824,-0.0167542767821469,0.0081576180924259,0.0586318996530881,0.00655016974352907,0.0281047968860811,0.00482843945064616,-0.0151229957091879,0.00545475152208881,-0.00175056409331062,0.0126459864558949,0.00505978165172342,0.00118888618675128,0.00209134289465082,-0.000159074761723912,0.00149846841416823,0.000101871085498734,0.00102548915495107,0.000429655731251393,0.000865470314843748,0.000337502501299456,0.673926311275123,-4.93494134445882e-14,6.73162046938014e-13,-0.383558555103832,4.0960030506243e-13,-8.73418416584559e-13,-3.75399364371809e-13,1.10621581339565e-13,3.44313987044043e-13,-6.9200201124886e-13,-1.8187187866836e-13,1.00724983909117e-13,-2.91967662552906e-18,1.84698430630072e-16,6.36988163675464e-17,7.48012762841199e-13
"Target_disc_perc",0.0110570874114416,-0.0706847254546089,-0.0140375823574035,-0.0196105158406839,-0.101669262582987,-0.0719560069668293,-0.180696524204336,-0.63303133552533,-0.208467250268786,0.0570243929980241,0.014497381215651,0.00154109780413231,-0.0104200811025147,-0.00904152798331527,0.00246403371241195,0.00661484713386869,-0.00643612437852925,-0.000385466223467665,0.0119339848050266,-0.409399773449706,0.573314380841144,-0.0358018343631082,0.0104367892046149,-0.000884088222248103,0.00239228487126004,0.000961646781362598,0.00843202149761799,0.00477397946383754,0.00980799941008619,0.00616583947117098,-0.00248988939106495,0.000908752624193745,-0.000529169731074794,-0.00308520490761964,0.000464380596942753,-4.35849051819088e-05,0.000123881589038041,-0.000168882981403844,0.000198258241020623,-5.85699548131879e-06,6.59634991489476e-05,7.72227762490984e-05,8.61357721567703e-05,7.08403885418051e-06,-0.0108431032844711,3.46077333457373e-16,-9.3271744494583e-15,-1.12410081243297e-14,-5.54390517867875e-15,1.19312925424969e-14,5.19202736359858e-15,-1.54443244217844e-15,-4.74273398332059e-15,9.47159017883337e-15,2.51795112538034e-15,-1.54563861709534e-15,2.35047902244278e-18,-1.43063624686682e-19,-1.02112745519523e-17,-1.04222186436687e-14
