net_Sales,amazon_Shipping,kohl_final_price,kohl_Shipping,Target_Shipping,TCIN_var,kohl_pdt_desc_length,Availability,Price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_rat_amazon_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Recency_week,Amz_No_of_images,Amz_Not_User_Gen_images,Amz_pdt_desc_length,Amz_rating5,Amz_Review_count,Amz_Total_negative_sent_score,Amz_Total_Positive_sent_score,Amz_User_Generated_images,kohls_Number_of_images,Neg_tot_wt_score,pos_avg_wt_score,reviews_1_M,reviews_3_M,reviews_6_M,Target_pdt_desc_length,Total_sentiment_score
0,0,3.493472658,0,0,0,5.351858133,0.693147181,5.546192554,4.460144414,0.695604938,0.847678903,0.849272872,2.833213344,5.298317367,3.555348061,3,NA,NA,NA,NA,5.111987788,0,NA,NA,NA,NA,NA,0,NA
0,1.788420568,2.856470206,0,0,0,3.63758616,0.693147181,5.521460918,4.406719247,0.656950207,0.370009561,0.456697142,2.397895273,3.713572067,3.713572067,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6.01615716,NA
0,1.788420568,2.856470206,0,0,0,3.465735903,0.693147181,5.511652977,4.356580613,0.576673996,0.261560693,0.299863851,2.833213344,0,0,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA
0.693147181,0,5.123368564,0,0,0,4.644390899,0.693147181,5.738924368,4.695833221,0.755973803,0.550605773,0.384888207,3.610917913,3.258096538,3.258096538,3,NA,NA,NA,NA,0,2.890371758,NA,NA,NA,NA,NA,5.446737372,NA
0.693147181,0,5.065123479,0,0,0,4.644390899,0.693147181,5.715579285,4.605070181,0.730966477,0.571636507,0.384888207,3.610917913,3.258096538,3.258096538,3,NA,NA,NA,NA,0,2.890371758,NA,NA,NA,NA,NA,5.446737372,NA
0.693147181,0,4.64784646,0,0,0,4.882801923,0.693147181,5.572610202,3.80666249,0.550075866,0.328814265,0.04553829,3.610917913,1.791759469,1.791759469,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3.63758616,NA
0.693147181,0,5.065123479,0,0,0,4.644390899,0.693147181,5.729125282,4.290459441,0.760659911,0.610156745,0.232057818,3.610917913,3.258096538,3.258096538,3,NA,NA,NA,NA,0,2.890371758,NA,NA,NA,NA,NA,5.446737372,NA
0.693147181,0,5.065123479,0,0,0,4.644390899,0.693147181,5.729125282,4.605070181,0.760659911,0.610156745,0.384888207,3.610917913,3.258096538,3.258096538,3,NA,NA,NA,NA,0,2.890371758,NA,NA,NA,NA,NA,5.446737372,NA
0.693147181,0,5.17840707,0,0,0,4.644390899,0.693147181,5.789042319,4.521788577,0.842373779,0.610156745,0.232057818,3.610917913,3.258096538,3.258096538,3,NA,NA,NA,NA,0,2.890371758,NA,NA,NA,NA,NA,5.446737372,NA
0.693147181,0,4.708268144,0,0,0,4.882801923,0.693147181,5.603114635,3.941581808,0.601569093,0.346129333,0.04553829,3.610917913,1.791759469,1.791759469,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3.63758616,NA
