kohl_product_id,kohl_product_name,kohl_Product_description,kohl_Regular_price,kohl_Shipping,kohl_markdown_price,kohl_final_price,kohl_additional_info,kohl_price_promo,kohl_Availability,Extraction_Date,TCIN,kohl_disc_perc,week_nmb,amazon_product_id,amazon_product_name,amazon_Product_description,amazon_Regular_price,amazon_Shipping,amazon_markdown_price,amazon_final_price,amazon_additional_info,amazon_price_promo,amazon_Availability,amazon_disc_perc,target_product_id,target_product_name,target_Product_description,target_Regular_price,target_Shipping,target_markdown_price,target_final_price,target_additional_info,target_price_promo,target_Availability,target_disc_perc,kohl_availability_flag,amazon_Availability_flag,target_Availability_flag,kohl_pdt_desc_length,Amz_pdt_desc_length,target_pdt_desc_length,price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_diff_amazon_reg_pr,Price_diff_target_reg_pr,Price_rat_amazon_final_pr,Price_rat_target_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Availability_flag
1056014,Leatherbay Laptop Backpack,Pack and go. This laptop backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay laptop backpacks to find your favorite color.,299.95,0,284.95,284.95,n/a,n/a,Yes,12-03-2012,11457891,0.050008335,1,B001J9Q3QQ,Leatherbay Laptop Leather Backpack,n/a,209.51,0,209.51,209.51,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $120.44 (37%),Yes,0,11457891,Leatherbay Leather Laptop Backpack - Black,Leatherbay Leather Laptop Backpack - Black,329.95,0,0,329.95,n/a,n/a,Yes,0,1,1,1,162,3,42,75.44,-45,90.44,-30,1.360078278,0.863615699,1.431673906,0.909077133,1
1054902,Leatherbay Pockets Backpack,Pack and go. This backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay pockets backpack to find your favorite color.,269.95,0,256.45,256.45,n/a,n/a,Yes,12-03-2012,11457892,0.050009261,1,B001I3P75G,Leatherbay Leather Backpack with Pockets,n/a,190.52,0,190.52,190.52,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $104.43 (35%),Yes,0,11457892,Leatherbay Leather Backpack With Pockets - Black,Leatherbay Leather Backpack With Pockets - Black,294.95,0,0,294.95,n/a,n/a,Yes,0,1,1,1,155,3,48,65.93,-38.5,79.43,-25,1.346052908,0.869469402,1.41691161,0.915239871,1
1056017,Leatherbay Mini Backpack,On-the-go organization. This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color.,129.95,0,123.45,123.45,n/a,n/a,Yes,12-03-2012,11457894,0.050019238,1,B001I3N9GA,Leatherbay Leather Mini Backpack,n/a,98.97,0,98.97,98.97,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $45.98 (32%),Yes,0,11457894,Leatherbay Leather Mini Backpack - English Tan,Leatherbay Leather Mini Backpack - English Tan,144.95,0,0,144.95,n/a,n/a,Yes,0,1,1,1,169,3,46,24.48,-21.5,30.98,-15,1.247347681,0.851672991,1.313024149,0.89651604,1
565916,Leatherbay Mini Backpack,On-the-go organization. This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color.,129.95,0,123.45,123.45,n/a,n/a,Yes,12-03-2012,11457902,0.050019238,1,B001I3JIQA,Leatherbay Leather Mini Backpack,n/a,98.97,0,98.97,98.97,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $45.98 (32%),Yes,0,11457902,Leatherbay Leather Mini Backpack - Black,Leatherbay Leather Mini Backpack - Black,144.95,0,0,144.95,n/a,n/a,Yes,0,1,1,1,169,3,40,24.48,-21.5,30.98,-15,1.247347681,0.851672991,1.313024149,0.89651604,1
1194325,McKlein Verona 15.4-in. Laptop Briefcase,A work bag that works. This women's McKlein Verona briefcase will keep your things together. Shop our full selection of luggage at Kohls.com.,189.99,0,180.49,180.49,n/a,n/a,Yes,12-03-2012,13618420,0.050002632,1,B004YF9BX4,McKlein USA Verona - Ladies' Fly-Through Checkpoint-Friendly Laptop Briefcase,n/a,110.76,0,110.76,110.76,& this item ships for FREE with Super Saver Shipping.,You Save: $69.24 (38%),Yes,0,13618420,McKlein Ladies Leather Checkpoint-Friendly Case - Red,"This red leather checkpoint-friendly case by McKlein is the perfect accessory for air travelers. The adjustable strap makes sure the bag stays comfortable while carried, and the zip closure keeps your accessories tucked safely inside.",144,0,0,144,n/a,n/a,Yes,0,1,1,1,141,3,234,69.73,36.49,79.23,45.99,1.629559408,1.253402778,1.715330444,1.319375,1
1130083,Wildkin Sidekick Backpack - Kids,"This Wildkin backpack is the perfect sidekick for school. With interior pockets, a pencil holder and two zippered compartments, this kids' backpack is a studying necessity.",34.99,0,0,34.99,n/a,n/a,Yes,12-03-2012,14107189,0,1,B0065QXOQU,Wildkin Fern Green Sidekick Backpack,n/a,20.99,5.52,20.99,20.99,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $9.00 (30%),Yes,0,14107189,Wildkin Sidekick Backpack - Blue,Wildkin Sidekick Backpack - Blue,25.29,0,0,25.29,n/a,n/a,Yes,0,1,1,1,172,3,32,14,9.7,14,9.7,1.666984278,1.383550811,1.666984278,1.383550811,1
1130229,Wildkin Owl Macropack Backpack - Kids,"This Wildkin backpack is a wise choice. With a spacious design, interior pockets and a mesh enclosure, this owl backpack keeps your little one's essentials organized. Whether going on a family trip or walking to school, this sweet backpack ensures your child will have a hoot. In pink/white/multi.",42.99,0,0,42.99,n/a,n/a,Yes,12-03-2012,14107192,0,1,B007W4MNHK,Wildkin Owls Macropak Backpack,n/a,35.21,0,35.21,35.21,& this item ships for FREE with Super Saver Shipping.,You Save: $4.78 (12%),Yes,0,14107192,Wildkin Owls Macropak Backpack - Pink,Wildkin Owls Macropak Backpack - Pink,35.29,0,0,35.29,n/a,n/a,Yes,0,1,1,1,297,3,37,7.78,7.7,7.78,7.7,1.220959955,1.218192122,1.220959955,1.218192122,1
1130231,Wildkin Leopard Macropack Backpack - Kids,"An exotic find from Wildkin. With a spacious design, interior pockets and a mesh enclosure, this leopard backpack keeps your little one's essentials organized. Whether going on a family trip or walking to school, this eye-catching backpack is a must-have. In pink/black.",42.99,0,0,42.99,n/a,n/a,Yes,12-03-2012,14107197,0,1,B007W4MP3M,Wildkin Pink Leopard Macropak Backpack,n/a,27.99,0,27.99,27.99,& this item ships for FREE with Super Saver Shipping.,You Save: $12.00 (30%),Yes,0,14107197,Wildkin Leopard Macropak Backpack - Pink,Wildkin Leopard Macropak Backpack - Pink,35.29,0,0,35.29,n/a,n/a,Yes,0,1,1,1,270,3,40,15,7.7,15,7.7,1.535905681,1.218192122,1.535905681,1.218192122,1
1130256,Wildkin Olive Kids Wild Animals Pack 'n Snack Backpack - Kids,Take snacks on the go. This kids' Wildkin backpack doubles as a lunch bag with an insulated food-safe compartment. Enhance your little one's everyday routine with this playful animal backpack. In green/multi.,25.99,0,0,25.99,n/a,n/a,Yes,12-03-2012,14107198,0,1,B007W4MN02,Wildkin Olive Kids Wild Animals Pack 'n Snack Backpack,n/a,23.59,5.47,23.59,23.59,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $2.40 (9%),Yes,0,14107198,Wildkin Olive Kids Wild Animals Backpack - Green,Wildkin Olive Kids Wild Animals Backpack - Green,23.79,0,0,23.79,n/a,n/a,Yes,0,1,1,1,208,3,48,2.4,2.2,2.4,2.2,1.101738025,1.09247583,1.101738025,1.09247583,1
1130492,Wildkin Serious Backpack - Kids,"This kids' Wildkin backpack seriously does it all. Your little one can stow a 15-in. laptop in the padded compartment, strap a lunch bag to the front with the carabiner and listen to an MP3 player using the media pocket and headphones port.",67.99,0,0,67.99,n/a,n/a,Yes,12-03-2012,14107200,0,1,B007WU5KFG,Wildkin Whale Blue Serious Backpack,n/a,37.76,0,37.76,37.76,& this item ships for FREE with Super Saver Shipping.,You Save: $22.23 (37%),Yes,0,14107200,Wildkin Serious Backpack - Whale Blue,Wildkin Serious Backpack - Whale Blue,37.79,0,0,37.79,n/a,n/a,Yes,0,1,1,1,240,3,37,30.23,30.2,30.23,30.2,1.800582627,1.799153215,1.800582627,1.799153215,1
