CM,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,,Max,Min
net_Sales,0.035000334,0.029151988,0.021477284,-0.134387822,0.205888171,-0.515510879,0.098561164,-0.280465586,0.613582443,-0.178329141,0.081548609,-0.235674767,0.235851453,-0.206652658,0.051688245,0.032350466,-0.064707616,0.0596948,0.014324109,-0.012358052,-0.00550849,-0.037658694,-0.009239796,-0.004458747,0.008349408,0.019704324,0.012590067,0.004820054,0.007021214,0.002078861,0.000824432,0.001744441,0.000744235,8.15E-05,0.000314376,0.000511976,,0.613582443,-0.515510879
Amz_Avg_helpful_votes,0.016571637,-0.104467915,-0.10058374,0.044052273,-0.294285569,-0.460878864,0.400865787,0.128025552,-0.214339439,-0.105228849,0.479876678,-0.143621254,-0.315134368,0.223527339,-0.052987022,-0.024603478,0.038329038,0.06292019,-0.06737694,0.032971141,0.033459534,0.157871185,0.007972458,0.033543669,0.017702783,0.018631043,-0.015090142,0.001741442,-0.023251851,0.01388477,0.004581176,0.008149909,-0.004203244,-0.004156536,0.003628178,5.32E-05,,0.479876678,-0.460878864
Amz_Avg_negative_sent_score,0.033864649,-0.298745,0.045685024,-0.030246635,0.037525169,0.142374693,0.161744381,-0.153344883,0.182296411,-0.031198444,-0.255895221,-0.081642466,-0.066350672,0.532579714,-0.295109105,0.074896421,-0.528769042,0.036044756,0.021781267,-0.10187331,0.004748417,0.135046689,0.082073182,0.000424452,-0.010590373,0.019035203,0.020758401,-0.044623344,-0.050988068,-0.028278153,-0.08238919,-0.04258809,0.10633611,-0.017583664,-0.019533196,0.067168954,,0.532579714,-0.528769042
Amz_Avg_Positive_sent_score,0.075770835,-0.302069178,-0.04800641,0.115730994,-0.002605251,-0.126594964,-0.064380889,0.084174417,-0.19070805,-0.180272626,-0.241680987,-0.218430383,-0.191960314,-0.380678793,0.096232696,-0.009717049,-0.106645735,-0.146067841,-0.106039612,-0.009200103,0.075534013,-0.170985225,0.044720422,-0.098867097,0.099646438,0.0002326,-0.033907214,0.098237629,-0.114989711,-0.031629152,-0.262401857,-0.012379192,0.434913872,-0.067635051,-0.162104774,0.281468243,,0.434913872,-0.380678793
Amz_Avg_rating,0.033488326,-0.346041489,-0.055480713,0.090018341,0.125087772,0.077862206,-0.071768936,-0.048305127,0.085412858,0.045672186,0.138749792,0.07810391,0.135136936,-0.025637796,-0.082233677,-0.028248945,0.207369068,-0.059261688,-0.14399888,0.208836294,0.033822118,0.37778724,-0.120499899,0.321995125,-0.236689967,-0.148206877,-0.082488747,0.009213163,0.458966429,-0.158278968,-0.023797513,0.064037965,0.193651733,-0.084364287,-0.111987015,0.149030152,,0.458966429,-0.346041489
Amz_cal_avg_score,-0.166036203,-0.016210033,0.368528475,0.196973011,0.02983367,0.03937321,0.055098145,0.002652261,0.070011821,-0.005190959,0.135685784,0.019795714,0.075457121,0.207479332,-0.092418648,-0.098959124,0.085562528,0.194402979,-0.282245021,0.116970683,0.254469445,-0.496725507,-0.075440472,-0.102670863,0.1922767,-0.262923803,0.049456839,0.122873788,0.111317932,-0.191686849,0.130666299,-0.134937563,0.151961937,-0.002873598,0.048673765,0.039446983,,0.368528475,-0.496725507
Amz_No_of_images,0.204170449,-0.031419546,0.039835991,-0.047056156,-0.037184091,0.081043729,0.471039214,0.264275135,0.091357023,0.217270132,-0.13032249,0.060652692,0.162774581,-0.157046368,0.002102946,0.114630101,0.017736915,-0.030486541,-0.075025937,0.023834593,0.002058288,-0.018320858,-0.002301693,-0.023724413,0.04474163,0.000605049,-0.00549455,0.054915541,-0.03300701,-0.025335013,0.003831435,-0.033660994,-0.188640754,-0.627541686,0.185902115,0.181954945,,0.471039214,-0.627541686
Amz_Not_User_Gen_images,0.187416971,-0.031994803,0.021828253,-0.092275037,0.085422819,0.12925625,0.50582522,0.324839861,0.134053611,0.204636667,-0.109486158,0.016559586,0.045619752,-0.108886595,0.078814392,0.064496194,0.045717857,0.015821923,-0.022759168,0.02787004,-0.022684275,-0.05561058,-0.030727378,0.007079103,-0.036232897,-0.018707669,-0.001478447,-0.025534468,0.053065918,0.015262725,-0.01026798,0.023877593,0.181272651,0.602261122,-0.182885009,-0.172498108,,0.602261122,-0.182885009
Amz_pdt_desc_length,-0.030957249,-0.02877096,-0.086897301,0.053477075,-0.158062844,-0.147426831,-0.37517781,0.738165159,0.355534245,-0.214490234,-0.016306097,0.132041785,0.078250881,0.159996978,-0.051243847,0.145905984,-0.035986984,-0.031336132,-0.006744112,-0.06462358,0.015716834,0.012718253,0.04159707,0.004394026,0.018442247,-0.013929581,-0.008881222,0.018280403,0.008330414,0.00167649,0.000144354,0.000674957,0.003192565,0.001606422,0.000396379,-2.71E-05,,0.738165159,-0.37517781
amz_rating_1_2_cnt,-0.01465481,0.340745269,0.058658788,-0.044257451,0.007158034,0.011856117,0.014773118,-0.060550719,0.034523725,-0.165174056,-0.138653535,0.166945866,-0.271170711,-0.104221864,-0.053671828,0.332973869,-0.10159813,0.277821786,-0.394064215,0.103302093,0.070382534,0.12298945,-0.256684293,0.264575676,-0.172595563,-0.169831332,-0.1985747,0.069078699,-0.257804717,0.120990478,-0.022255713,0.055074558,0.041793661,-0.011847457,-0.034244275,0.022925798,,0.340745269,-0.394064215
amz_rating_4_5_cnt,0.023925245,-0.340459143,-0.021394749,0.129150499,0.116766574,0.039993231,-0.049666232,0.063936055,-0.002865024,0.007974716,0.048768496,0.051170372,0.247564831,-0.067835129,-0.050015474,-0.403297575,0.063440017,0.374593556,-0.168773316,0.105512752,-0.112893349,0.224309823,0.078376096,-0.123029422,0.095914248,-0.10878709,-0.136238503,0.014660764,-0.460130558,0.267253184,-0.014353979,0.019755346,-0.106002878,0.051333914,0.005757641,-0.052184651,,0.374593556,-0.460130558
Amz_rating1,0.224330979,0.137348837,0.162048046,-0.065462937,0.009631624,0.031413271,-0.050192485,0.038190535,0.044651657,-0.078808487,0.05242383,0.043448341,0.01306534,-0.04279985,-0.232325076,-0.281853235,-0.039998864,-0.359754952,-0.193379895,0.252645309,0.225223632,0.159846944,-0.233857894,0.130895141,0.175984381,0.331762768,0.36317391,-0.12748911,-0.236639443,-0.107872006,-0.008381395,-0.076327268,-0.01229108,0.045331012,-0.035945388,-0.019647069,,0.36317391,-0.359754952
Amz_rating2,0.234170244,0.080788072,0.150894392,-0.000563108,0.005526373,0.072910132,-0.043673557,-0.105195229,0.131026355,-0.099521891,-0.021893425,0.0483926,-0.23456438,-0.015962332,-0.245090254,0.098045898,0.295890813,-0.039900714,-0.370119928,-0.094559723,-0.275044161,0.157459704,0.361160196,-0.37813051,0.15360745,0.200864269,-0.120022795,0.101821653,0.203701788,-0.024185237,0.02310425,0.030108253,0.005578871,0.034311256,0.012148921,-0.013066274,,0.361160196,-0.37813051
