"","amazon_Shipping","kohl_final_price","kohl_Shipping","Target_Shipping","TCIN_var","kohl_pdt_desc_length","Availability","Price_diff_amazon_final_pr","Price_diff_target_final_pr","Price_rat_amazon_final_pr","Price_rat_amazon_reg_pr","Price_rat_target_reg_pr","Recency_week","net_Sales"
"amazon_Shipping",1,-0.585461378758704,NA,NA,-0.0737180322218488,0.102755856225564,-0.0026805055751969,-0.22532572530916,-0.301399529014196,-0.268897304864681,-0.359559340952971,-0.286504560861288,-0.152742191971609,0.0864001912120861
"kohl_final_price",-0.585461378758704,1,NA,NA,0.122149364186711,-0.18277900607753,0.00806164808993146,0.607977979076831,0.762506914701191,0.6418348243877,0.59821525099113,0.359527832431441,-0.00269355924943671,-0.167131283734881
"kohl_Shipping",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Target_Shipping",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCIN_var",-0.0737180322218488,0.122149364186711,NA,NA,1,-0.228338103626343,0.0682025236874069,0.0634141125359821,0.182366877504579,0.0370432852261093,0.0888242355557754,0.0990530774630363,-0.0239060299053582,0.198855154645474
"kohl_pdt_desc_length",0.102755856225564,-0.18277900607753,NA,NA,-0.228338103626343,1,-0.0325548014113405,-0.110693093513934,-0.177153946800101,-0.0835117346654513,-0.10673206774208,-0.103503465473315,0.112373367877986,-0.0345526822397313
"Availability",-0.0026805055751969,0.00806164808993146,NA,NA,0.0682025236874069,-0.0325548014113405,1,0.0203780562771544,-0.0391348151748184,0.0707418201285583,0.0504463236189882,-0.0918322894861811,0.0511427578400189,0.0624525365611155
"Price_diff_amazon_final_pr",-0.22532572530916,0.607977979076831,NA,NA,0.0634141125359821,-0.110693093513934,0.0203780562771544,1,0.632592969208405,0.648988616842585,0.519559931431389,0.22828486818609,-0.0805410553435307,-0.0578064393320823
"Price_diff_target_final_pr",-0.301399529014196,0.762506914701191,NA,NA,0.182366877504579,-0.177153946800101,-0.0391348151748184,0.632592969208405,1,0.726378095859848,0.639382621314662,0.593119359335727,-0.135317435370874,-0.0475484181058164
"Price_rat_amazon_final_pr",-0.268897304864681,0.6418348243877,NA,NA,0.0370432852261093,-0.0835117346654513,0.0707418201285583,0.648988616842585,0.726378095859848,1,0.76263168285343,0.470085151594653,0.0333482357966411,0.02447900733619
"Price_rat_amazon_reg_pr",-0.359559340952971,0.59821525099113,NA,NA,0.0888242355557754,-0.10673206774208,0.0504463236189882,0.519559931431389,0.639382621314662,0.76263168285343,1,0.769207470200838,-0.046045264785609,0.0746174008859066
"Price_rat_target_reg_pr",-0.286504560861288,0.359527832431441,NA,NA,0.0990530774630363,-0.103503465473315,-0.0918322894861811,0.22828486818609,0.593119359335727,0.470085151594653,0.769207470200838,1,-0.0519511319120324,0.120356097599321
"Recency_week",-0.152742191971609,-0.00269355924943671,NA,NA,-0.0239060299053582,0.112373367877986,0.0511427578400189,-0.0805410553435307,-0.135317435370874,0.0333482357966411,-0.046045264785609,-0.0519511319120324,1,0.0486634308059811
"net_Sales",0.0864001912120861,-0.167131283734881,NA,NA,0.198855154645474,-0.0345526822397313,0.0624525365611155,-0.0578064393320823,-0.0475484181058164,0.02447900733619,0.0746174008859066,0.120356097599321,0.0486634308059811,1
