"","week_nmb","kohl_product_id","net_Sales","amazon_Shipping","kohl_final_price","kohl_Shipping","Target_Shipping","TCIN_var","kohl_pdt_desc_length","Availability","Price_diff_amazon_final_pr","Price_diff_target_final_pr","Price_rat_amazon_final_pr","Price_rat_amazon_reg_pr","Price_rat_target_reg_pr","Recency_week","Amz_No_of_images","Amz_Not_User_Gen_images","Amz_pdt_desc_length","Amz_rating5","Amz_Review_count","Amz_Total_negative_sent_score","Amz_Total_Positive_sent_score","Amz_User_Generated_images","kohls_Number_of_images","Neg_tot_wt_score","pos_avg_wt_score","reviews_1_M","reviews_3_M","reviews_6_M","Target_pdt_desc_length","Total_sentiment_score"
"1",1,"1194325",0,0,180.49,0,0,1,141,1,69.73,36.49,1.62955940772842,1.71533044420368,1.319375,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"2",1,"565916",2,0,123.45,0,0,1,169,1,24.48,-21.5,1.24734768111549,1.31302414873194,0.896516040013798,59,6,6,3,2,3,0,11,0,NA,0,3.66666666666667,1,1,1,40,11
"3",2,"1194325",0,0,170.99,0,0,1,141,1,62.56,26.99,1.57696209536106,1.75219035322328,1.319375,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"4",2,"565916",0,0,116.95,0,0,1,169,1,22.12,-28,1.23325951703048,1.37034693662343,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,40,NA
"5",3,"1194325",0,0,170.99,0,0,1,141,1,66.7,0,1.63956275769489,1.82174705149103,1.11111760921691,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"6",3,"565916",1,0,116.95,0,0,1,169,1,23.77,-28,1.25509766044215,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,40,NA
"7",4,"1194325",0,0,170.99,0,0,1,141,1,66.7,26.99,1.63956275769489,1.82174705149103,1.319375,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"8",4,"565916",1,0,116.95,0,0,1,169,1,23.77,-28,1.25509766044215,1.3946125778064,0.896516040013798,59,6,6,3,2,4,0,15,0,NA,0,0,2,2,2,40,15
"9",5,"1194325",0,0,189.99,0,0,1,141,1,85.7,19,1.82174705149103,1.82174705149103,1.11111760921691,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"10",5,"565916",0,0,123.45,0,0,1,169,1,30.27,-21.5,1.32485511912428,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,40,NA
"11",6,"1194325",0,0,189.99,0,0,1,141,1,74.9,0,1.65079502997654,1.65079502997654,1,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"12",6,"1305860",0,0,79.99,0,0,1,199,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
"13",6,"1305865",0,0,79.99,0,0,1,192,1,47.79,40,2.48416149068323,2.48416149068323,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"14",6,"1309422",0,0,79.99,0,0,2,183,1,41.3,40,2.06745929180667,2.06745929180667,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,503,NA
"15",6,"565916",0,0,123.45,0,0,1,169,1,30.27,-21.5,1.32485511912428,1.3946125778064,0.896516040013798,59,6,6,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,40,NA
"16",6,"1305855",1,0,79.99,0,0,1,183,1,48.64,40,2.55151515151515,2.55151515151515,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,501,NA
"17",6,"1309395",2,0,79.99,0,0,1,183,1,40,40,2.00025006251563,2.00025006251563,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,505,NA
"18",6,"1309407",2,0,79.99,0,0,2,183,1,41.3,40,2.06745929180667,2.06745929180667,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,508,NA
"19",6,"1309403",3,0,79.99,0,0,2,183,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,510,NA
"20",6,"1309398",4,0,79.99,0,0,1,194,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,510,NA
"21",7,"1194325",0,0,189.99,0,0,1,141,1,74.9,45.99,1.65079502997654,1.65079502997654,1.319375,59,26,26,3,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,234,NA
"22",7,"1305860",0,0,79.99,0,0,1,199,1,47.6,40,2.4695893794381,2.4695893794381,2.00025006251563,54,32,32,3,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,508,NA
