kohl_product_id,amazon_product_ID,week_nmb,TCIN,Extraction_Date,kohl_product_name,kohl_Regular_price,kohl_Shipping,kohl_disc_perc,kohl_markdown_price,kohl_final_price,kohl_Product_Description,kohl_availability,kohl_additional_info,kohl_price_promo,amazon_product_name,amazon_Regular_price,amazon_Shipping,amazon_disc_perc,amazon_markdown_price,amazon_final_price,amazon_Product_Description,amazon_availability,amazon_additional_info,amazon_price_promo,Target_product_ID,Target_product_name,Target_Regular_price,Target_Shipping,Target_disc_perc,Target_markdown_price,Target_final_price,Target_Product_Description,Target_availability,Target_additional_info,Target_price_promo,kohl_availability_flag,amazon_availability_flag,Target_availability_flag,kohl_pdt_desc_length,Amz_pdt_desc_length,Target_pdt_desc_length,Price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_diff_amazon_reg_pr,Price_diff_target_reg_pr,Price_rat_amazon_final_pr,Price_rat_target_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Availability,firstDate,lastDate,Recency_week,Recency_month,TCIN_var,max_tcin_price,min_tcin_price,gross_sales,net_Sales,Amz_rating1,Amz_rating2,Amz_rating3,Amz_rating4,Amz_rating5,Amz_Review_count,Amz_Avg_rating,Amz_Avg_helpful_votes,Amz_cal_avg_score,amz_rating_4_5,amz_rating_4_5_cnt,amz_rating_1_2,amz_rating_1_2_cnt,rating1_cnt,rating5_cnt,Avg_sentiment_score,Total_sentiment_score,Amz_Avg_Positive_sent_score,Amz_Total_Positive_sent_score,Amz_Avg_negative_sent_score,Amz_Total_negative_sent_score,reviews_1_M,reviews_2_M,reviews_3_M,reviews_6_M,Avg_wt_score,Tot_wt_score,pos_avg_wt_score,Pos_tot_wt_score,Neg_avg_wt_score,Neg_tot_wt_score,Amz_No_of_images,Amz_Not_User_Gen_images,Amz_User_Generated_images,kohls_Number_of_images
1054902,B001I3P75G,1,11457892,03-12-2012,Leatherbay Pockets Backpack,269.95,0,0.050009261,256.45,256.45,Pack and go. This backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay pockets backpack to find your favorite color.,Yes,n/a,n/a,Leatherbay Leather Backpack with Pockets,190.52,0,0,190.52,190.52,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $104.43 (35%),11457892,Leatherbay Leather Backpack With Pockets - Black,294.95,0,0,0,294.95,Leatherbay Leather Backpack With Pockets - Black,Yes,n/a,n/a,1,1,1,155,3,48,65.93,-38.5,79.43,-25,1.346052908,0.869469402,1.41691161,0.915239871,1,03-12-2012,02-09-2013,59,13,1,256.45,256.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,1
1056014,B001J9Q3QQ,1,11457891,03-12-2012,Leatherbay Laptop Backpack,299.95,0,0.050008335,284.95,284.95,Pack and go. This laptop backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay laptop backpacks to find your favorite color.,Yes,n/a,n/a,Leatherbay Laptop Leather Backpack,209.51,0,0,209.51,209.51,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $120.44 (37%),11457891,Leatherbay Leather Laptop Backpack - Black,329.95,0,0,0,329.95,Leatherbay Leather Laptop Backpack - Black,Yes,n/a,n/a,1,1,1,162,3,42,75.44,-45,90.44,-30,1.360078278,0.863615699,1.431673906,0.909077133,1,03-12-2012,02-09-2013,59,13,1,284.95,284.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,2
1056017,B001I3N9GA,1,11457894,03-12-2012,Leatherbay Mini Backpack,129.95,0,0.050019238,123.45,123.45,On-the-go organization. This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color.,Yes,n/a,n/a,Leatherbay Leather Mini Backpack,98.97,0,0,98.97,98.97,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $45.98 (32%),11457894,Leatherbay Leather Mini Backpack - English Tan,144.95,0,0,0,144.95,Leatherbay Leather Mini Backpack - English Tan,Yes,n/a,n/a,1,1,1,169,3,46,24.48,-21.5,30.98,-15,1.247347681,0.851672991,1.313024149,0.89651604,1,03-12-2012,08-07-2013,59,13,1,123.45,123.45,NA,NA,0,0,0,1,2,3,4.666666667,3,1,3,1,0,0,0,0.666666667,3.666666667,11,3.666666667,11,0,0,1,1,1,1,3.666666667,11,3.666666667,11,0,0,6,6,0,1
1130083,B0065QXMTY,1,14107208,03-12-2012,Wildkin Sidekick Backpack - Kids,34.99,0,0,0,34.99,"This Wildkin backpack is the perfect sidekick for school. With interior pockets, a pencil holder and two zippered compartments, this kids' backpack is a studying necessity.",Yes,n/a,n/a,Wildkin Fern Green Sidekick Backpack,25.18,0,0,25.18,25.18,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $4.81 (16%),14107208,Wildkin Sidekick Backpack - Cardinal Red,25.29,0,0,0,25.29,Wildkin Sidekick Backpack - Cardinal Red,Yes,n/a,n/a,1,1,1,172,3,40,9.81,9.7,9.81,9.7,1.389594917,1.383550811,1.389594917,1.383550811,1,03-12-2012,08-07-2013,59,13,2,34.99,34.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0,1
1130229,B007W4MNHK,1,14107192,03-12-2012,Wildkin Owl Macropack Backpack - Kids,42.99,0,0,0,42.99,"This Wildkin backpack is a wise choice. With a spacious design, interior pockets and a mesh enclosure, this owl backpack keeps your little one's essentials organized. Whether going on a family trip or walking to school, this sweet backpack ensures your child will have a hoot. In pink/white/multi.",Yes,n/a,n/a,Wildkin Owls Macropak Backpack,35.21,0,0,35.21,35.21,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $4.78 (12%),14107192,Wildkin Owls Macropak Backpack - Pink,35.29,0,0,0,35.29,Wildkin Owls Macropak Backpack - Pink,Yes,n/a,n/a,1,1,1,297,3,37,7.78,7.7,7.78,7.7,1.220959955,1.218192122,1.220959955,1.218192122,1,03-12-2012,08-07-2013,59,13,1,42.99,42.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,0,1
1130231,B007W4MP3M,1,14107197,03-12-2012,Wildkin Leopard Macropack Backpack - Kids,42.99,0,0,0,42.99,"An exotic find from Wildkin. With a spacious design, interior pockets and a mesh enclosure, this leopard backpack keeps your little one's essentials organized. Whether going on a family trip or walking to school, this eye-catching backpack is a must-have. In pink/black.",Yes,n/a,n/a,Wildkin Pink Leopard Macropak Backpack,27.99,0,0,27.99,27.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $12.00 (30%),14107197,Wildkin Leopard Macropak Backpack - Pink,35.29,0,0,0,35.29,Wildkin Leopard Macropak Backpack - Pink,Yes,n/a,n/a,1,1,1,270,3,40,15,7.7,15,7.7,1.535905681,1.218192122,1.535905681,1.218192122,1,03-12-2012,02-09-2013,59,13,1,42.99,42.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,0,1
1130256,B007W4MN02,1,14107198,03-12-2012,Wildkin Olive Kids Wild Animals Pack 'n Snack Backpack - Kids,25.99,0,0,0,25.99,Take snacks on the go. This kids' Wildkin backpack doubles as a lunch bag with an insulated food-safe compartment. Enhance your little one's everyday routine with this playful animal backpack. In green/multi.,Yes,n/a,n/a,Wildkin Olive Kids Wild Animals Pack 'n Snack Backpack,23.59,5.47,0,23.59,23.59,n/a,Yes,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $2.40 (9%),14107198,Wildkin Olive Kids Wild Animals Backpack - Green,23.79,0,0,0,23.79,Wildkin Olive Kids Wild Animals Backpack - Green,Yes,n/a,n/a,1,1,1,208,3,48,2.4,2.2,2.4,2.2,1.101738025,1.09247583,1.101738025,1.09247583,1,03-12-2012,08-07-2013,59,13,1,25.99,25.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,1
1130257,B0067QYI5E,1,14107265,03-12-2012,Wildkin Olive Kids Mermaid Pack 'n Snack Backpack - Kids,29.99,0,0,0,29.99,Take snacks on the go. This girls' Wildkin backpack doubles as a lunch bag with an insulated food-safe compartment. Enhance her everyday routine with this adorable mermaid backpack. In blue/multi.,Yes,n/a,n/a,Wildkin Olive Kids Mermaids Pack 'n Snack,23.59,6.17,0,23.59,23.59,n/a,Yes,& eligible for FREE Super Saver Shipping on orders over $25.,You Save: $2.40 (9%),14107265,Wildkin Olive Kids Mermaids Pack n Snack Blackpack - Blue,23.79,0,0,0,23.79,Wildkin Olive Kids Mermaids Pack n Snack Blackpack - Blue,Yes,n/a,n/a,1,1,1,196,3,57,6.4,6.2,6.4,6.2,1.271301399,1.260613703,1.271301399,1.260613703,1,03-12-2012,08-07-2013,59,13,1,29.99,29.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,1
1130258,B007W4MMNU,1,14107294,03-12-2012,Wildkin Olive Kids Paisley Pack 'n Snack Backpack - Kids,29.99,0,0,0,29.99,Take snacks on the go. This girls' Wildkin backpack doubles as a lunch bag with an insulated food-safe compartment. Enhance her everyday routine with this pretty paisley backpack. In pink/multi.,Yes,n/a,n/a,Wildkin Olive Kids Paisley Pack 'n Snack,25.99,0,0,0,25.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,n/a,14107294,Wildkin Olive Kids Pack N Snack Backpack - Pink,25.99,0,0,0,25.99,Wildkin Olive Kids Pack N Snack Backpack - Pink,Yes,n/a,n/a,1,1,1,194,3,47,4,4,4,4,1.153905348,1.153905348,1.153905348,1.153905348,1,03-12-2012,08-07-2013,59,13,1,29.99,29.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,NA
1130297,B0065QXV7W,1,14107317,03-12-2012,Wildkin Ball 'n' All Sports Backpack - Kids,44.99,0,0,0,44.99,"Win first place with this Wildkin sports backpack. Featuring four exterior pockets, a mesh ball carrier and durable 600-denier construction, this dotted backpack is perfect for keeping your little athlete's gear organized. In blue.",Yes,n/a,n/a,Wildkin Soccer Bags,27.56,0,0,27.56,27.56,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $12.43 (31%),14107317,Wildkin Sports Backpack - Blue,27.59,0,0,0,27.59,Wildkin Sports Backpack - Blue,Yes,n/a,n/a,1,1,1,231,3,30,17.43,17.4,17.43,17.4,1.632438316,1.630663284,1.632438316,1.630663284,1,03-12-2012,08-07-2013,59,13,1,44.99,44.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,1
