week_nmb,Unique_Pdt_Identifier_Mainpdt,Amz_rating1,Amz_rating2,Amz_rating3,Amz_rating4,Amz_rating5,Amz_Review_count,Amz_Avg_rating
-599,B00004Z6UN,0,0,0,1,0,1,4
-182,B00005Q70B,1,0,0,0,0,1,1
-45,B00005Q70B,0,0,0,0,1,1,5
12,B00005Q70B,0,0,0,0,1,1,5
21,B00005Q70B,0,0,0,0,1,1,5
-409,B00024ENVG,0,0,0,1,0,1,4
-384,B00024ENVG,0,0,0,1,0,1,4
-382,B00024ENVG,0,0,0,0,1,1,5
-380,B00024ENVG,0,0,2,0,0,2,3
-379,B00024ENVG,0,0,0,2,1,3,4.333333333
-378,B00024ENVG,0,0,0,0,2,2,5
-377,B00024ENVG,0,0,0,0,3,3,5
-376,B00024ENVG,0,0,0,0,3,3,5
-375,B00024ENVG,0,0,0,1,1,2,4.5
-374,B00024ENVG,0,0,0,0,3,3,5
-373,B00024ENVG,1,0,0,1,3,5,4
-371,B00024ENVG,0,0,0,0,1,1,5
-370,B00024ENVG,1,0,0,0,0,1,1
-368,B00024ENVG,0,0,0,0,1,1,5
-365,B00024ENVG,0,0,0,0,1,1,5
-363,B00024ENVG,0,0,0,0,1,1,5
-361,B00024ENVG,0,0,0,0,2,2,5
-359,B00024ENVG,0,0,0,0,1,1,5
-356,B00024ENVG,0,0,0,0,1,1,5
-353,B00024ENVG,0,0,0,1,2,3,4.666666667
-350,B00024ENVG,0,0,0,1,3,4,4.75
-349,B00024ENVG,0,0,0,0,2,2,5
-341,B00024ENVG,1,0,0,0,0,1,1
-336,B00024ENVG,0,0,0,0,1,1,5
-335,B00024ENVG,0,0,0,0,1,1,5
-334,B00024ENVG,0,0,0,1,2,3,4.666666667
-333,B00024ENVG,0,0,0,0,2,2,5
-332,B00024ENVG,0,0,0,0,1,1,5
-331,B00024ENVG,0,0,0,0,1,1,5
-330,B00024ENVG,0,0,0,0,2,2,5
-329,B00024ENVG,0,0,0,0,2,2,5
-328,B00024ENVG,0,0,0,0,1,1,5
-326,B00024ENVG,0,0,0,1,1,2,4.5
-325,B00024ENVG,1,0,0,0,1,2,3
-317,B00024ENVG,0,0,0,0,1,1,5
-316,B00024ENVG,0,0,0,1,1,2,4.5
-315,B00024ENVG,0,0,0,1,3,4,4.75
-311,B00024ENVG,0,0,0,0,2,2,5
-309,B00024ENVG,0,0,0,0,1,1,5
-308,B00024ENVG,0,0,1,0,2,3,4.333333333
-307,B00024ENVG,0,0,0,3,2,5,4.4
-306,B00024ENVG,0,0,1,2,3,6,4.333333333
-305,B00024ENVG,0,0,0,1,2,3,4.666666667
-304,B00024ENVG,0,0,0,1,1,2,4.5
-303,B00024ENVG,0,0,0,3,3,6,4.5
-302,B00024ENVG,0,0,0,0,1,1,5
-301,B00024ENVG,0,0,0,1,2,3,4.666666667
-299,B00024ENVG,0,0,0,0,1,1,5
-297,B00024ENVG,0,0,0,1,2,3,4.666666667
-296,B00024ENVG,0,0,0,1,2,3,4.666666667
-295,B00024ENVG,0,0,0,2,0,2,4
-293,B00024ENVG,0,0,0,0,1,1,5
-290,B00024ENVG,0,0,1,1,1,3,4
-289,B00024ENVG,0,0,0,1,9,10,4.9
-287,B00024ENVG,0,0,0,1,5,6,4.833333333
-286,B00024ENVG,0,0,0,0,3,3,5
-285,B00024ENVG,0,0,0,0,3,3,5
-283,B00024ENVG,0,0,0,1,3,4,4.75
-282,B00024ENVG,0,0,0,0,1,1,5
-281,B00024ENVG,0,0,0,1,2,3,4.666666667
-280,B00024ENVG,0,0,0,0,2,2,5
-279,B00024ENVG,0,0,0,0,1,1,5
-278,B00024ENVG,0,0,0,1,1,2,4.5
-277,B00024ENVG,0,0,0,1,2,3,4.666666667
-276,B00024ENVG,0,0,0,1,1,2,4.5
-274,B00024ENVG,0,0,0,0,2,2,5
-273,B00024ENVG,0,0,0,0,1,1,5
-271,B00024ENVG,0,0,0,1,1,2,4.5
-270,B00024ENVG,0,0,0,0,2,2,5
-269,B00024ENVG,0,1,0,0,0,1,2
-268,B00024ENVG,0,0,0,0,2,2,5
-267,B00024ENVG,0,0,0,1,1,2,4.5
-266,B00024ENVG,0,0,0,0,1,1,5
-265,B00024ENVG,0,0,0,1,1,2,4.5
-263,B00024ENVG,0,0,0,0,1,1,5
-262,B00024ENVG,0,0,0,0,1,1,5
-261,B00024ENVG,0,0,1,0,3,4,4.5
-259,B00024ENVG,0,0,0,0,1,1,5
-258,B00024ENVG,0,1,0,0,0,1,2
-257,B00024ENVG,0,0,0,0,3,3,5
-256,B00024ENVG,0,0,0,1,0,1,4
-254,B00024ENVG,0,0,0,0,2,2,5
-253,B00024ENVG,0,0,0,1,4,5,4.8
-252,B00024ENVG,0,0,0,0,2,2,5
-251,B00024ENVG,0,0,0,0,1,1,5
-250,B00024ENVG,0,0,1,1,2,4,4.25
-249,B00024ENVG,0,0,0,2,0,2,4
-248,B00024ENVG,0,0,0,1,0,1,4
-247,B00024ENVG,0,0,0,2,0,2,4
-246,B00024ENVG,0,0,0,0,1,1,5
-244,B00024ENVG,0,0,0,0,1,1,5
-242,B00024ENVG,0,0,0,0,2,2,5
-240,B00024ENVG,0,0,0,0,1,1,5
-239,B00024ENVG,0,0,1,0,0,1,3
-237,B00024ENVG,0,0,0,1,0,1,4
-235,B00024ENVG,0,0,0,0,1,1,5
-234,B00024ENVG,0,0,0,1,1,2,4.5
-233,B00024ENVG,0,0,0,0,1,1,5
-232,B00024ENVG,0,0,0,1,0,1,4
-231,B00024ENVG,0,0,0,1,0,1,4
-227,B00024ENVG,0,0,0,0,2,2,5
-225,B00024ENVG,0,0,0,0,1,1,5
-224,B00024ENVG,0,0,0,1,0,1,4
-222,B00024ENVG,0,0,0,3,2,5,4.4
-220,B00024ENVG,0,0,0,0,1,1,5
-218,B00024ENVG,0,0,0,0,1,1,5
-216,B00024ENVG,0,0,0,1,1,2,4.5
-213,B00024ENVG,0,0,1,0,0,1,3
-212,B00024ENVG,0,0,1,1,1,3,4
-209,B00024ENVG,0,0,0,0,2,2,5
-208,B00024ENVG,0,0,0,0,1,1,5
-206,B00024ENVG,0,0,0,0,3,3,5
-205,B00024ENVG,0,1,0,0,0,1,2
-203,B00024ENVG,0,0,0,0,1,1,5
-202,B00024ENVG,0,0,0,0,1,1,5
-201,B00024ENVG,0,0,0,0,1,1,5
-199,B00024ENVG,0,0,0,0,1,1,5
-197,B00024ENVG,0,0,0,1,3,4,4.75
-196,B00024ENVG,0,0,0,1,2,3,4.666666667
-195,B00024ENVG,0,0,1,0,5,6,4.666666667
-194,B00024ENVG,0,0,0,1,1,2,4.5
-193,B00024ENVG,0,0,0,0,2,2,5
-192,B00024ENVG,0,0,0,1,5,6,4.833333333
-191,B00024ENVG,0,0,0,0,2,2,5
-189,B00024ENVG,0,0,0,1,1,2,4.5
-188,B00024ENVG,0,0,0,1,1,2,4.5
