Extraction_Date,ord_week_nmb,Site_Name,TCIN,Product_ID,,Product_Name,Regular_price,Regular_Price_Range,Shipping,disc_perc,markdown_price,final_price,Product_Description,availability,additional_information,price_promo,Unique_Key
03-12-2012,1,Amazon,11217768,B00004Z6UN,0,Sumdex DigiPod Neoprene Computer Sleeve - 17,31.63,n/a,0,0,31.63,31.63,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $23.32 (42%),1 B00004Z6UN
03-12-2012,1,Amazon,10660650,B00005Q70B,0,Sumdex Laptop Notebrief,30.94,n/a,0,0,30.94,30.94,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $39.01 (56%),1 B00005Q70B
03-12-2012,1,Amazon,13324103,B00024ENHK,0,Targus CityGear Miami Messenger Case for 17 Inch Notebooks TCG200 (Black with Grey),39.82,n/a,0,0,39.82,39.82,"The CityGear Miami messenger notebook case has lots of features in a sporty, stylish, lightweight design. Features of this case include a zip-down workstation with holders for business cards, media and more, plus mesh accessory storage pouches. There is a padded notebook compartment, a section for file storage and even a hidden water-bottle pocket. Sleek and professional, this case supports notebooks with up to 17-inch screens",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $18.17 (31%),1 B00024ENHK
03-12-2012,1,Amazon,13324101,B00024ENVG,0,Targus CityGear Chicago Backpack Case for 16 Inch Notebooks TCG650 (Black with Grey),55.99,n/a,0,0,55.99,55.99,"Targus CityGear Backpack Targus CityGear Backpack Great for School, Work or Play Looking for a bag that does it all? The Targus CityGear Backpack is one of our most popular bags, thanks to its blend of style, utility, and durability. Our latest CityGear Backpack boasts the same great qualities that have made the entire CityGear line a hit with students and professionals alike, but we?ve also added some great new features that make it even more appealing. A Place for All Your Tech Finding a bag that can hold all your devices is easy, but having a bag that offers a safe, dedicated place for your gadgets is more challenging. The CityGear Backpack is great for students or professionals looking to safeguard all their gadgets throughout their day. In addition to a large compartment that can hold a 16-inch laptop, there's a dedicated scratch-free pocket designed to protect an iPad, eReader and most tablets up to 10"". laptop comartment dedicated tablet pocket ample space for gear Space for Eve",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $18.00 (24%),1 B00024ENVG
03-12-2012,1,Amazon,589227,B00061NLA4,0,SOLO Expandable Messenger Bag,25.99,n/a,0,0,0,25.99,n/a,Yes,n/a,n/a,1 B00061NLA4
03-12-2012,1,Amazon,589792,B00061W89E,0,McKleinUSA LASALLE 83405 Black 17-Inch Wheeled Laptop Overnight,162.72,n/a,0,0,0,162.72,"Front zipper pocket for small miscellaneous items Front organizer pocket with storage space for media devices, cell phone, business cards, key holder and pens Front compartment is padded to protect laptops up to 17 in size and a file pocket for documents Middle compartment duals as storage space for overnight clothing or electronic devices Back Compartment with 2 storage pockets for cables, umbrella, batteries and small miscellaneous items Dual Laptop Protection System uses a high-tech ABS honeycomb frame to protect from exterior impact and a 10 mm high-density foam that helps absorb shock and prevent moisture intake Smart Attachment Strap allows transport on extended handles of other rolling cases and luggage Bonus! Snap-secured detachable laptop shuttle/briefcase that protects laptops up to 15.4 in size Advanced, non-slip, shock absorbing neoprene Comfort Flex Shoulder Strap stretches for comfort, alleviating body strain",Yes,n/a,n/a,1 B00061W89E
03-12-2012,1,Amazon,589815,B00061W8F8,0,"McKlein USA Morgan Leather 17"" Litigator Laptop Brief",124.99,n/a,0,0,124.99,124.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $220.01 (64%),1 B00061W8F8
03-12-2012,1,Amazon,589832,B00061W8OO,0,"McKlein USA Damen Leather Wheeled 17"" Laptop Case",159.99,n/a,0,0,0,159.99,n/a,Yes,n/a,n/a,1 B00061W8OO
03-12-2012,1,Amazon,589847,B00061W8RQ,0,McKleinUSA HALSTED 80334 Brown Double Compartment Laptop Case,85.33,n/a,0,0,85.33,85.33,"Sleek, stylish bar-top design Front organizer pocket with storage space for media devices, business cards, key holder and pens Front compartment provides storage space for files and documents Back compartment padded with built-in 10 mm high-density foam laptop sleeve that protects laptops up to 15.4 in size and has organizer pockets for media devices Smart Zipper Attachment allows transport on extended handles of other rolling cases and luggage Non-slip, shock absorbing comfortable shoulder strap helps alleviating body strain",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $192.17 (69%),1 B00061W8RQ
03-12-2012,1,Amazon,711710,B0007YX26S,0,Travel Select Amsterdam Business Rolling Garment Bag,47.28,n/a,0,0,47.28,47.28,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $12.71 (21%),1 B0007YX26S
03-12-2012,1,Amazon,711716,B0007YX27W,0,Travel Select Amsterdam Business Rolling Garment Bag,44.53,n/a,0,0,44.53,44.53,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $15.46 (26%),1 B0007YX27W
03-12-2012,1,Amazon,14112231,B0009WH4OE,0,"SOLO Nylon 15.6"" Computer Messenger Bag",28.76,n/a,0,0,0,28.76,n/a,Yes,n/a,n/a,1 B0009WH4OE
03-12-2012,1,Amazon,14112227,B0009WKMT8,0,"SOLO Classic Collection Laptop Messenger Bag, Holds Notebook Computer up to 17 Inches, Black, PT920-4",34.44,n/a,0,0,0,34.44,"Nylon messenger bag with removable padded computer pocket to hold 17"" laptops. Organizer and accessory pockets under front flap. Full-length zippered pocket under flap and on back of bag. Large adjustable speed buckle secures front flap. Uniquely styled shoulder strap. Black.",Yes,& this item ships for FREE with Super Saver Shipping.,n/a,1 B0009WKMT8
03-12-2012,1,Amazon,10146077,B000BKCTYY,0,McKleinUSA LEXINGTON 83544 Brown Flapover Double Compartment Briefcase,109.78,n/a,0,0,109.78,109.78,"Clean line design features secure key lock on front flap Front compartment with space for files; complete with organizer for media devices, cell phone, business cards and pens Double compartment divided by secured zipper section for important documents Back compartment padded with high-density foam to provide laptop protection, including most 17 laptops Smart Zipper Attachment allows transport on extended handles of other rolling cases and luggage Non-slip, shock absorbing comfortable shoulder strap helps alleviating body strain",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $75.22 (41%),1 B000BKCTYY
03-12-2012,1,Amazon,10146078,B000BKEQGS,0,McKleinUSA LEXINGTON 83544 Black Flapover Double Compartment Briefcase,108.21,n/a,0,0,108.21,108.21,"Clean line design features secure key lock on front flap Front compartment with space for files; complete with organizer for media devices, cell phone, business cards and pens Double compartment divided by secured zipper section for important documents Back compartment padded with high-density foam to provide laptop protection, including most 17 laptops Smart Zipper Attachment allows transport on extended handles of other rolling cases and luggage Non-slip, shock absorbing comfortable shoulder strap helps alleviating body strain",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $76.79 (42%),1 B000BKEQGS
03-12-2012,1,Amazon,10238272,B000E638AY,0,Travelers Choice Luggage Voyager 3-Piece Luggage Set,121.38,n/a,0,0,121.38,121.38,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $78.61 (39%),1 B000E638AY
03-12-2012,1,Amazon,10238274,B000E66PNG,0,Travelers Choice Luggage Voyager 3-Piece Luggage Set,114.52,n/a,0,0,114.52,114.52,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $85.47 (43%),1 B000E66PNG
03-12-2012,1,Amazon,11470750,B000GHGFX8,0,"McKlein USA Chicago Leather Wheeled 17"" Laptop Case",181.85,n/a,0,0,181.85,181.85,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $298.15 (62%),1 B000GHGFX8
03-12-2012,1,Amazon,11470965,B000GHGFXS,0,"McKlein USA Pearson Leather Expandable 15.4"" Laptop Briefcase",110.76,n/a,0,0,110.76,110.76,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $174.24 (61%),1 B000GHGFXS
