Extraction_Date,ord_week_nmb,Site_Name,TCIN,amazon_product_ID,amazon_product_name,amazon_Regular_price,Regular_Price_Range,amazon_Shipping,amazon_disc_perc,amazon_markdown_price,amazon_final_price,amazon_Product_Description,amazon_availability,amazon_additional_info,amazon_price_promo
03-12-2012,1,Amazon,589201,B0041XIBI0,"SOLO Rolling Laptop 17"" Catalog Case",59.94,n/a,0,0,59.94,59.94,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $40.05 (40%)
03-12-2012,1,Amazon,589203,B000WINIKY,SOLO Classic Collection Rolling Overnighter Case Accommodates up to 15.6 Inch Laptop,40.99,n/a,0,0,40.99,40.99,Padded laptop pocket holds most 15.6 laptops. Full-length zippered pocket on back. Telescoping handle system. Zip-down organizer compartment. Extra wide wheels for stability. Accordion fan file. Cushioned carry handles. Disk and accessory pockets. Bag Dimensions: 16 x 15 x 6.5 in.,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $19.00 (32%)
03-12-2012,1,Amazon,589227,B00061NLA4,SOLO Expandable Messenger Bag,25.99,n/a,0,0,0,25.99,n/a,Yes,n/a,n/a
03-12-2012,1,Amazon,589792,B00061W89E,McKleinUSA LASALLE 83405 Black 17-Inch Wheeled Laptop Overnight,162.72,n/a,0,0,0,162.72,"Front zipper pocket for small miscellaneous items Front organizer pocket with storage space for media devices, cell phone, business cards, key holder and pens Front compartment is padded to protect laptops up to 17 in size and a file pocket for documents Middle compartment duals as storage space for overnight clothing or electronic devices Back Compartment with 2 storage pockets for cables, umbrella, batteries and small miscellaneous items Dual Laptop Protection System uses a high-tech ABS honeycomb frame to protect from exterior impact and a 10 mm high-density foam that helps absorb shock and prevent moisture intake Smart Attachment Strap allows transport on extended handles of other rolling cases and luggage Bonus! Snap-secured detachable laptop shuttle/briefcase that protects laptops up to 15.4 in size Advanced, non-slip, shock absorbing neoprene Comfort Flex Shoulder Strap stretches for comfort, alleviating body strain",Yes,n/a,n/a
03-12-2012,1,Amazon,589815,B00061W8F8,"McKlein USA Morgan Leather 17"" Litigator Laptop Brief",124.99,n/a,0,0,124.99,124.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $220.01 (64%)
03-12-2012,1,Amazon,589832,B00061W8OO,"McKlein USA Damen Leather Wheeled 17"" Laptop Case",159.99,n/a,0,0,0,159.99,n/a,Yes,n/a,n/a
03-12-2012,1,Amazon,589847,B00061W8RQ,McKleinUSA HALSTED 80334 Brown Double Compartment Laptop Case,85.33,n/a,0,0,85.33,85.33,"Sleek, stylish bar-top design Front organizer pocket with storage space for media devices, business cards, key holder and pens Front compartment provides storage space for files and documents Back compartment padded with built-in 10 mm high-density foam laptop sleeve that protects laptops up to 15.4 in size and has organizer pockets for media devices Smart Zipper Attachment allows transport on extended handles of other rolling cases and luggage Non-slip, shock absorbing comfortable shoulder strap helps alleviating body strain",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $192.17 (69%)
03-12-2012,1,Amazon,711710,B0007YX26S,Travel Select Amsterdam Business Rolling Garment Bag,47.28,n/a,0,0,47.28,47.28,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $12.71 (21%)
03-12-2012,1,Amazon,711716,B0007YX27W,Travel Select Amsterdam Business Rolling Garment Bag,44.53,n/a,0,0,44.53,44.53,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $15.46 (26%)
03-12-2012,1,Amazon,10146077,B000BKCTYY,McKleinUSA LEXINGTON 83544 Brown Flapover Double Compartment Briefcase,109.78,n/a,0,0,109.78,109.78,"Clean line design features secure key lock on front flap Front compartment with space for files; complete with organizer for media devices, cell phone, business cards and pens Double compartment divided by secured zipper section for important documents Back compartment padded with high-density foam to provide laptop protection, including most 17 laptops Smart Zipper Attachment allows transport on extended handles of other rolling cases and luggage Non-slip, shock absorbing comfortable shoulder strap helps alleviating body strain",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $75.22 (41%)
