Unique_Pdt_Identifier_Mainpdt,Unique_Pdt_Identifier_Variant,Review_Creation_Date,week_nmb,,
B00004Z6UN,B00004Z6UN,05-06-2001,-599,B00004Z6UNB00004Z6UN-599,B00004Z6UNB00004Z6UN-599
B00005Q70B,B00005Q70B,31-05-2009,-182,B00005Q70BB00005Q70B-182,#N/A
B00005Q70B,B00005Q70B,21-02-2013,12,B00005Q70BB00005Q70B12,B00005Q70BB00005Q70B12
B00005Q70B,B00005Q70B,22-04-2013,21,B00005Q70BB00005Q70B21,B00005Q70BB00005Q70B21
B00005Q70B,B00005Q70B,17-01-2012,-45,B00005Q70BB00005Q70B-45,B00005Q70BB00005Q70B-45
B00024ENVG,B00024ENVG,30-08-2005,-378,B00024ENVGB00024ENVG-378,B00024ENVGB00024ENVG-378
B00024ENVG,B00024ENVG,28-08-2005,-378,B00024ENVGB00024ENVG-378,B00024ENVGB00024ENVG-378
B00024ENVG,B00024ENVG,24-08-2005,-379,B00024ENVGB00024ENVG-379,B00024ENVGB00024ENVG-379
B00024ENVG,B00024ENVG,23-08-2005,-379,B00024ENVGB00024ENVG-379,B00024ENVGB00024ENVG-379
B00024ENVG,B00024ENVG,20-08-2005,-379,B00024ENVGB00024ENVG-379,B00024ENVGB00024ENVG-379
B00024ENVG,B00024ENVG,16-08-2005,-380,B00024ENVGB00024ENVG-380,B00024ENVGB00024ENVG-380
B00024ENVG,B00024ENVG,15-08-2005,-380,B00024ENVGB00024ENVG-380,B00024ENVGB00024ENVG-380
B00024ENVG,B00024ENVG,02-08-2005,-382,B00024ENVGB00024ENVG-382,B00024ENVGB00024ENVG-382
B00024ENVG,B00024ENVG,15-07-2005,-384,B00024ENVGB00024ENVG-384,#N/A
B00024ENVG,B00024ENVG,24-01-2005,-409,B00024ENVGB00024ENVG-409,#N/A
B00024ENVG,B00024ENVG,08-12-2012,2,B00024ENVGB00024ENVG2,B00024ENVGB00024ENVG2
B00024ENVG,B00024ENVG,08-12-2012,2,B00024ENVGB00024ENVG2,B00024ENVGB00024ENVG2
B00024ENVG,B00024ENVG,07-12-2012,2,B00024ENVGB00024ENVG2,B00024ENVGB00024ENVG2
B00024ENVG,B00024ENVG,03-12-2012,1,B00024ENVGB00024ENVG1,B00024ENVGB00024ENVG1
B00024ENVG,B00024ENVG,03-12-2012,1,B00024ENVGB00024ENVG1,B00024ENVGB00024ENVG1
B00024ENVG,B00024ENVG,26-11-2012,0,B00024ENVGB00024ENVG0,#N/A
B00024ENVG,B00024ENVG,29-10-2012,-4,B00024ENVGB00024ENVG-4,#N/A
B00024ENVG,B00024ENVG,23-10-2012,-5,B00024ENVGB00024ENVG-5,B00024ENVGB00024ENVG-5
B00024ENVG,B00024ENVG,04-10-2012,-8,B00024ENVGB00024ENVG-8,B00024ENVGB00024ENVG-8
B00024ENVG,B00024ENVG,24-09-2012,-9,B00024ENVGB00024ENVG-9,#N/A
B00024ENVG,B00024ENVG,11-09-2012,-11,B00024ENVGB00024ENVG-11,B00024ENVGB00024ENVG-11
B00024ENVG,B00024ENVG,28-08-2012,-13,B00024ENVGB00024ENVG-13,B00024ENVGB00024ENVG-13
B00024ENVG,B00024ENVG,15-08-2012,-15,B00024ENVGB00024ENVG-15,B00024ENVGB00024ENVG-15
B00024ENVG,B00024ENVG,11-08-2012,-15,B00024ENVGB00024ENVG-15,B00024ENVGB00024ENVG-15
B00024ENVG,B00024ENVG,10-08-2012,-15,B00024ENVGB00024ENVG-15,B00024ENVGB00024ENVG-15
B00024ENVG,B00024ENVG,05-08-2012,-16,B00024ENVGB00024ENVG-16,B00024ENVGB00024ENVG-16
B00024ENVG,B00024ENVG,04-08-2012,-16,B00024ENVGB00024ENVG-16,B00024ENVGB00024ENVG-16
B00024ENVG,B00024ENVG,15-07-2012,-19,B00024ENVGB00024ENVG-19,#N/A
B00024ENVG,B00024ENVG,17-06-2012,-23,B00024ENVGB00024ENVG-23,#N/A
B00024ENVG,B00024ENVG,13-06-2012,-24,B00024ENVGB00024ENVG-24,B00024ENVGB00024ENVG-24
B00024ENVG,B00024ENVG,04-06-2012,-25,B00024ENVGB00024ENVG-25,#N/A
B00024ENVG,B00024ENVG,01-06-2012,-25,B00024ENVGB00024ENVG-25,#N/A
B00024ENVG,B00024ENVG,23-05-2012,-27,B00024ENVGB00024ENVG-27,B00024ENVGB00024ENVG-27
B00024ENVG,B00024ENVG,17-05-2012,-28,B00024ENVGB00024ENVG-28,B00024ENVGB00024ENVG-28
B00024ENVG,B00024ENVG,29-04-2012,-30,B00024ENVGB00024ENVG-30,#N/A
B00024ENVG,B00024ENVG,24-04-2012,-31,B00024ENVGB00024ENVG-31,B00024ENVGB00024ENVG-31
B00024ENVG,B00024ENVG,03-04-2012,-34,B00024ENVGB00024ENVG-34,B00024ENVGB00024ENVG-34
B00024ENVG,B00024ENVG,22-03-2012,-36,B00024ENVGB00024ENVG-36,B00024ENVGB00024ENVG-36
B00024ENVG,B00024ENVG,16-03-2012,-36,B00024ENVGB00024ENVG-36,B00024ENVGB00024ENVG-36
B00024ENVG,B00024ENVG,15-03-2012,-37,B00024ENVGB00024ENVG-37,B00024ENVGB00024ENVG-37
B00024ENVG,B00024ENVG,06-03-2012,-38,B00024ENVGB00024ENVG-38,B00024ENVGB00024ENVG-38
B00024ENVG,B00024ENVG,26-02-2012,-39,B00024ENVGB00024ENVG-39,#N/A
B00024ENVG,B00024ENVG,23-02-2012,-40,B00024ENVGB00024ENVG-40,B00024ENVGB00024ENVG-40
B00024ENVG,B00024ENVG,20-01-2012,-44,B00024ENVGB00024ENVG-44,#N/A
B00024ENVG,B00024ENVG,15-01-2012,-45,B00024ENVGB00024ENVG-45,B00024ENVGB00024ENVG-45
B00024ENVG,B00024ENVG,03-01-2012,-47,B00024ENVGB00024ENVG-47,B00024ENVGB00024ENVG-47
B00024ENVG,B00024ENVG,30-12-2011,-47,B00024ENVGB00024ENVG-47,B00024ENVGB00024ENVG-47
B00024ENVG,B00024ENVG,29-12-2011,-48,B00024ENVGB00024ENVG-48,B00024ENVGB00024ENVG-48
B00024ENVG,B00024ENVG,18-12-2011,-49,B00024ENVGB00024ENVG-49,#N/A
B00024ENVG,B00024ENVG,11-12-2011,-50,B00024ENVGB00024ENVG-50,B00024ENVGB00024ENVG-50
