Extraction_Date,Extraction_date_number,Retailer,Brand,Product_Name,Unique_Pdt_Identifier_MainPdt,Product_ID,Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price,avg_Walmart_Regular_price,min_Walmart_Regular_price,max_Walmart_Regular_price,Avg_Walmart_disc_perc,min_Walmart_disc_perc,max_Walmart_disc_perc,Avg_Walmart_final_price,min_Walmart_final_price,max_Walmart_final_price,avg_Walmart_shipping_price,min_Walmart_shipping_price,max_Walmart_shipping_price,Avg_Target_Regular_price,min_Target_Regular_price,max_Target_Regular_price,Avg_Target_disc_perc,min_Target_disc_perc,max_Target_disc_perc,Avg_Target_final_price,min_Target_final_price,max_Target_final_price,avg_Target_shipping_price,min_Target_shipping_price,max_Target_shipping_price,Avg_Babiesrus_Regular_price,min_Babiesrus_Regular_price,max_Babiesrus_Regular_price,Avg_Babiesrus_disc_perc,min_Babiesrus_disc_perc,max_Babiesrus_disc_perc,Avg_Babiesrus_final_price,min_Babiesrus_final_price,max_Babiesrus_final_price,avg_Babiesrus_shipping_price,min_Babiesrus_shipping_price,max_Babiesrus_shipping_price,Reviews_Count,Total_Average_Ratings,Number_of_images,Not_User_Generated_images,User_Generated_images,Avg_helpful_votes,Actual_avg_score,Avg_sentiment_score,Total_sentiment_score,Avg_Positive_sentiment_score,Total_Positive_sentiment_score,Avg_negative_sentiment_score,Total_negative_sentiment_score,Avg_Weighted_score,Total_weighted_score,Special_Offers_Product_Promotion,additional_information,promo_message,price_promo,Total_sub,pdt_desc_length,Product_Description_Main_Copy,Availability,Page_Title,Pdt_Spec_Attribution_NameValues,Product_Dimensions,Shipping_weight,BuyBoxWinner,Seller_Count_New_item,Seller_Count_Used_item,Seller_Count_Refurbished_item,Saving_Dollar,Availability_flag,promo_flag1,Return_flag
5/9/2013,1,Amazon,DaVinci,DaVinci Alpha Mini Rocking Crib,B000FT7NUG,B000FT7NU6,20678,165,20.62,12,144.38,165,165,165,0.12,0.12,0.12,144.38,144.38,144.38,0,0,0,157.18,157.18,157.18,0,0,0,157.18,157.18,157.18,0,0,0,159.97,159.97,159.97,0,0,0,159.97,159.97,159.97,0,0,0,129,129,129,0,0,0,129,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4.5,33,3,30,4.416666667,0.860788863,4.416666667,371,4.571428571,384,-0.154761905,-13,3.801817479,319.3526682,Color: Natural Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),Free Super Saving Shipping & Free Returns,n/a,n/a,9,1109,"Natural From the Manufacturer A is for Alpha. B is for Baby. C is for Crib. Let baby sleep in perfect peacewith this cute crib from the Alpha Collection. We reengineered the rocking mini crib. It's a fusion of classic style and MDB safety. It's everything baby wants. And it's small enough to give you space for other things! It's Alpha for Baby. Product Description Short on nursery space? Be big in style and function with DaVinci's Alpha Mini Rocking Crib. With the wheels off, gently rock baby to bed right in the crib with Alpha Mini Crib's comforting rocking feature. Rocking stops easily let you choose to keep the crib at a sturdy standstill. With the wheels on, Moms and Dads can easily move Alpha around the home to keep baby nearby. With its space-saving size, Alpha Mini Rocking Crib comfortable fits through standard doorways. With baby's safety in mind, Alpha is solidly built with a sturdy structure and strong slats. Four adjustable mattress levels allow you to set the mattress just right for your growing baby's height. Alpha Mini Rocking Crib is available in four lovely non-toxic finishes.",Yes,Amazon.com: DaVinci Alpha Mini Rocking Crib - Natural: Baby,"Color: Natural Technical Details Item Weight25.5 pounds Product Dimensions38.8 x 26 x 35.2 inches####UPC048517000427 Item model numberM0598N####Minimum weight recommendation5 Pounds####Maximum weight recommendation50 Pounds####Material TypeWood####Additional product featuresSustainable materials, Rocking####Number of items1####StyleWheels####FinishNatural####Hardware visibleVisible####Wheel typeLockable & removable####",n/a,n/a,Amazon.com.,n/a,n/a,n/a,0,1,1,1
5/9/2013,1,Amazon,DaVinci,DaVinci Alpha Mini Rocking Crib,B000FT7NUG,B000FT7NUG,13742,165,24.82,15,140.18,165,165,165,0.15,0.15,0.15,140.18,140.18,140.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.18,140.18,140.18,0,0,0,140.18,140.18,140.18,0,0,0,129,129,129,0,0,0,129,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4.5,33,3,30,4.416666667,0.860788863,4.416666667,371,4.571428571,384,-0.154761905,-13,3.801817479,319.3526682,Color: White Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),Free Super Saving Shipping & Free Returns,n/a,You Save: $24.82 (15%),9,1107,"White From the Manufacturer A is for Alpha. B is for Baby. C is for Crib. Let baby sleep in perfect peacewith this cute crib from the Alpha Collection. We reengineered the rocking mini crib. It's a fusion of classic style and MDB safety. It's everything baby wants. And it's small enough to give you space for other things! It's Alpha for Baby. Product Description Short on nursery space? Be big in style and function with DaVinci's Alpha Mini Rocking Crib. With the wheels off, gently rock baby to bed right in the crib with Alpha Mini Crib's comforting rocking feature. Rocking stops easily let you choose to keep the crib at a sturdy standstill. With the wheels on, Moms and Dads can easily move Alpha around the home to keep baby nearby. With its space-saving size, Alpha Mini Rocking Crib comfortable fits through standard doorways. With baby's safety in mind, Alpha is solidly built with a sturdy structure and strong slats. Four adjustable mattress levels allow you to set the mattress just right for your growing baby's height. Alpha Mini Rocking Crib is available in four lovely non-toxic finishes.",Yes,Amazon.com: DaVinci Alpha Mini Rocking Crib - White: Baby,"Color: White Technical Details Item Weight25.5 pounds Product Dimensions38.8 x 26 x 35.2 inches####UPC048517000441 Item model numberM0598W####Minimum weight recommendation5 Pounds####Maximum weight recommendation50 Pounds####Material TypeWood####Additional product featuresSustainable materials, Rocking####Number of items1####StyleRocking####FinishPainted####Hardware visibleVisible####Wheel typeLockable & removable####",n/a,n/a,Amazon.com.,n/a,n/a,n/a,24.8,1,1,1
5/9/2013,1,Amazon,DaVinci,DaVinci Emily 4 in 1 Crib including Toddler Rail,B000FT7NYC,B000FT7NXS,9620,209,10,5,199,209,209,209,0.05,0.05,0.05,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,209,209,0,0,0,209,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,4.4,151,46,105,2.216138329,0.843201754,3.752161383,1302,3.88184438,1347,-0.129682997,-45,3.163829061,1097.848684,Color: Cherry Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),Free Super Saving Shipping & Free Returns,n/a,n/a,24,2239,"Cherry Amazon.com The DaVinci Emily Convertible Crib is an elegant addition to any child's room. The DaVinci Emily crib can be converted into a daybed, a toddler bed with guardrail, and a full-size bed. This versatility combines with sophisticated style to make the Emily Crib an investment that grows with your little one.. The DaVinci Emily Convertible Crib: Converts to daybed and toddler bed with guard rail. Meets or exceeds all U.S. safety standards. Can be converted to full sized bed with separate kit. . Designed with Growing Children in Mind The Emily Crib easily converts to a daybed and a toddler bed that includes a guard rail. The full size headboard and footboard can be used later with a separate rail kit to convert this stylish piece of furniture into a full sized bed, perfect for older youths. And made from real pine with a handsome cherry wood design, this crib will nicely complement the decor in baby's room. A four-level mattress spring system adjusts to provide excellent support during all stages of your child's growth. This dimensions of this crib are 54.5x34x42-inches (WxDxH), and it is recommended for use with the . Designed with Safety in Mind The safety of this full sized crib is certified by the Juvenile Products Manufacturer's Association (JPMA). Because it includes no moving parts, the Emily convertible crib meets or exceeds all U.S. safety standards. Also available in: Ebony White Oak Natural What's in the Box Crib with 4-level mattress support, day bed conversion guard rail, full size headboard and footboard (full-size rail kit sold separately). Product Description DaVinci's Emily Crib offers your family the beautiful convenience of a lifetime crib. The Emily 4-in-1 Crib features four adjustable mattress positions that allow you to change the height as your child grows. Emily easily converts to a toddler bed (rail included), daybed, and full-size bed (conversion kit available separately), and comes in six rich finishes to match your nursery. Safety being key, the Emily Crib is made of solid New Zealand pine wood and finished with non-toxic paint that is lead and phthalate safe. Transitioning through the years has never been easier than with Emily. Sweet serenity and safe dreams.",Yes,Amazon.com: DaVinci Emily Convertible Baby Crib in Cherry: Baby,Color: Cherry Technical Details Item Weight50.5 pounds Product Dimensions54.6 x 34.5 x 41.9 inches####UPC048517479117 Item model numberM4791C####Maximum weight recommendation50 Pounds####Material TypeWood####Additional product featuresSustainable materials####Number of items1####Style-1####Number of reclining positions4####FinishCherry####Hardware visibleVisible####,n/a,n/a,Amazon.com.,n/a,n/a,n/a,0,1,1,1
5/9/2013,1,Amazon,DaVinci,DaVinci Emily 4 in 1 Crib including Toddler Rail,B000FT7NYC,B000FT7NYC,17463,279,79.01,28,199.99,279,279,279,0.28,0.28,0.28,199.99,199.99,199.99,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,209,209,209,0,0,0,209,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,4.4,151,46,105,2.216138329,0.843201754,3.752161383,1302,3.88184438,1347,-0.129682997,-45,3.163829061,1097.848684,Color: Honey Oak Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),Free Super Saving Shipping & Free Returns,n/a,n/a,24,2236,"Honey Oak Amazon.com The DaVinci Emily Convertible Crib is an elegant addition to any child's room. The DaVinci Emily crib can be converted into a daybed, a toddler bed with guardrail, and a full-size bed. This versatility combines with sophisticated style to make the Emily Crib an investment that grows with your little one. The DaVinci Emily Convertible Crib: Converts to daybed and toddler bed with guard rail. Meets or exceeds all U.S. safety standards. Can be converted to full sized bed with separate kit. . Designed with Growing Children in Mind The Emily Crib easily converts to a daybed and a toddler bed that includes a guard rail. The full size headboard and footboard can be used later with a separate rail kit to convert this stylish piece of furniture into a full sized bed, perfect for older youths. And made from real pine with an elegant oak design, this crib will nicely complement the decor in baby's room. A four-level mattress spring system adjusts to provide excellent support during all stages of your child's growth. This dimensions of this crib are 54.5x34x42-inches (WxDxH), and it is recommended for use with the . Designed with Safety in Mind The safety of this full sized crib is certified by the Juvenile Products Manufacturer's Association (JPMA). Because it includes no moving parts, the Emily convertible crib meets or exceeds all U.S. safety standards. Also available in: Cherry Ebony White Natural What's in the Box Crib with 4-level mattress support, day bed conversion guard rail, full size headboard and footboard (full-size rail kit sold separately). Product Description DaVinci's Emily Crib offers your family the beautiful convenience of a lifetime crib. The Emily 4-in-1 Crib features four adjustable mattress positions that allow you to change the height as your child grows. Emily easily converts to a toddler bed (rail included), daybed, and full-size bed (conversion kit available separately), and comes in six rich finishes to match your nursery. Safety being key, the Emily Crib is made of solid New Zealand pine wood and finished with non-toxic paint that is lead and phthalate safe. Transitioning through the years has never been easier than with Emily. Sweet serenity and safe dreams.",Yes,"Amazon.com: DaVinci Emily 4-in-1 Convertible Crib, Honey Oak: Baby",Color: Honey Oak Technical Details Item Weight50.5 pounds Product Dimensions54.6 x 34.5 x 41.9 inches####OriginImported (Taiwan)####UPC048517479131 Item model numberM4791O####Maximum weight recommendation50 Pounds####Material TypeWood####Additional product featuresSustainable materials####Number of items1####StyleConvertible####Number of reclining positions4####FinishOak####,n/a,n/a,Amazon.com.,n/a,n/a,n/a,0,1,1,1
5/10/2013,1,Amazon,DaVinci,DaVinci Mini Emily Crib,B000FT9J44,B000FT7NYM,14366,149,7.37,5,141.63,149,149,149,0.05,0.05,0.05,141.63,141.63,141.63,4.99,4.99,4.99,189.78,189.78,189.78,0,0,0,189.78,189.78,189.78,0,0,0,158.95,158.95,158.95,0,0,0,158.95,158.95,158.95,0,0,0,149.09,149.09,149.09,0,0,0,149.09,149.09,149.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4.7,20,10,10,3.465753425,0.851851852,4.616438356,337,4.726027397,345,-0.109589041,-8,3.932521563,287.0740741,Color: White Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),n/a,n/a,n/a,9,734,"White From the Manufacturer This crib gives baby years of sweet serenity in a smaller package. In one simple conversion, this mini crib becomes a twin bed for when baby's all grown up. That's endearing. That's Emily. Product Description The Emily Mini Crib is the perfect space-saving alternative to a full-size crib. With the same traditional charm and rich finishes, the Emily Mini Crib is baby's first nursery in a neat little package. Emily easily becomes a twin bed (rails available separately) in one simple conversion. Crafted from sturdy New Zealand pine wood, the Emily Mini Crib provides a solid haven for baby's dreams for years. Emily is lead and phthalate safe and available in a range of six classic, non-toxic finishes.",No,Amazon.com: DaVinci Emily Mini Crib - White: Baby,Color: White Technical Details Item Weight34.5 pounds Product Dimensions39.5 x 28 x 37.9 inches####UPC048517001820 Item model numberM4798W####Minimum weight recommendation5 Pounds####Maximum weight recommendation50 Pounds####Material TypeWood####Number of items1####FinishPainted####,n/a,n/a,Amazon.com.,n/a,n/a,n/a,0,0,0,1
5/9/2013,1,Amazon,DaVinci,DaVinci Alpha Mini Rocking Crib,B000FT7NUG,B000FT9IZY,17661,165,43.64,26,121.36,165,165,165,0.26,0.26,0.26,121.36,121.36,121.36,0,0,0,121.36,121.36,121.36,0,0,0,121.36,121.36,121.36,0,0,0,119,119,119,0,0,0,119,119,119,0,0,0,129,129,129,0,0,0,129,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4.5,33,3,30,4.416666667,0.860788863,4.416666667,371,4.571428571,384,-0.154761905,-13,3.801817479,319.3526682,Color: Cherry Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),Free Super Saving Shipping & Free Returns,n/a,n/a,9,1108,"Cherry From the Manufacturer A is for Alpha. B is for Baby. C is for Crib. Let baby sleep in perfect peacewith this cute crib from the Alpha Collection. We reengineered the rocking mini crib. It's a fusion of classic style and MDB safety. It's everything baby wants. And it's small enough to give you space for other things! It's Alpha for Baby. Product Description Short on nursery space? Be big in style and function with DaVinci's Alpha Mini Rocking Crib. With the wheels off, gently rock baby to bed right in the crib with Alpha Mini Crib's comforting rocking feature. Rocking stops easily let you choose to keep the crib at a sturdy standstill. With the wheels on, Moms and Dads can easily move Alpha around the home to keep baby nearby. With its space-saving size, Alpha Mini Rocking Crib comfortable fits through standard doorways. With baby's safety in mind, Alpha is solidly built with a sturdy structure and strong slats. Four adjustable mattress levels allow you to set the mattress just right for your growing baby's height. Alpha Mini Rocking Crib is available in four lovely non-toxic finishes.",Yes,Amazon.com: DaVinci Alpha Mini Rocking Crib - Cherry: Baby,"Color: Cherry Technical Details Item Weight25.5 pounds Product Dimensions38.8 x 26 x 35.2 inches####UPC048517000410 Item model numberM0598C####Minimum weight recommendation5 Pounds####Maximum weight recommendation50 Pounds####Material TypeWood####Additional product featuresSustainable materials, Rocking####Number of items1####StyleWheels####FinishCherry####Hardware visibleVisible####Wheel typeLockable & removable####",n/a,n/a,Amazon.com.,n/a,n/a,n/a,0,1,1,1
5/9/2013,1,Amazon,DaVinci,DaVinci Emily 4 in 1 Crib including Toddler Rail,B000FT7NYC,B000FT9J3A,9328,209,30.51,15,178.49,209,209,209,0.15,0.15,0.15,178.49,178.49,178.49,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,178.49,178.49,178.49,0,0,0,178.49,178.49,178.49,0,0,0,209,209,209,0,0,0,209,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,4.4,151,46,105,2.216138329,0.843201754,3.752161383,1302,3.88184438,1347,-0.129682997,-45,3.163829061,1097.848684,Color: Natural Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),Free Super Saving Shipping & Free Returns,n/a,n/a,24,2234,"Natural Amazon.com The DaVinci Emily Convertible Crib is an elegant addition to any child's room. The DaVinci Emily crib can be converted into a daybed, a toddler bed with guardrail, and a full-size bed. This versatility combines with sophisticated style to make the Emily Crib an investment that grows with your little one. The DaVinci Emily Convertible Crib: Converts to daybed and toddler bed with guard rail. Meets or exceeds all U.S. safety standards. Can be converted to full sized bed with separate kit. . Designed with Growing Children in Mind The Emily Crib easily converts to a daybed and a toddler bed that includes a guard rail. The full size headboard and footboard can be used later with a separate rail kit to convert this stylish piece of furniture into a full sized bed, perfect for older youths. And made from real pine with an elegant natural design, this crib will nicely complement the decor in baby's room. A four-level mattress spring system adjusts to provide excellent support during all stages of your child's growth. This dimensions of this crib are 54.5x34x42-inches (WxDxH), and it is recommended for use with the . Designed with Safety in Mind The safety of this full sized crib is certified by the Juvenile Products Manufacturer's Association (JPMA). Because it includes no moving parts, the Emily convertible crib meets or exceeds all U.S. safety standards. Also available in: Cherry Ebony White Oak What's in the Box Crib with 4-level mattress support, day bed conversion guard rail, full size headboard and footboard (full-size rail kit sold separately). Product Description DaVinci's Emily Crib offers your family the beautiful convenience of a lifetime crib. The Emily 4-in-1 Crib features four adjustable mattress positions that allow you to change the height as your child grows. Emily easily converts to a toddler bed (rail included), daybed, and full-size bed (conversion kit available separately), and comes in six rich finishes to match your nursery. Safety being key, the Emily Crib is made of solid New Zealand pine wood and finished with non-toxic paint that is lead and phthalate safe. Transitioning through the years has never been easier than with Emily. Sweet serenity and safe dreams.",Yes,"Amazon.com: DaVinci Emily 4 in 1 Convertable Crib with Toddler Rail, Natural: Baby",Color: Natural Technical Details Item Weight50.5 pounds Product Dimensions54.6 x 34.5 x 41.9 inches####UPC048517479124 Item model numberM4791N####Maximum weight recommendation50 Pounds####Material TypeWood####Additional product featuresSustainable materials####Number of items1####StyleSlat####FinishNatural####Hardware visibleVisible####,n/a,n/a,Amazon.com.,n/a,n/a,n/a,0,1,1,1
5/9/2013,1,Amazon,DaVinci,DaVinci Emily 4 in 1 Crib including Toddler Rail,B000FT7NYC,B000FT9J3K,7053,209,10,5,199,209,209,209,0.05,0.05,0.05,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,209,209,209,0,0,0,209,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,4.4,151,46,105,2.216138329,0.843201754,3.752161383,1302,3.88184438,1347,-0.129682997,-45,3.163829061,1097.848684,Color: White Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),Free Super Saving Shipping & Free Returns,n/a,n/a,24,2221,"White Amazon.com The DaVinci Emily Convertible Crib is an elegant addition to any child's room. The DaVinci Emily crib can be converted into a daybed, a toddler bed with guardrail, and a full-size bed. This versatility combines with sophisticated style to make the Emily Crib an investment that grows with your little one. The DaVinci Emily Convertible Crib: Converts to daybed and toddler bed with guard rail. Meets or exceeds all U.S. safety standards. Can be converted to full sized bed with separate kit. . Designed with Growing Children in Mind The Emily Crib easily converts to a daybed and a toddler bed that includes a guard rail. The full size headboard and footboard can be used later with a separate rail kit to convert this stylish piece of furniture into a full sized bed, perfect for older youths. And made from real pine with an elegant white-colored design, this crib will nicely complement the decor in baby's room. A four-level mattress spring system adjusts to provide excellent support during all stages of your child's growth. This dimensions of this crib are 54.5x34x42-inches (WxDxH), and it is recommended for use with the . Designed with Safety in Mind The safety of this full sized crib is certified by the Juvenile Products Manufacturer's Association (JPMA). Because it includes no moving parts, the Emily convertible crib meets or exceeds all U.S. safety standards. Cherry Ebony Oak Natural What's in the Box Crib with 4-level mattress support, day bed conversion guard rail, full size headboard and footboard (full-size rail kit sold separately). Product Description DaVinci's Emily Crib offers your family the beautiful convenience of a lifetime crib. The Emily 4-in-1 Crib features four adjustable mattress positions that allow you to change the height as your child grows. Emily easily converts to a toddler bed (rail included), daybed, and full-size bed (conversion kit available separately), and comes in six rich finishes to match your nursery. Safety being key, the Emily Crib is made of solid New Zealand pine wood and finished with non-toxic paint that is lead and phthalate safe. Transitioning through the years has never been easier than with Emily. Sweet serenity and safe dreams.",Yes,"Amazon.com: DaVinci Emily 4 in 1 Convertable Crib with Toddler Rail, White: Baby",Color: White Technical Details Item Weight61.4 pounds Product Dimensions54.6 x 34.5 x 41.9 inches####UPC048517479148 Item model numberM4791W####Maximum weight recommendation50 Pounds####Material TypeWood####Additional product featuresSustainable materials####Number of items1####Style-1####Number of reclining positions4####FinishPainted####Hardware visibleVisible####,n/a,n/a,Amazon.com.,n/a,n/a,n/a,0,1,1,1
5/10/2013,1,Amazon,DaVinci,DaVinci Mini Emily Crib,B000FT9J44,B000FT9J3U,13846,149,25.01,17,123.99,149,149,149,0.17,0.17,0.17,123.99,123.99,123.99,0,0,0,158.95,158.95,158.95,0,0,0,158.95,158.95,158.95,0,0,0,158.95,158.95,158.95,0,0,0,158.95,158.95,158.95,0,0,0,123.99,123.99,123.99,0,0,0,123.99,123.99,123.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4.7,20,10,10,3.465753425,0.851851852,4.616438356,337,4.726027397,345,-0.109589041,-8,3.932521563,287.0740741,Color: Ebony Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),Free Super Saving Shipping & Free Returns,n/a,n/a,9,734,"Ebony From the Manufacturer This crib gives baby years of sweet serenity in a smaller package. In one simple conversion, this mini crib becomes a twin bed for when baby's all grown up. That's endearing. That's Emily. Product Description The Emily Mini Crib is the perfect space-saving alternative to a full-size crib. With the same traditional charm and rich finishes, the Emily Mini Crib is baby's first nursery in a neat little package. Emily easily becomes a twin bed (rails available separately) in one simple conversion. Crafted from sturdy New Zealand pine wood, the Emily Mini Crib provides a solid haven for baby's dreams for years. Emily is lead and phthalate safe and available in a range of six classic, non-toxic finishes.",Yes,Amazon.com: DaVinci Emily Mini Crib - Ebony: Baby,"Color: Ebony Technical Details Item Weight34.5 pounds Product Dimensions39.5 x 28 x 37.9 inches####UPC048517001790 Item model numberM4798E####Minimum weight recommendation5 Pounds####Maximum weight recommendation50 Pounds####Material TypeWood,####Number of items1####StyleConvertible####FinishEbony####",n/a,n/a,Amazon.com.,n/a,n/a,n/a,0,1,1,1
5/9/2013,1,Amazon,DaVinci,DaVinci Mini Emily Crib,B000FT9J44,B000FT9J44,10295,149,25.01,17,123.99,149,149,149,0.17,0.17,0.17,123.99,123.99,123.99,0,0,0,159,159,159,0,0,0,159,159,159,0,0,0,158.95,158.95,158.95,0,0,0,158.95,158.95,158.95,0,0,0,123.99,123.99,123.99,0,0,0,123.99,123.99,123.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4.7,20,10,10,3.465753425,0.851851852,4.616438356,337,4.726027397,345,-0.109589041,-8,3.932521563,287.0740741,Color: Honey Oak Eligible for Free 90-Day Returns on Baby items fulfilled by Amazon.com in the Amazon Baby Store. Here's how (restrictions apply),Free Super Saving Shipping & Free Returns,n/a,n/a,9,738,"Honey Oak From the Manufacturer This crib gives baby years of sweet serenity in a smaller package. In one simple conversion, this mini crib becomes a twin bed for when baby's all grown up. That's endearing. That's Emily. Product Description The Emily Mini Crib is the perfect space-saving alternative to a full-size crib. With the same traditional charm and rich finishes, the Emily Mini Crib is baby's first nursery in a neat little package. Emily easily becomes a twin bed (rails available separately) in one simple conversion. Crafted from sturdy New Zealand pine wood, the Emily Mini Crib provides a solid haven for baby's dreams for years. Emily is lead and phthalate safe and available in a range of six classic, non-toxic finishes.",Yes,Amazon.com: DaVinci Emily Mini Crib - Honey Oak: Baby,"Color: Honey Oak Technical Details Item Weight34.5 pounds Product Dimensions39.5 x 28 x 37.9 inches####UPC048517001813 Item model numberM4798O####Minimum weight recommendation5 Pounds####Maximum weight recommendation50 Pounds####Material TypeWood,####Number of items1####FinishOak####",n/a,n/a,Amazon.com.,n/a,n/a,n/a,0,1,1,1
