Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price
20678,165,20.62,12,144.38,165,165,165,0.12,0.12,0.12,144.38,144.38,144.38,0,0,0,157.18,157.18,157.18,0,0,0,157.18,157.18,157.18,0,0,0
13742,165,24.82,15,140.18,165,165,165,0.15,0.15,0.15,140.18,140.18,140.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9620,209,10,5,199,209,209,209,0.05,0.05,0.05,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
17463,279,79.01,28,199.99,279,279,279,0.28,0.28,0.28,199.99,199.99,199.99,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
14366,149,7.37,5,141.63,149,149,149,0.05,0.05,0.05,141.63,141.63,141.63,4.99,4.99,4.99,189.78,189.78,189.78,0,0,0,189.78,189.78,189.78,0,0,0
17661,165,43.64,26,121.36,165,165,165,0.26,0.26,0.26,121.36,121.36,121.36,0,0,0,121.36,121.36,121.36,0,0,0,121.36,121.36,121.36,0,0,0
9328,209,30.51,15,178.49,209,209,209,0.15,0.15,0.15,178.49,178.49,178.49,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
7053,209,10,5,199,209,209,209,0.05,0.05,0.05,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
13846,149,25.01,17,123.99,149,149,149,0.17,0.17,0.17,123.99,123.99,123.99,0,0,0,158.95,158.95,158.95,0,0,0,158.95,158.95,158.95,0,0,0
10295,149,25.01,17,123.99,149,149,149,0.17,0.17,0.17,123.99,123.99,123.99,0,0,0,159,159,159,0,0,0,159,159,159,0,0,0
17234,209,30.51,15,178.49,209,209,209,0.15,0.15,0.15,178.49,178.49,178.49,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
35850,149,0,0,149,149,149,149,0,0,0,149,149,149,4.99,4.99,4.99,159,159,159,0,0,0,159,159,159,0,0,0
8062,149,25.01,17,123.99,149,149,149,0.17,0.17,0.17,123.99,123.99,123.99,0,0,0,151.99,151.99,151.99,0,0,0,151.99,151.99,151.99,0,0,0
15152,199,55.35,28,143.65,199,199,199,0.28,0.28,0.28,143.65,143.65,143.65,0,0,0,158.86,158.86,158.86,0,0,0,158.86,158.86,158.86,0,0,0
28489,199,0,0,199,199,199,199,0,0,0,199,199,199,4.99,4.99,4.99,0,0,0,0,0,0,0,0,0,0,0,0
3388,209,9.01,4,199.99,209,209,209,0.04,0.04,0.04,199.99,199.99,199.99,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0
14203,295,50.12,17,244.88,295,295,295,0.17,0.17,0.17,244.88,244.88,244.88,0,0,0,308.75,308.75,308.75,0,0,0,308.75,308.75,308.75,38.99,38.99,38.99
5697,249.99,5.11,2,244.88,249.99,249.99,249.99,0.02,0.02,0.02,244.88,244.88,244.88,0,0,0,247.57,247.57,247.57,0,0,0,247.57,247.57,247.57,0,0,0
795,219.99,33,15,186.99,219.99,219.99,219.99,0.15,0.15,0.15,186.99,186.99,186.99,0,0,0,208.52,208.52,208.52,0,0,0,208.52,208.52,208.52,0,0,0
11118,219.99,20,9,199.99,219.99,219.99,219.99,0.09,0.09,0.09,199.99,199.99,199.99,0,0,0,199.98,199.98,199.98,0,0,0,199.98,199.98,199.98,0,0,0
16433,219.99,16.02,7,203.97,219.99,219.99,219.99,0.07,0.07,0.07,203.97,203.97,203.97,0,0,0,199.99,199.99,199.99,0,0,0,199.99,199.99,199.99,0,0,0
4790,219.99,33,15,186.99,219.99,219.99,219.99,0.15,0.15,0.15,186.99,186.99,186.99,0,0,0,199.96,199.96,199.96,0,0,0,199.96,199.96,199.96,0,0,0
4587,219.99,33,15,186.99,219.99,219.99,219.99,0.15,0.15,0.15,186.99,186.99,186.99,0,0,0,186.99,186.99,186.99,0,0,0,186.99,186.99,186.99,0,0,0
5154,119.99,6.95,6,113.04,119.99,119.99,119.99,0.06,0.06,0.06,113.04,113.04,113.04,0,0,0,174.71,174.71,174.71,0,0,0,174.71,174.71,174.71,32.2,32.2,32.2
22470,529,0,0,529,529,529,529,0,0,0,529,529,529,4.99,4.99,4.99,669,669,669,0,0,0,669,669,669,0,0,0
6843,199,21.35,11,177.65,199,199,199,0.11,0.11,0.11,177.65,177.65,177.65,0,0,0,192.56,192.56,192.56,0,0,0,192.56,192.56,192.56,0,0,0
14645,199,0,0,199,199,199,199,0,0,0,199,199,199,4.99,4.99,4.99,212.7,212.7,212.7,0,0,0,212.7,212.7,212.7,0,0,0
1260,199,24.76,12,174.24,199,199,199,0.12,0.12,0.12,174.24,174.24,174.24,0,0,0,198.96,198.96,198.96,0,0,0,198.96,198.96,198.96,0,0,0
10686,175,22.03,13,152.97,175,175,175,0.13,0.13,0.13,152.97,152.97,152.97,0,0,0,145,145,145,0,0,0,145,145,145,4.99,4.99,4.99
