Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price,Reviews_Count,Total_Average_Ratings,Number_of_images,Not_User_Generated_images,User_Generated_images,Avg_helpful_votes,Actual_avg_score,Avg_sentiment_score,Total_sentiment_score,Avg_Positive_sentiment_score,Total_Positive_sentiment_score,Avg_negative_sentiment_score,Total_negative_sentiment_score,Avg_Weighted_score,Total_weighted_score,Total_sub,pdt_desc_length,Saving_Dollar
20678,165,20.62,12,144.38,165,165,165,0.12,0.12,0.12,144.38,144.38,144.38,0,0,0,157.18,157.18,157.18,0,0,0,157.18,157.18,157.18,0,0,0,85,4.5,33,3,30,4.416666667,0.860788863,4.416666667,371,4.571428571,384,-0.154761905,-13,3.801817479,319.3526682,9,1109,0
13742,165,24.82,15,140.18,165,165,165,0.15,0.15,0.15,140.18,140.18,140.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,4.5,33,3,30,4.416666667,0.860788863,4.416666667,371,4.571428571,384,-0.154761905,-13,3.801817479,319.3526682,9,1107,24.8
9620,209,10,5,199,209,209,209,0.05,0.05,0.05,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,347,4.4,151,46,105,2.216138329,0.843201754,3.752161383,1302,3.88184438,1347,-0.129682997,-45,3.163829061,1097.848684,24,2239,0
17463,279,79.01,28,199.99,279,279,279,0.28,0.28,0.28,199.99,199.99,199.99,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,347,4.4,151,46,105,2.216138329,0.843201754,3.752161383,1302,3.88184438,1347,-0.129682997,-45,3.163829061,1097.848684,24,2236,0
14366,149,7.37,5,141.63,149,149,149,0.05,0.05,0.05,141.63,141.63,141.63,4.99,4.99,4.99,189.78,189.78,189.78,0,0,0,189.78,189.78,189.78,0,0,0,73,4.7,20,10,10,3.465753425,0.851851852,4.616438356,337,4.726027397,345,-0.109589041,-8,3.932521563,287.0740741,9,734,0
17661,165,43.64,26,121.36,165,165,165,0.26,0.26,0.26,121.36,121.36,121.36,0,0,0,121.36,121.36,121.36,0,0,0,121.36,121.36,121.36,0,0,0,85,4.5,33,3,30,4.416666667,0.860788863,4.416666667,371,4.571428571,384,-0.154761905,-13,3.801817479,319.3526682,9,1108,0
9328,209,30.51,15,178.49,209,209,209,0.15,0.15,0.15,178.49,178.49,178.49,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,347,4.4,151,46,105,2.216138329,0.843201754,3.752161383,1302,3.88184438,1347,-0.129682997,-45,3.163829061,1097.848684,24,2234,0
7053,209,10,5,199,209,209,209,0.05,0.05,0.05,199,199,199,0,0,0,199,199,199,0,0,0,199,199,199,0,0,0,347,4.4,151,46,105,2.216138329,0.843201754,3.752161383,1302,3.88184438,1347,-0.129682997,-45,3.163829061,1097.848684,24,2221,0
13846,149,25.01,17,123.99,149,149,149,0.17,0.17,0.17,123.99,123.99,123.99,0,0,0,158.95,158.95,158.95,0,0,0,158.95,158.95,158.95,0,0,0,73,4.7,20,10,10,3.465753425,0.851851852,4.616438356,337,4.726027397,345,-0.109589041,-8,3.932521563,287.0740741,9,734,0
10295,149,25.01,17,123.99,149,149,149,0.17,0.17,0.17,123.99,123.99,123.99,0,0,0,159,159,159,0,0,0,159,159,159,0,0,0,73,4.7,20,10,10,3.465753425,0.851851852,4.616438356,337,4.726027397,345,-0.109589041,-8,3.932521563,287.0740741,9,738,0
