Product,Product_ID,Category,Reviews_Q1,Reviews_Q2,Reviews_Q3,Reviews_Q4,Sales_Units
3708316 - Garmin Heart Rate Monitor,3708316,Activity Monitors,28,35,29,31,1096
11407491 - SPORTLINE DUO 1010 Heart Rate Monitor,11407491,Activity Monitors,4,4,3,4,2
11407494 - SPORTLINE Solo 915 Mens Heart Rate Monitor,11407494,Activity Monitors,8,5,8,4,783
11407496 - SPORTLINE Mens Solo 925 Strapless Heart Rate Monitor,11407496,Activity Monitors,1,1,0,0,273
11450454 - SPORTLINE 340 Step & Distance Pedometer,11450454,Activity Monitors,13,13,3,3,16
11450457 - SPORTLINE TraQ Pedometer,11450457,Activity Monitors,4,1,1,1,140
11999798 - SPORTLINE Snapshot Pedometer,11999798,Activity Monitors,2,2,2,3,1
12004242 - SPORTLINE Womens Cardio 630 Coded Heart Rate Monitor,12004242,Activity Monitors,0,3,2,5,0
12735614 - GARMIN Forerunner 910XT GPS Watch,12735614,Activity Monitors,23,29,29,25,4
17305516 - POLAR H7 Heart Rate Sensor,17305516,Activity Monitors,2,1,2,1,11
19074896 - POLAR RCX3 Training Computer,19074896,Activity Monitors,11,5,8,2,3
21808766 - FITBIT Zip Wireless Activity Tracker,21808766,Activity Monitors,170,162,168,124,85
21808806 - Fitbit Flex Wireless Activity & Sleep Wristband,21808806,Activity Monitors,272,274,244,185,783
28661726 - GARMIN Forerunner 220 GPS Watch with Heart Rate Monitor,28661726,Activity Monitors,59,76,69,56,75
28661736 - Garmin Forerunner 620 GPS Watch with Heart Rate Monitor,28661736,Activity Monitors,41,33,32,23,51
29287466 - Under Armour 39 Watch,29287466,Activity Monitors,2,1,1,0,6
32987276 - Garmin Vivofit Activity Band ,32987276,Activity Monitors,110,117,184,164,12
32987326 - Garmin Vivofit Fitness Band With Heart Rate Monitor,32987326,Activity Monitors,22,14,35,29,56
34669396 - Omron HR-210 Strapless Heart Rate Monitor,34669396,Activity Monitors,25,22,15,18,2
34669406 - Omron HR-310 Heart Rate Monitor with Strap,34669406,Activity Monitors,3,1,1,12,0
35280716 - SOLEUS GPS Fit Running Watch,35280716,Activity Monitors,1,0,0,1,9
41405236 - Polar FT7 Heart Rate Monitor,41405236,Activity Monitors,90,94,97,86,8
41405256 - Polar FT4 Heart Rate Monitor,41405256,Activity Monitors,0,0,1,0,12
41405276 - Polar FT1 Heart Rate Monitor,41405276,Activity Monitors,34,46,51,45,3
41405296 - Polar FT60 Heart Rate Monitor,41405296,Activity Monitors,61,79,71,60,1
"42281546 - IFit Tracker, Band and Clip",42281546,Activity Monitors,0,0,3,8,0
43500506 - TomTom Multi-Sport GPS Watch+Cycle Dark Grey,43500506,Activity Monitors,32,38,37,44,1
43500586 - TomTom Multi-Sport GPS Watch,43500586,Activity Monitors,0,0,1,1,6
43957056 - MISFIT Shine Activity Monitor,43957056,Activity Monitors,92,103,97,78,7
45542036 - WeGo HYBRID Bluetooth Activity + Sleep Tracker,45542036,Activity Monitors,0,0,4,14,0
45542046 - WeGo ACTIVE Plug-In Activity Tracker,45542046,Activity Monitors,5,2,0,1,3
45542056 - WeGo ELITE Plug-In Activity Tracker,45542056,Activity Monitors,0,0,0,1,3
46272066 - Misfit Wearables Flash Fitness + Sleep Monitor,46272066,Activity Monitors,5,6,41,52,2
46466276 - Fitbit One,46466276,Activity Monitors,188,184,170,124,22
48781446 - Fitbit Charge Activity Wristband,48781446,Activity Monitors,2,5,103,170,217
48781476 - Fitbit Charge HR Activity Wristband,48781476,Activity Monitors,1,1,3,62,907
48781496 - Fitbit Surge GPS Fitness Watch,48781496,Activity Monitors,4,0,19,171,117
49581096 - Garmin Fenix 2 Training Watch,49581096,Activity Monitors,31,51,43,25,10
51954916 - Jawbone UP Fitness Tracker,51954916,Activity Monitors,122,121,130,116,0
51955006 - Jawbone UP24 Fitness Tracker,51955006,Activity Monitors,43,50,54,28,5
52761666 - Garmin Vivosmart Activity Tracker,52761666,Activity Monitors,7,20,101,112,20
52761706 - Garmin Vivosmart Activity Tracker and Heart Monitor Bundle,52761706,Activity Monitors,1,10,24,20,8
54160486 - Mio Global Fuse Large Heart Rate Band,54160486,Activity Monitors,0,0,10,59,0
