Monthly,Product_ID,Staples_Final_Price,Amz_Final_Price,Google_Visits,Google_Revenue,Google_Order,Google_Unique_Visitors,Google_OCPVisit,Google_OCPVisitor,SC_Visits,SC_Revenue,SC_Order,SC_Unique_Visitors,SC_OCPVisit,SC_OCPVisitor,Direct_Visits,Direct_Revenue,Direct_Order,Direct_Unique_Visitors,Direct_OCPVisit,Direct_OCPVisitor,OA_Visits,OA_Revenue,OA_Orders,OA_Uniq_Visitor,OA_OCPVisit,OA_OCPVisitor,Monthly.1,Goog_Per_Visit,Dir_Per_Visit,Per_Visit_Diff,Loyalty,Conversion,Price_Comp,Loyalty_Cat,Conversion_Cat,Price_Comp_Cat
01-01-2014,36619,17.99,12.99,267,2672.05,107,249,0.4,0.43,1,0,0,1,0,0,1164,590,590,1060,0.51,0.56,1432,3262.05,697,1310,0.49,0.53,01-01-2014,0.19,0.81,0.62,0.81,0.53,1.38,HIGH,HIGH,HIGH
01-02-2014,36619,13.49,12.99,309,2114.38,111,278,0.36,0.4,1,0,0,1,0,0,1141,540,540,1039,0.47,0.52,1451,2654.38,651,1318,0.45,0.49,01-02-2014,0.21,0.79,0.58,0.79,0.49,1.04,HIGH,HIGH,HIGH
01-03-2014,36619,12.99,12.77,377,2662.95,135,340,0.36,0.4,0,0,0,0,0,0,1332,666,666,1197,0.5,0.56,1709,3328.95,801,1537,0.47,0.52,01-03-2014,0.22,0.78,0.56,0.78,0.52,1.02,HIGH,HIGH,HIGH
01-04-2014,36619,12.66,12.97,616,4625.71,180,556,0.29,0.32,16,0,0,16,0,0,2279,817,817,2120,0.36,0.39,2911,5442.71,997,2692,0.34,0.37,01-04-2014,0.21,0.79,0.58,0.79,0.37,0.98,HIGH,LOW,LOW
01-05-2014,36619,13.45,12.77,430,3030.97,154,392,0.36,0.39,3,0,0,3,0,0,1376,647,647,1252,0.47,0.52,1809,3677.97,801,1647,0.44,0.49,01-05-2014,0.24,0.76,0.52,0.76,0.49,1.05,HIGH,HIGH,HIGH
01-06-2014,36619,13.75,12.89,907,4006.02,164,884,0.18,0.19,4,0,0,4,0,0,2401,636,636,2293,0.26,0.28,3312,4642.02,800,3181,0.24,0.25,01-06-2014,0.28,0.72,0.44,0.72,0.25,1.07,LOW,LOW,HIGH
01-07-2014,36619,14.18,12.89,361,3289.76,145,333,0.4,0.44,0,0,0,0,0,0,1437,773,773,1347,0.54,0.57,1798,4062.76,918,1680,0.51,0.55,01-07-2014,0.2,0.8,0.6,0.8,0.55,1.1,HIGH,HIGH,HIGH
01-08-2014,36619,14.18,12.94,424,3644.26,166,406,0.39,0.41,0,0,0,0,0,0,1392,776,776,1298,0.56,0.6,1816,4420.26,942,1704,0.52,0.55,01-08-2014,0.24,0.76,0.52,0.76,0.55,1.1,HIGH,HIGH,HIGH
01-09-2014,36619,14.18,12.89,455,4083.84,184,432,0.4,0.43,0,0,0,0,0,0,1424,782,782,1331,0.55,0.59,1879,4865.84,966,1763,0.51,0.55,01-09-2014,0.25,0.75,0.5,0.75,0.55,1.1,HIGH,HIGH,HIGH
01-10-2014,36619,14.18,12.89,475,5005.54,190,449,0.4,0.42,0,0,0,0,0,0,1414,764,764,1316,0.54,0.58,1889,5769.54,954,1765,0.51,0.54,01-10-2014,0.25,0.75,0.5,0.75,0.54,1.1,LOW,HIGH,HIGH
01-11-2014,36619,14.18,12.79,319,2906.9,136,302,0.43,0.45,0,0,0,0,0,0,961,533,533,905,0.55,0.59,1280,3439.9,669,1207,0.52,0.55,01-11-2014,0.25,0.75,0.5,0.75,0.55,1.11,LOW,HIGH,HIGH
01-12-2014,36619,15.66,12.77,395,4577.43,185,376,0.47,0.49,1,0,0,1,0,0,1283,719,719,1203,0.56,0.6,1679,5296.43,904,1580,0.54,0.57,01-12-2014,0.24,0.76,0.52,0.76,0.57,1.23,HIGH,HIGH,HIGH
01-01-2015,36619,19.69,12.97,407,4979.61,179,391,0.44,0.46,1,0,0,1,0,0,1177,18563.22,627,1110,0.53,0.56,1585,23542.83,806,1502,0.51,0.54,01-01-2015,0.26,0.74,0.48,0.74,0.54,1.52,LOW,HIGH,HIGH
01-02-2015,36619,20.99,12.99,292,4239.98,134,282,0.46,0.48,1,0,0,1,0,0,862,14462.11,469,809,0.54,0.58,1155,18702.09,603,1092,0.52,0.55,01-02-2015,0.26,0.74,0.48,0.74,0.55,1.62,LOW,HIGH,HIGH
01-03-2015,36619,20.99,13.13,336,3463.35,124,325,0.37,0.38,0,0,0,0,0,0,955,16666.06,517,894,0.54,0.58,1291,20129.41,641,1219,0.5,0.53,01-03-2015,0.27,0.73,0.46,0.73,0.53,1.6,LOW,HIGH,HIGH
01-04-2015,36619,20.99,12.94,412,4780.68,160,392,0.39,0.41,0,0,0,0,0,0,1085,18274.51,564,1016,0.52,0.56,1497,23055.19,724,1408,0.48,0.51,01-04-2015,0.28,0.72,0.44,0.72,0.51,1.62,LOW,HIGH,HIGH
01-05-2015,36619,20.99,14.62,340,4072.06,115,318,0.34,0.36,1,0,0,1,0,0,1066,18471.2,551,1010,0.52,0.55,1407,22543.26,666,1329,0.47,0.5,01-05-2015,0.24,0.76,0.52,0.76,0.5,1.44,HIGH,HIGH,HIGH
01-06-2015,36619,20.99,17.26,368,5373.44,163,351,0.44,0.46,2,0,0,2,0,0,1199,20192.38,644,1112,0.54,0.58,1569,25565.82,807,1465,0.51,0.55,01-06-2015,0.24,0.76,0.52,0.76,0.55,1.22,HIGH,HIGH,HIGH
01-07-2015,36619,20.99,15.13,98,902.57,31,95,0.32,0.33,0,0,0,0,0,0,333,5583.34,179,316,0.54,0.57,431,6485.91,210,411,0.49,0.51,01-07-2015,0.23,0.77,0.54,0.77,0.51,1.39,HIGH,HIGH,HIGH
01-01-2014,37927,14.89,9.5,131,743.76,34,124,0.26,0.27,0,0,0,0,0,0,505,195,195,460,0.39,0.42,636,938.76,229,584,0.36,0.39,01-01-2014,0.21,0.79,0.58,0.79,0.39,1.57,HIGH,LOW,HIGH
01-02-2014,37927,10.18,9.39,152,727.6,48,141,0.32,0.34,1,0,0,1,0,0,424,155,155,363,0.37,0.43,577,882.6,203,505,0.35,0.4,01-02-2014,0.28,0.72,0.44,0.72,0.4,1.08,LOW,HIGH,HIGH
01-03-2014,37927,10.29,9.8,139,710.09,41,132,0.29,0.31,0,0,0,0,0,0,436,173,173,401,0.4,0.43,575,883.09,214,533,0.37,0.4,01-03-2014,0.25,0.75,0.5,0.75,0.4,1.05,HIGH,HIGH,HIGH
01-04-2014,37927,12.99,9.88,138,792.39,37,129,0.27,0.29,0,0,0,0,0,0,428,163,163,397,0.38,0.41,566,955.39,200,526,0.35,0.38,01-04-2014,0.25,0.75,0.5,0.75,0.38,1.32,HIGH,LOW,HIGH
01-05-2014,37927,12.99,9.67,195,636.51,42,185,0.22,0.23,0,0,0,0,0,0,506,147,147,484,0.29,0.3,701,783.51,189,669,0.27,0.28,01-05-2014,0.28,0.72,0.44,0.72,0.28,1.34,LOW,LOW,HIGH
01-06-2014,37927,13.94,7.71,152,704.49,37,142,0.24,0.26,0,0,0,0,0,0,395,143,143,369,0.36,0.39,547,847.49,180,511,0.33,0.35,01-06-2014,0.28,0.72,0.44,0.72,0.35,1.81,LOW,LOW,HIGH
01-07-2014,37927,12.99,7.74,90,740.43,40,88,0.44,0.45,1,0,0,1,0,0,354,151,151,337,0.43,0.45,445,891.43,191,426,0.43,0.45,01-07-2014,0.21,0.79,0.58,0.79,0.45,1.68,HIGH,HIGH,HIGH
01-08-2014,37927,12.99,6.94,103,441.66,29,99,0.28,0.29,0,0,0,0,0,0,310,131,131,301,0.42,0.44,413,572.66,160,400,0.39,0.4,01-08-2014,0.25,0.75,0.5,0.75,0.4,1.87,HIGH,LOW,HIGH
01-09-2014,37927,12.99,7.29,110,584.55,30,105,0.27,0.29,0,0,0,0,0,0,329,126,126,313,0.38,0.4,439,710.55,156,418,0.36,0.37,01-09-2014,0.25,0.75,0.5,0.75,0.37,1.78,LOW,LOW,HIGH
01-10-2014,37927,12.99,7.54,87,415.68,25,82,0.29,0.3,0,0,0,0,0,0,287,134,134,270,0.47,0.5,374,549.68,159,352,0.43,0.45,01-10-2014,0.23,0.77,0.54,0.77,0.45,1.72,HIGH,HIGH,HIGH
01-11-2014,37927,12.99,7.6,93,610.53,29,84,0.31,0.35,0,0,0,0,0,0,203,97,97,197,0.48,0.49,296,707.53,126,281,0.43,0.45,01-11-2014,0.3,0.7,0.4,0.7,0.45,1.71,LOW,HIGH,HIGH
01-12-2014,37927,12.99,7.6,108,441.66,20,106,0.19,0.19,0,0,0,0,0,0,288,124,124,274,0.43,0.45,396,565.66,144,380,0.36,0.38,01-12-2014,0.28,0.72,0.44,0.72,0.38,1.71,LOW,LOW,HIGH
01-01-2015,37927,13.49,10.63,135,768.43,42,131,0.31,0.32,0,0,0,0,0,0,383,3331.53,157,364,0.41,0.43,518,4099.96,199,495,0.38,0.4,01-01-2015,0.26,0.74,0.48,0.74,0.4,1.27,LOW,HIGH,HIGH
01-02-2015,37927,13.99,8.79,84,629.55,24,78,0.29,0.31,0,0,0,0,0,0,201,2070.52,93,193,0.46,0.48,285,2700.07,117,271,0.41,0.43,01-02-2015,0.29,0.71,0.42,0.71,0.43,1.59,LOW,HIGH,HIGH
01-03-2015,37927,13.99,8.26,69,587.58,25,67,0.36,0.37,0,0,0,0,0,0,220,2322.34,107,206,0.49,0.52,289,2909.92,132,273,0.46,0.48,01-03-2015,0.25,0.75,0.5,0.75,0.48,1.69,HIGH,HIGH,HIGH
01-04-2015,37927,13.99,8.81,77,461.67,23,71,0.3,0.32,0,0,0,0,0,0,182,1773.51,73,168,0.4,0.43,259,2235.18,96,239,0.37,0.4,01-04-2015,0.3,0.7,0.4,0.7,0.4,1.59,LOW,HIGH,HIGH
01-05-2015,37927,13.99,11.1,47,167.88,8,45,0.17,0.18,0,0,0,0,0,0,153,1343.04,62,138,0.41,0.45,200,1510.92,70,183,0.35,0.38,01-05-2015,0.25,0.75,0.5,0.75,0.38,1.26,HIGH,LOW,HIGH
01-06-2015,37927,13.99,9.43,72,531.62,24,71,0.33,0.34,0,0,0,0,0,0,158,1482.94,75,151,0.47,0.5,230,2014.56,99,222,0.43,0.45,01-06-2015,0.32,0.68,0.36,0.68,0.45,1.48,LOW,HIGH,HIGH
01-07-2015,37927,13.99,10.39,18,83.94,4,17,0.22,0.24,0,0,0,0,0,0,85,755.46,36,83,0.42,0.43,103,839.4,40,100,0.39,0.4,01-07-2015,0.17,0.83,0.66,0.83,0.4,1.35,HIGH,LOW,HIGH
01-01-2014,51168,11.49,5.84,37,80.43,6,34,0.16,0.18,0,0,0,0,0,0,187,63,63,178,0.34,0.35,224,143.43,69,212,0.31,0.33,01-01-2014,0.16,0.84,0.68,0.84,0.33,1.97,HIGH,LOW,HIGH
01-02-2014,51168,7.92,4.99,89,351.07,20,80,0.22,0.25,0,0,0,0,0,0,296,129,129,272,0.44,0.47,385,480.07,149,352,0.39,0.42,01-02-2014,0.23,0.77,0.54,0.77,0.42,1.59,HIGH,HIGH,HIGH
01-03-2014,51168,4.99,4.99,184,918.16,69,166,0.38,0.42,0,0,0,0,0,0,565,233,233,502,0.41,0.46,749,1151.16,302,668,0.4,0.45,01-03-2014,0.25,0.75,0.5,0.75,0.45,1,HIGH,HIGH,LOW
01-04-2014,51168,4.99,4.99,275,513.97,89,246,0.32,0.36,0,0,0,0,0,0,818,333,333,738,0.41,0.45,1093,846.97,422,984,0.39,0.43,01-04-2014,0.25,0.75,0.5,0.75,0.43,1,LOW,HIGH,LOW
01-05-2014,51168,4.99,4.99,272,643.71,92,246,0.34,0.37,0,0,0,0,0,0,846,314,314,745,0.37,0.42,1118,957.71,406,991,0.36,0.41,01-05-2014,0.25,0.75,0.5,0.75,0.41,1,HIGH,HIGH,LOW
01-06-2014,51168,5.59,5.28,138,273.91,37,132,0.27,0.28,0,0,0,0,0,0,485,180,180,441,0.37,0.41,623,453.91,217,573,0.35,0.38,01-06-2014,0.23,0.77,0.54,0.77,0.38,1.06,HIGH,LOW,HIGH
01-07-2014,51168,5.59,5.56,109,240.37,32,108,0.29,0.3,0,0,0,0,0,0,369,149,149,352,0.4,0.42,478,389.37,181,460,0.38,0.39,01-07-2014,0.23,0.77,0.54,0.77,0.39,1.01,HIGH,LOW,HIGH
01-08-2014,51168,5.7,5.59,173,384.92,57,165,0.33,0.35,2,0,0,2,0,0,445,175,175,417,0.39,0.42,620,559.92,232,584,0.37,0.4,01-08-2014,0.29,0.71,0.42,0.71,0.4,1.02,LOW,LOW,HIGH
01-09-2014,51168,5.59,5.59,132,205.13,30,129,0.23,0.23,1,0,0,1,0,0,318,118,118,297,0.37,0.4,451,323.13,148,427,0.33,0.35,01-09-2014,0.3,0.7,0.4,0.7,0.35,1,LOW,LOW,LOW
01-10-2014,51168,5.59,5.59,122,283.11,42,116,0.34,0.36,0,0,0,0,0,0,306,132,132,292,0.43,0.45,428,415.11,174,408,0.41,0.43,01-10-2014,0.28,0.72,0.44,0.72,0.43,1,LOW,HIGH,LOW
01-11-2014,51168,5.59,5.59,145,440.83,69,138,0.48,0.5,0,0,0,0,0,0,388,195,195,362,0.5,0.54,533,635.83,264,500,0.5,0.53,01-11-2014,0.28,0.72,0.44,0.72,0.53,1,LOW,HIGH,LOW
01-12-2014,51168,5.76,5.62,399,1390.11,200,376,0.5,0.53,0,0,0,0,0,0,1115,638,638,1044,0.57,0.61,1514,2028.11,838,1420,0.55,0.59,01-12-2014,0.26,0.74,0.48,0.74,0.59,1.02,LOW,HIGH,HIGH
01-01-2015,51168,6.81,6.1,511,1842.31,234,478,0.46,0.49,1,0,0,1,0,0,1304,5200.33,673,1227,0.52,0.55,1816,7042.64,907,1706,0.5,0.53,01-01-2015,0.28,0.72,0.44,0.72,0.53,1.12,LOW,HIGH,HIGH
01-02-2015,51168,6.37,6.37,457,1730.81,189,437,0.41,0.43,1,0,0,1,0,0,1234,4851.11,635,1166,0.51,0.54,1692,6581.92,824,1604,0.49,0.51,01-02-2015,0.27,0.73,0.46,0.73,0.51,1,LOW,HIGH,LOW
01-03-2015,51168,7.54,6.43,520,1446.66,176,495,0.34,0.36,2,0,0,1,0,0,1413,5475.95,640,1340,0.45,0.48,1935,6922.61,816,1836,0.42,0.44,01-03-2015,0.27,0.73,0.46,0.73,0.44,1.17,LOW,HIGH,HIGH
01-04-2015,51168,6.89,6.52,556,1659.53,202,535,0.36,0.38,1,0,0,1,0,0,1580,5864.61,672,1496,0.43,0.45,2137,7524.14,874,2032,0.41,0.43,01-04-2015,0.26,0.74,0.48,0.74,0.43,1.06,LOW,HIGH,HIGH
01-05-2015,51168,6.89,6.86,353,778.57,105,339,0.3,0.31,1,0,0,1,0,0,1091,3562.13,431,1039,0.4,0.41,1445,4340.7,536,1379,0.37,0.39,01-05-2015,0.25,0.75,0.5,0.75,0.39,1,HIGH,LOW,LOW
01-06-2015,51168,6.89,6.52,346,1012.83,125,331,0.36,0.38,0,0,0,0,0,0,967,3451.89,407,913,0.42,0.45,1313,4464.72,532,1244,0.41,0.43,01-06-2015,0.27,0.73,0.46,0.73,0.43,1.06,LOW,HIGH,HIGH
01-07-2015,51168,6.89,6.12,54,130.91,15,54,0.28,0.28,0,0,0,0,0,0,222,661.44,82,208,0.37,0.39,276,792.35,97,262,0.35,0.37,01-07-2015,0.21,0.79,0.58,0.79,0.37,1.13,HIGH,LOW,HIGH
01-01-2014,117044,30.99,30.51,95,1180.2,32,92,0.34,0.35,0,0,0,0,0,0,342,129,129,317,0.38,0.41,437,1309.2,161,409,0.37,0.39,01-01-2014,0.22,0.78,0.56,0.78,0.39,1.02,HIGH,LOW,HIGH
01-02-2014,117044,26.99,22.99,83,1320.15,20,78,0.24,0.26,0,0,0,0,0,0,299,114,114,270,0.38,0.42,382,1434.15,134,348,0.35,0.39,01-02-2014,0.22,0.78,0.56,0.78,0.39,1.17,HIGH,LOW,HIGH
01-03-2014,117044,19.99,19.99,133,1418.06,45,128,0.34,0.35,1,0,0,1,0,0,385,157,157,350,0.41,0.45,519,1575.06,202,479,0.39,0.42,01-03-2014,0.27,0.73,0.46,0.73,0.42,1,LOW,HIGH,LOW
01-04-2014,117044,19.99,19.99,174,1006.48,34,167,0.2,0.2,2,39.98,1,2,0.5,0.5,422,174,174,384,0.41,0.45,598,1220.46,209,553,0.35,0.38,01-04-2014,0.31,0.69,0.38,0.69,0.38,1,LOW,LOW,LOW
01-05-2014,117044,25.2,20.21,159,1284.2,37,154,0.23,0.24,1,0,0,1,0,0,394,143,143,372,0.36,0.38,554,1427.2,180,527,0.32,0.34,01-05-2014,0.29,0.71,0.42,0.71,0.34,1.25,LOW,LOW,HIGH
01-06-2014,117044,29.69,20.6,195,1750.28,43,183,0.22,0.23,0,0,0,0,0,0,379,102,102,366,0.27,0.28,574,1852.28,145,549,0.25,0.26,01-06-2014,0.33,0.67,0.34,0.67,0.26,1.44,LOW,LOW,HIGH
01-07-2014,117044,29.69,19.99,75,1068.84,24,73,0.32,0.33,0,0,0,0,0,0,302,151,151,288,0.5,0.52,377,1219.84,175,361,0.46,0.48,01-07-2014,0.2,0.8,0.6,0.8,0.48,1.49,HIGH,HIGH,HIGH
01-08-2014,117044,29.69,19.99,104,1747.64,41,97,0.39,0.42,1,0,0,1,0,0,259,122,122,245,0.47,0.5,364,1869.64,163,343,0.45,0.48,01-08-2014,0.29,0.71,0.42,0.71,0.48,1.49,LOW,HIGH,HIGH
01-09-2014,117044,29.69,20.03,85,897.44,24,81,0.28,0.3,0,0,0,0,0,0,262,120,120,249,0.46,0.48,347,1017.44,144,330,0.41,0.44,01-09-2014,0.25,0.75,0.5,0.75,0.44,1.48,HIGH,HIGH,HIGH
01-10-2014,117044,28.36,20.62,97,1897.56,30,91,0.31,0.33,0,0,0,0,0,0,271,139,139,257,0.51,0.54,368,2036.56,169,348,0.46,0.49,01-10-2014,0.26,0.74,0.48,0.74,0.49,1.38,LOW,HIGH,HIGH
01-11-2014,117044,27.99,20.27,99,1766.16,40,93,0.4,0.43,1,0,0,1,0,0,254,128,128,245,0.5,0.52,354,1894.16,168,339,0.47,0.5,01-11-2014,0.28,0.72,0.44,0.72,0.5,1.38,LOW,HIGH,HIGH
01-12-2014,117044,27.99,20.79,99,951.66,28,96,0.28,0.29,0,0,0,0,0,0,230,122,122,213,0.53,0.57,329,1073.66,150,309,0.46,0.49,01-12-2014,0.31,0.69,0.38,0.69,0.49,1.35,LOW,HIGH,HIGH
01-01-2015,117044,29.08,21.61,109,1368.73,38,102,0.35,0.37,1,0,0,1,0,0,336,7354.46,155,313,0.46,0.5,446,8723.19,193,416,0.43,0.46,01-01-2015,0.25,0.75,0.5,0.75,0.46,1.35,HIGH,HIGH,HIGH
01-02-2015,117044,29.99,21.69,98,1310.56,33,94,0.34,0.35,0,0,0,0,0,0,284,6720.74,138,264,0.49,0.52,382,8031.3,171,358,0.45,0.48,01-02-2015,0.26,0.74,0.48,0.74,0.48,1.38,LOW,HIGH,HIGH
