"Product_ID","Staples_Final_Price","Amz_Final_Price","Google_Visits","Google_Revenue","Google_Order","Google_Unique_Visitors","Google_Aggr_Search_Vol","Google_Bounce_rate","Google_Cart_Views","Google_Shipping","Google_Visit_Freq","Google_OCPVisit","Google_OCPVisitor","SC_Visits","SC_Revenue","SC_Order","SC_Unique_Visitors","SC_Aggr_Search_Vol","SC_Bounce_rate","SC_Cart_Views","SC_Shipping","SC_Visit_Freq","SC_OCPVisit","SC_OCPVisitor","Direct_Visits","Direct_Revenue","Direct_Order","Direct_Unique_Visitors","Direct_Aggr_Search_Vol","Direct_Bounce_rate","Direct_Cart_Views","Direct_Shipping","Direct_Visit_Freq","Direct_OCPVisit","Direct_OCPVisitor","OA_Visits","OA_Revenue","OA_Orders","OA_Uniq_Visitor","OA_Aggr_Search_Vol","OA_Bounce_rate","OA_Cart_Views","OA_Shipping","OA_Visit_Freq","OA_OCPVisit","OA_OCPVisitor","Conversion","Conversion_Visitor","Price_Comp"
"36619",16.66,13.35,7588,70431.5,2763,7151,0,115.58,6185,0,419.97,7.2,7.65,31,0,0,31,0,1,14,0,18,0,0,24281,120455.82,11794,22628,0,142.46,24020,0,426.86,9.6,10.34,31900,190887.32,14557,29810,0,259.07,30219,0,864.83,9.02,9.65,0.46,0.49,1.25
"37927",13.19,8.85,2000,10780.02,562,1897,0,32.5,1658,0,407.38,5.36,5.65,2,0,0,2,0,0,0,0,2,0,0,5847,14818.34,2342,5469,0,57.75,6411,0,420.07,7.86,8.35,7849,25598.36,2904,7368,0,90.25,8069,0,829.45,7.22,7.64,0.37,0.39,1.49
"51168",6.42,5.77,4872,14327.34,1789,4605,0,26.5,3124,0,405.7,6.37,6.76,9,0,0,8,0,2,8,0,8,0,0,13949,31726.46,6199,13029,0,131.09,10637,0,423.44,8.1,8.67,18830,46053.8,7988,17642,0,159.59,13769,0,837.14,7.69,8.21,0.42,0.45,1.11
"117044",28.17,21.81,2082,26661.89,616,1986,0,45.33,1553,0,404.93,5.89,6.17,7,39.98,1,7,0,0,3,0,7,0.5,0.5,5669,42970.07,2459,5306,0,56,5679,0,422.36,8.44,9.03,7758,69671.94,3076,7299,0,101.33,7235,0,834.27,7.76,8.26,0.4,0.42,1.29
"125369",7.91,7.17,9900,49869.84,4574,9191,0,101.65,9778,0,426.47,8.83,9.51,18,24.87,3,18,0,1,26,0,14,1.33,1.33,31457,80978.77,17529,29030,0,168.63,36046,0,428.71,10.64,11.54,41375,130873.48,22106,38239,0,271.27,45850,0,869.19,10.21,11.02,0.53,0.58,1.1
"196147",7.84,6.57,2958,23908.93,795,2814,0,21,428,0,141.85,5.15,5.43,5,175.8,2,5,0,0,8,0,5,2,2,7686,101759.09,3286,7244,0,62.67,6872,0,419.16,8.17,8.68,10649,125843.82,4083,10063,0,83.67,7308,0,566,7.35,7.77,0.38,0.41,1.19
"202184",14.19,13.51,26211,225705.91,12907,24465,0,42.28,3406,0,144.59,9.51,10.2,34,228.53,13,33,0,1,22,0,30,5.25,5.42,82445,815401.93,46461,76769,0,215.86,79826,0,426.3,10.83,11.64,108690,1041336.37,59381,101267,0,259.14,83254,0,600.88,10.52,11.28,0.55,0.59,1.05
"205112",17.54,14.58,12825,67556.4,3131,12226,0,198.47,7202,0,416.59,4.68,4.88,50,429.9,9,49,0,0,20,0,38.33,3.92,3.92,26268,80029.98,10101,24605,0,207.57,22333,0,422.81,7.4,7.91,39143,148016.28,13241,36880,0,406.04,29555,0,877.73,6.48,6.88,0.34,0.36,1.2
"205138",17.71,15.19,6034,34083.7,1574,5757,0,180.78,3549,0,414.35,5.11,5.32,12,19.49,1,12,0,1,15,0,11,0.5,0.5,12001,39855.97,4998,11275,0,160.94,11137,0,421.94,8.03,8.53,18047,73959.16,6573,17044,0,342.68,14701,0,847.28,7.04,7.43,0.36,0.39,1.17
"205146",18,14.51,4278,32980.03,1499,4053,0,85.47,3298,0,413.49,6.78,7.18,10,66.71,3,9,0,0,11,0,10,2,2.5,11516,44662.6,5221,10735,0,126.16,11532,0,424.86,8.69,9.32,15804,77709.34,6723,14797,0,211.64,14841,0,848.35,8.15,8.71,0.43,0.45,1.24
